crime_id,station_id,district,crime_type,modus_operandi,incident_date,incident_time,incident_year,incident_month,incident_day_of_week,incident_hour,latitude,longitude,location_type,severity,weapons_used,property_loss_inr,status,fir_number,io_officer,offender_ids,victim_ids,solved,days_to_solve,district_id,crime_type_id,modus_operandi_id,location_type_id,weapon_id,case_status_id,io_officer_id
45,18,Dakshina Kannada,Theft,Pickpocket,2021-06-02,18:37:00,2021,6,Wednesday,18,12.815707,75.008157,Residence,2,None,1400,Closed - Convicted,FIR/2021/018/0045,AZ,"[310, 142]","[485, 215]",0,,5,9,31,5,4,2,52
46,10,Mysuru,Theft,Pickpocket,2023-08-17,22:57:00,2023,8,Thursday,22,12.208674,76.713136,Road,2,None,126234,Closed - Convicted,FIR/2023/010/0046,AB,[242],[513],0,268,3,9,31,6,4,2,28
47,21,Belagavi,Assault,Domestic violence,2021-11-11,11:53:00,2021,11,Thursday,11,15.763992,74.482638,Park,4,Firearm,0,Closed - Convicted,FIR/2021/021/0047,BJ,[356],[124],0,,6,1,2,3,2,2,62
48,23,Belagavi,Drug Offence,Possession,2022-02-21,09:23:00,2022,2,Monday,9,15.909131,74.380261,Commercial,5,None,0,Pending Trial,FIR/2022/023/0048,BP,[270],[318],0,,6,3,10,1,4,5,68
49,3,Bengaluru Urban,Cybercrime,Investment scam,2024-06-19,19:44:00,2024,6,Wednesday,19,12.917402,77.488334,Public Transport,3,None,0,Under Investigation,FIR/2024/003/0049,I,[16],"[483, 466]",0,,1,2,6,4,4,6,9
50,3,Bengaluru Urban,Robbery,Dacoity,2021-09-19,09:47:00,2021,9,Sunday,9,13.055826,77.494478,Commercial,4,None,449781,Under Investigation,FIR/2021/003/0050,G,"[62, 29]",[64],0,,1,7,24,1,4,6,7
51,22,Belagavi,Fraud,Insurance fraud,2021-11-24,22:46:00,2021,11,Wednesday,22,15.853622,74.603431,Residence,4,Blunt Object,77339,Closed - Convicted,FIR/2021/022/0051,BN,[342],[67],1,102,6,4,14,5,1,2,66
52,33,Hassan,Robbery,Dacoity,2020-01-14,16:17:00,2020,1,Tuesday,16,12.915051,76.092201,Road,5,None,382494,Open,FIR/2020/033/0052,CT,"[45, 290]","[91, 120]",0,87,10,7,24,6,4,4,98
53,1,Bengaluru Urban,Theft,House break-in,2025-02-28,19:56:00,2025,2,Friday,19,12.910816,77.675554,Commercial,2,None,27963,Under Investigation,FIR/2025/001/0053,B,"[98, 383]",[136],1,,1,9,30,1,4,6,2
54,27,Dharwad,Theft,Vehicle theft,2023-01-22,23:11:00,2023,1,Sunday,23,15.401145,74.993304,Market,3,None,274225,Under Investigation,FIR/2023/027/0054,CA,[182],[358],0,300,8,9,32,2,4,6,79
55,25,Kalaburagi,Theft,Vehicle theft,2024-11-12,20:41:00,2024,11,Tuesday,20,17.400805,76.764087,Park,3,None,405489,Under Investigation,FIR/2024/025/0055,BU,"[258, 283]","[276, 93]",1,,7,9,32,3,4,6,73
56,34,Hassan,Cybercrime,Identity theft,2025-04-30,17:29:00,2025,4,Wednesday,17,12.976148,76.070998,Market,4,Knife,0,Closed - Acquitted,FIR/2025/034/0056,CV,[18],[108],1,332,10,2,5,2,3,1,100
57,7,Bengaluru Rural,Theft,House break-in,2023-06-08,16:29:00,2023,6,Thursday,16,13.259091,77.553062,Public Transport,3,None,437306,Under Investigation,FIR/2023/007/0057,S,"[304, 295]",[409],0,,2,9,30,4,4,6,19
58,26,Kalaburagi,Robbery,Armed robbery,2025-09-07,14:26:00,2025,9,Sunday,14,17.274347,76.852897,Park,5,None,494323,Under Investigation,FIR/2025/026/0058,BX,[84],[308],1,28,7,7,23,3,4,6,76
59,6,Bengaluru Urban,Robbery,Armed robbery,2023-11-18,09:25:00,2023,11,Saturday,9,12.851802,77.509998,Residence,4,Firearm,47273,Closed - Convicted,FIR/2023/006/0059,Q,"[155, 158]",[242],0,,1,7,23,5,2,2,17
60,1,Bengaluru Urban,Assault,Road rage,2021-02-13,18:35:00,2021,2,Saturday,18,13.019307,77.69368,Public Transport,3,None,0,Under Investigation,FIR/2021/001/0060,A,"[238, 362]",[99],0,,1,1,4,4,4,6,1
61,28,Dharwad,Assault,Brawl,2023-11-21,19:42:00,2023,11,Tuesday,19,15.479643,74.941007,Park,4,None,0,Closed - Convicted,FIR/2023/028/0061,CE,"[394, 121]",[349],0,,8,1,1,3,4,2,83
62,9,Bengaluru Rural,Assault,Brawl,2022-05-15,07:27:00,2022,5,Sunday,7,13.170776,77.49087,Road,4,Knife,0,Pending Trial,FIR/2022/009/0062,Y,[160],[493],1,,2,1,1,6,3,5,25
63,7,Bengaluru Rural,Assault,Brawl,2023-11-19,07:46:00,2023,11,Sunday,7,13.285592,77.640552,Public Transport,4,None,0,Under Investigation,FIR/2023/007/0063,T,[164],[520],0,28,2,1,1,4,4,6,20
64,20,Belagavi,Assault,Brawl,2025-01-18,20:23:00,2025,1,Saturday,20,15.900586,74.5803,Market,4,None,0,Open,FIR/2025/020/0064,BG,"[58, 92, 218]",[393],1,,6,1,1,2,4,4,59
65,40,Udupi,Drug Offence,Trafficking,2024-11-16,11:29:00,2024,11,Saturday,11,13.250072,74.739609,Public Transport,4,Knife,0,Closed - Convicted,FIR/2024/040/0065,DN,[307],[259],0,183,12,3,11,4,3,2,118
66,27,Dharwad,Theft,House break-in,2023-05-04,17:02:00,2023,5,Thursday,17,15.424639,74.896587,Residence,3,None,381045,Open,FIR/2023/027/0066,CA,"[128, 90]",[97],0,235,8,9,30,5,4,4,79
67,40,Udupi,Theft,Chain snatching,2020-06-15,13:20:00,2020,6,Monday,13,13.25612,74.856542,Commercial,2,None,486245,Closed - Convicted,FIR/2020/040/0067,DO,"[52, 196]",[81],1,132,12,9,29,1,4,2,119
68,6,Bengaluru Urban,Fraud,Impersonation,2021-04-21,11:36:00,2021,4,Wednesday,11,12.924368,77.597969,Park,3,Firearm,112831,Closed - Convicted,FIR/2021/006/0068,P,"[125, 356]",[384],0,,1,4,13,3,2,2,16
69,18,Dakshina Kannada,Assault,Brawl,2024-06-20,12:43:00,2024,6,Thursday,12,12.725012,74.919713,Park,3,None,0,Under Investigation,FIR/2024/018/0069,BA,"[337, 67]",[474],1,33,5,1,1,3,4,6,53
70,40,Udupi,Theft,Chain snatching,2024-09-19,13:38:00,2024,9,Thursday,13,13.314269,74.845269,Residence,2,None,242193,Closed - Acquitted,FIR/2024/040/0070,DO,[175],[456],0,200,12,9,29,5,4,1,119
71,17,Dakshina Kannada,Robbery,Dacoity,2020-11-17,16:31:00,2020,11,Tuesday,16,12.806672,74.919812,Market,4,Firearm,15500,Open,FIR/2020/017/0071,AW,"[190, 156, 150]",[463],0,,5,7,24,2,2,4,49
72,27,Dharwad,Vandalism,Property destruction,2023-03-08,15:47:00,2023,3,Wednesday,15,15.395232,75.108882,Public Transport,3,None,0,Under Investigation,FIR/2023/027/0072,CB,[311],"[127, 100]",1,,8,10,35,4,4,6,80
73,26,Kalaburagi,Assault,Road rage,2022-06-10,17:57:00,2022,6,Friday,17,17.286357,76.801462,Park,4,Blunt Object,0,Under Investigation,FIR/2022/026/0073,BX,[352],"[326, 515]",0,,7,1,4,3,1,6,76
74,29,Dharwad,Theft,Vehicle theft,2024-06-26,16:00:00,2024,6,Wednesday,16,15.419073,74.999165,Public Transport,3,None,215112,Open,FIR/2024/029/0074,CG,[51],[429],1,,8,9,32,4,4,4,85
75,33,Hassan,Vandalism,Arson,2024-08-01,17:20:00,2024,8,Thursday,17,12.92675,76.130419,Park,3,None,0,Under Investigation,FIR/2024/033/0075,CU,"[190, 12]",[399],0,,10,10,33,3,4,6,99
76,16,Tumakuru,Theft,Vehicle theft,2023-08-14,06:18:00,2023,8,Monday,6,13.225314,77.135925,Residence,3,None,241909,Under Investigation,FIR/2023/016/0076,AT,[351],[248],0,,4,9,32,5,4,6,46
77,11,Mysuru,Theft,Pickpocket,2020-01-29,18:02:00,2020,1,Wednesday,18,12.273323,76.644144,Commercial,2,None,463133,Closed - Convicted,FIR/2020/011/0077,AE,[198],[428],0,,3,9,31,1,4,2,31
78,2,Bengaluru Urban,Assault,Brawl,2023-04-14,20:53:00,2023,4,Friday,20,13.036103,77.56181,Road,3,None,0,Open,FIR/2023/002/0078,E,"[262, 323]",[439],0,87,1,1,1,6,4,4,5
79,24,Kalaburagi,Robbery,Mugging,2021-08-04,15:50:00,2021,8,Wednesday,15,17.273182,76.793506,Commercial,5,Knife,154818,Closed - Convicted,FIR/2021/024/0079,BT,"[235, 364]",[251],0,,7,7,25,1,3,2,72
80,39,Udupi,Theft,Vehicle theft,2021-08-29,02:18:00,2021,8,Sunday,2,13.432141,74.757349,Public Transport,2,None,373858,Under Investigation,FIR/2021/039/0080,DK,"[158, 367]",[313],0,,12,9,32,4,4,6,115
81,10,Mysuru,Cybercrime,Investment scam,2022-11-19,02:14:00,2022,11,Saturday,2,12.226599,76.59211,Market,3,Blunt Object,0,Under Investigation,FIR/2022/010/0081,AD,[133],[521],0,,3,2,6,2,1,6,30
82,38,Shivamogga,Fraud,Insurance fraud,2025-11-13,21:24:00,2025,11,Thursday,21,13.926359,75.488689,Road,4,None,496473,Open,FIR/2025/038/0082,DH,[90],[389],1,312,11,4,14,6,4,4,112
83,8,Bengaluru Rural,Cybercrime,Phishing,2025-08-05,21:36:00,2025,8,Tuesday,21,13.296112,77.649295,Market,4,None,0,Under Investigation,FIR/2025/008/0083,X,"[269, 117]",[373],0,274,2,2,8,2,4,6,24
84,35,Hassan,Murder,Gang rivalry,2025-01-03,11:33:00,2025,1,Friday,11,12.948257,76.157765,Residence,5,None,0,Pending Trial,FIR/2025/035/0084,CZ,"[334, 126]",[468],1,,10,6,20,5,4,5,104
85,5,Bengaluru Urban,Sexual Assault,Molestation,2025-11-10,10:03:00,2025,11,Monday,10,12.910146,77.657403,Commercial,5,None,0,Open,FIR/2025/005/0085,N,[51],[53],1,,1,8,27,1,4,4,14
86,7,Bengaluru Rural,Assault,Domestic violence,2025-06-18,00:36:00,2025,6,Wednesday,0,13.181741,77.664897,Road,4,Knife,0,Closed - Convicted,FIR/2025/007/0086,T,"[227, 399]",[468],0,260,2,1,2,6,3,2,20
87,31,Ballari,Assault,Road rage,2022-12-18,13:15:00,2022,12,Sunday,13,15.182082,76.922135,Commercial,4,Blunt Object,0,Under Investigation,FIR/2022/031/0087,CN,"[58, 388]","[500, 7]",1,156,9,1,4,1,1,6,92
88,7,Bengaluru Rural,Sexual Assault,Rape,2023-11-03,16:43:00,2023,11,Friday,16,13.122437,77.63461,Park,5,Firearm,0,Open,FIR/2023/007/0088,U,"[110, 158]",[328],1,,2,8,28,3,2,4,21
89,21,Belagavi,Theft,Chain snatching,2021-12-04,18:39:00,2021,12,Saturday,18,15.807864,74.501652,Residence,3,None,489078,Under Investigation,FIR/2021/021/0089,BI,[305],[276],1,182,6,9,29,5,4,6,61
90,21,Belagavi,Assault,Gang fight,2024-05-30,19:00:00,2024,5,Thursday,19,15.826679,74.610183,Market,4,None,0,Under Investigation,FIR/2024/021/0090,BJ,[72],"[281, 20]",1,165,6,1,3,2,4,6,62
91,28,Dharwad,Fraud,Insurance fraud,2022-03-27,16:39:00,2022,3,Sunday,16,15.544437,74.91344,Road,4,None,204505,Closed - Convicted,FIR/2022/028/0091,CD,[167],[482],1,,8,4,14,6,4,2,82
92,38,Shivamogga,Robbery,Armed robbery,2020-08-17,11:21:00,2020,8,Monday,11,13.898568,75.669765,Market,5,Firearm,432176,Open,FIR/2020/038/0092,DJ,[69],"[76, 333]",1,46,11,7,23,2,2,4,114
93,29,Dharwad,Theft,House break-in,2025-12-15,01:44:00,2025,12,Monday,1,15.524204,74.904121,Public Transport,3,None,391786,Pending Trial,FIR/2025/029/0093,CG,"[365, 379]",[370],0,,8,9,30,4,4,5,85
94,22,Belagavi,Theft,House break-in,2022-11-11,22:47:00,2022,11,Friday,22,15.763365,74.531838,Road,3,None,478665,Cold Case,FIR/2022/022/0094,BL,[250],[542],0,,6,9,30,6,4,3,64
95,33,Hassan,Murder,Property dispute,2025-07-08,13:36:00,2025,7,Tuesday,13,12.902906,75.998433,Residence,5,Blunt Object,0,Closed - Acquitted,FIR/2025/033/0095,CS,[286],[545],0,,10,6,22,5,1,1,97
96,13,Mysuru,Drug Offence,Distribution,2024-10-31,15:29:00,2024,10,Thursday,15,12.38713,76.696745,Public Transport,4,Blunt Object,0,Closed - Convicted,FIR/2024/013/0096,AM,"[38, 94]",[348],0,151,3,3,9,4,1,2,39
97,1,Bengaluru Urban,Cybercrime,Investment scam,2020-03-18,12:14:00,2020,3,Wednesday,12,12.887719,77.679938,Market,3,None,0,Under Investigation,FIR/2020/001/0097,C,[394],[469],0,,1,2,6,2,4,6,3
98,37,Shivamogga,Theft,Vehicle theft,2022-04-24,07:11:00,2022,4,Sunday,7,13.937921,75.674779,Commercial,3,None,456422,Under Investigation,FIR/2022/037/0098,DF,[66],[71],1,218,11,9,32,1,4,6,110
99,18,Dakshina Kannada,Theft,Vehicle theft,2023-12-26,21:08:00,2023,12,Tuesday,21,12.950453,74.899546,Road,2,None,234258,Under Investigation,FIR/2023/018/0099,AZ,"[14, 228, 381]","[214, 390]",0,,5,9,32,6,4,6,52
100,8,Bengaluru Rural,Theft,Vehicle theft,2025-09-06,16:46:00,2025,9,Saturday,16,13.117692,77.498013,Public Transport,3,None,100129,Under Investigation,FIR/2025/008/0100,V,"[380, 310, 184]",[325],1,58,2,9,32,4,4,6,22
101,30,Ballari,Theft,Chain snatching,2024-09-16,07:54:00,2024,9,Monday,7,15.105894,76.875796,Market,3,None,337422,Closed - Acquitted,FIR/2024/030/0101,CJ,[334],[87],1,,9,9,29,2,4,1,88
102,21,Belagavi,Theft,Vehicle theft,2021-12-27,08:00:00,2021,12,Monday,8,15.767082,74.544517,Park,3,None,217514,Closed - Acquitted,FIR/2021/021/0102,BI,"[32, 306]","[301, 381]",1,,6,9,32,3,4,1,61
103,10,Mysuru,Drug Offence,Distribution,2022-01-13,22:56:00,2022,1,Thursday,22,12.364574,76.526595,Park,4,Knife,0,Open,FIR/2022/010/0103,AC,[207],[272],1,,3,3,9,3,3,4,29
104,10,Mysuru,Sexual Assault,Molestation,2024-03-24,16:46:00,2024,3,Sunday,16,12.213761,76.522985,Public Transport,5,Firearm,0,Closed - Acquitted,FIR/2024/010/0104,AC,"[48, 215]","[116, 488]",1,,3,8,27,4,2,1,29
105,41,Udupi,Theft,Chain snatching,2025-04-07,12:08:00,2025,4,Monday,12,13.350497,74.851757,Residence,2,None,65972,Under Investigation,FIR/2025/041/0105,DR,"[50, 245]",[585],1,49,12,9,29,5,4,6,122
106,26,Kalaburagi,Theft,Pickpocket,2022-10-20,09:16:00,2022,10,Thursday,9,17.367949,76.79317,Residence,3,None,171937,Under Investigation,FIR/2022/026/0106,BY,"[343, 303, 267]",[274],0,,7,9,31,5,4,6,77
107,3,Bengaluru Urban,Drug Offence,Trafficking,2020-07-15,00:11:00,2020,7,Wednesday,0,13.003911,77.675091,Public Transport,4,Firearm,0,Closed - Acquitted,FIR/2020/003/0107,G,[204],[586],0,,1,3,11,4,2,1,7
108,26,Kalaburagi,Assault,Domestic violence,2025-01-30,16:16:00,2025,1,Thursday,16,17.237977,76.781333,Park,4,Firearm,0,Closed - Convicted,FIR/2025/026/0108,BX,"[173, 96]",[500],0,188,7,1,2,3,2,2,76
109,28,Dharwad,Cybercrime,Identity theft,2021-01-22,20:29:00,2021,1,Friday,20,15.367767,75.058847,Park,4,None,0,Pending Trial,FIR/2021/028/0109,CF,[178],[447],1,,8,2,5,3,4,5,84
110,33,Hassan,Theft,Vehicle theft,2020-03-09,19:46:00,2020,3,Monday,19,13.012938,76.167485,Commercial,3,None,282830,Under Investigation,FIR/2020/033/0110,CS,[272],[546],1,85,10,9,32,1,4,6,97
111,41,Udupi,Cybercrime,Identity theft,2021-09-14,14:39:00,2021,9,Tuesday,14,13.269427,74.633839,Public Transport,3,Knife,0,Open,FIR/2021/041/0111,DQ,"[206, 152, 200]","[432, 488]",1,,12,2,5,4,3,4,121
112,20,Belagavi,Theft,Pickpocket,2020-08-30,08:08:00,2020,8,Sunday,8,15.927086,74.561202,Public Transport,3,None,310072,Open,FIR/2020/020/0112,BF,"[125, 201]",[430],1,,6,9,31,4,4,4,58
113,18,Dakshina Kannada,Theft,Chain snatching,2021-05-20,17:47:00,2021,5,Thursday,17,12.885156,74.919399,Market,2,None,61494,Under Investigation,FIR/2021/018/0113,AZ,[142],[12],0,,5,9,29,2,4,6,52
114,15,Tumakuru,Cybercrime,Phishing,2021-05-26,17:47:00,2021,5,Wednesday,17,13.254782,77.208554,Commercial,4,None,0,Closed - Convicted,FIR/2021/015/0114,AS,"[369, 175]","[42, 391]",1,,4,2,8,1,4,2,45
115,32,Ballari,Drug Offence,Possession,2025-11-11,23:05:00,2025,11,Tuesday,23,15.164196,76.945171,Public Transport,5,None,0,Closed - Convicted,FIR/2025/032/0115,CP,[341],[443],0,,9,3,10,4,4,2,94
