crime_officer_id,crime_id,officer_id,role,assigned_date,assignment_status
104,104,29,Investigating Officer,2024-03-24,Closed
105,105,122,Investigating Officer,2025-04-07,Active
106,106,77,Investigating Officer,2022-10-20,Active
107,107,7,Investigating Officer,2020-07-15,Closed
108,108,76,Investigating Officer,2025-01-30,Closed
109,109,84,Investigating Officer,2021-01-22,Active
110,110,97,Investigating Officer,2020-03-09,Active
111,111,121,Investigating Officer,2021-09-14,Active
112,112,58,Investigating Officer,2020-08-30,Active
113,113,52,Investigating Officer,2021-05-20,Active
114,114,45,Investigating Officer,2021-05-26,Closed
115,115,94,Investigating Officer,2025-11-11,Closed
116,116,51,Investigating Officer,2024-09-14,Closed
117,117,75,Investigating Officer,2020-06-21,Closed
118,118,8,Investigating Officer,2025-03-02,Active
119,119,89,Investigating Officer,2024-01-08,Closed
120,120,34,Investigating Officer,2023-09-29,Closed
121,121,96,Investigating Officer,2024-01-20,Closed
122,122,78,Investigating Officer,2023-10-25,Active
123,123,43,Investigating Officer,2024-12-08,Closed
124,124,114,Investigating Officer,2024-05-04,Active
125,125,47,Investigating Officer,2021-01-30,Closed
126,126,82,Investigating Officer,2020-03-31,Closed
127,127,27,Investigating Officer,2025-01-25,Closed
128,128,112,Investigating Officer,2020-09-17,Active
129,129,74,Investigating Officer,2025-04-27,Active
130,130,20,Investigating Officer,2020-09-06,Active
131,131,35,Investigating Officer,2021-02-01,Closed
132,132,21,Investigating Officer,2025-10-24,Closed
133,133,38,Investigating Officer,2024-01-07,Active
134,134,77,Investigating Officer,2022-04-03,Active
135,135,10,Investigating Officer,2022-02-09,Active
136,136,83,Investigating Officer,2021-12-31,Active
137,137,40,Investigating Officer,2023-04-04,Closed
138,138,111,Investigating Officer,2023-06-22,Closed
139,139,25,Investigating Officer,2020-10-15,Active
140,140,50,Investigating Officer,2024-06-05,Active
141,141,86,Investigating Officer,2020-06-17,Active
142,142,78,Investigating Officer,2025-09-01,Closed
143,143,15,Investigating Officer,2020-03-12,Active
144,144,7,Investigating Officer,2020-03-22,Closed
145,145,29,Investigating Officer,2022-07-05,Active
146,146,26,Investigating Officer,2022-05-02,Active
147,147,120,Investigating Officer,2024-07-30,Active
148,148,82,Investigating Officer,2020-04-07,Closed
149,149,96,Investigating Officer,2025-12-13,Active
150,150,70,Investigating Officer,2025-01-03,Active
151,151,54,Investigating Officer,2021-04-09,Active
152,152,95,Investigating Officer,2023-11-09,Active
153,153,94,Investigating Officer,2021-11-23,Active
154,154,89,Investigating Officer,2020-05-08,Active
155,155,84,Investigating Officer,2021-06-26,Closed
156,156,29,Investigating Officer,2020-12-23,Closed
157,157,37,Investigating Officer,2022-01-30,Active
158,158,35,Investigating Officer,2024-12-17,Closed
159,159,32,Investigating Officer,2023-04-30,Active
160,160,18,Investigating Officer,2020-02-19,Closed
161,161,71,Investigating Officer,2023-07-07,Active
162,162,63,Investigating Officer,2021-09-03,Active
163,163,106,Investigating Officer,2025-06-15,Active
164,164,42,Investigating Officer,2023-06-15,Closed
165,165,5,Investigating Officer,2022-10-05,Active
166,166,44,Investigating Officer,2022-08-28,Active
167,167,53,Investigating Officer,2020-08-29,Closed
168,168,116,Investigating Officer,2020-09-05,Active
169,169,17,Investigating Officer,2025-01-03,Active
170,170,62,Investigating Officer,2021-08-03,Active
171,171,27,Investigating Officer,2021-07-27,Active
172,172,29,Investigating Officer,2022-04-28,Closed
173,173,30,Investigating Officer,2025-08-12,Active
174,174,1,Investigating Officer,2024-02-16,Active
175,175,63,Investigating Officer,2021-05-03,Closed
176,176,60,Investigating Officer,2023-05-27,Active
177,177,62,Investigating Officer,2021-11-07,Active
178,178,109,Investigating Officer,2020-08-07,Closed
179,179,23,Investigating Officer,2020-05-04,Closed
180,180,4,Investigating Officer,2025-03-22,Active
181,181,87,Investigating Officer,2024-11-18,Active
182,182,63,Investigating Officer,2024-07-25,Active
183,183,65,Investigating Officer,2025-03-26,Closed
184,184,41,Investigating Officer,2020-11-30,Active
185,185,107,Investigating Officer,2024-05-27,Closed
186,186,13,Investigating Officer,2022-09-17,Closed
187,187,23,Investigating Officer,2024-07-08,Closed
188,188,67,Investigating Officer,2024-04-20,Active
189,189,16,Investigating Officer,2025-02-05,Active
190,190,6,Investigating Officer,2020-10-10,Active
191,191,116,Investigating Officer,2021-09-26,Active
192,192,22,Investigating Officer,2021-06-24,Active
193,193,82,Investigating Officer,2022-12-12,Active
194,194,35,Investigating Officer,2020-06-11,Closed
195,195,27,Investigating Officer,2025-05-21,Active
196,196,14,Investigating Officer,2024-08-20,Closed
197,197,43,Investigating Officer,2025-05-17,Closed
198,198,28,Investigating Officer,2024-02-22,Active
199,199,117,Investigating Officer,2025-04-06,Active
200,200,69,Investigating Officer,2023-10-04,Closed
201,201,113,Investigating Officer,2023-04-08,Closed
202,202,13,Investigating Officer,2024-05-29,Active
203,203,95,Investigating Officer,2024-11-25,Active
204,204,40,Investigating Officer,2020-02-10,Closed
205,205,61,Investigating Officer,2024-04-18,Active
206,206,52,Investigating Officer,2023-06-17,Closed
207,207,41,Investigating Officer,2024-11-23,Closed
208,208,52,Investigating Officer,2022-08-03,Active
209,209,86,Investigating Officer,2024-11-26,Closed
210,210,70,Investigating Officer,2021-01-03,Closed
211,211,13,Investigating Officer,2020-08-01,Active
212,212,54,Investigating Officer,2025-12-27,Active
213,213,77,Investigating Officer,2025-04-05,Active
214,214,15,Investigating Officer,2020-01-03,Active
215,215,78,Investigating Officer,2024-07-27,Active
216,216,41,Investigating Officer,2025-01-16,Active
217,217,81,Investigating Officer,2021-08-19,Active
218,218,97,Investigating Officer,2021-08-20,Active
219,219,112,Investigating Officer,2025-06-19,Closed
220,220,18,Investigating Officer,2024-06-03,Closed
221,221,49,Investigating Officer,2022-06-16,Closed
222,222,113,Investigating Officer,2022-10-01,Closed
223,223,44,Investigating Officer,2025-03-16,Closed
224,224,10,Investigating Officer,2021-09-22,Active
225,225,32,Investigating Officer,2023-09-01,Active
226,226,68,Investigating Officer,2020-06-14,Closed
227,227,15,Investigating Officer,2021-07-21,Active
228,228,58,Investigating Officer,2024-09-08,Closed
229,229,13,Investigating Officer,2023-08-03,Active
230,230,13,Investigating Officer,2024-05-14,Active
231,231,49,Investigating Officer,2023-10-02,Active
232,232,37,Investigating Officer,2025-08-30,Active
233,233,113,Investigating Officer,2025-04-27,Active
234,234,8,Investigating Officer,2022-09-05,Closed
235,235,94,Investigating Officer,2025-12-27,Closed
236,236,4,Investigating Officer,2021-11-23,Closed
237,237,2,Investigating Officer,2023-01-11,Active
238,238,38,Investigating Officer,2020-03-15,Active
239,239,82,Investigating Officer,2022-05-19,Active
240,240,1,Investigating Officer,2024-03-05,Active
241,241,64,Investigating Officer,2023-07-22,Closed
242,242,102,Investigating Officer,2023-06-17,Active
243,243,41,Investigating Officer,2022-08-06,Active
244,244,18,Investigating Officer,2020-08-01,Active
245,245,110,Investigating Officer,2020-03-09,Active
246,246,38,Investigating Officer,2020-08-31,Active
247,247,94,Investigating Officer,2024-07-19,Active
248,248,25,Investigating Officer,2021-04-06,Active
249,249,75,Investigating Officer,2024-12-21,Active
250,250,90,Investigating Officer,2024-08-20,Closed
251,251,73,Investigating Officer,2022-06-22,Closed
252,252,102,Investigating Officer,2020-03-24,Active
253,253,30,Investigating Officer,2024-09-15,Closed
254,254,93,Investigating Officer,2023-08-23,Active
255,255,41,Investigating Officer,2021-02-24,Active
256,256,17,Investigating Officer,2021-05-01,Closed
257,257,64,Investigating Officer,2023-02-11,Active
258,258,34,Investigating Officer,2022-03-20,Closed
259,259,15,Investigating Officer,2025-04-24,Active
260,260,108,Investigating Officer,2025-01-29,Closed
261,261,90,Investigating Officer,2021-04-17,Closed
262,262,25,Investigating Officer,2025-09-13,Active
263,263,40,Investigating Officer,2021-01-01,Active
264,264,6,Investigating Officer,2020-04-09,Closed
265,265,115,Investigating Officer,2023-12-18,Active
266,266,13,Investigating Officer,2025-08-15,Active
267,267,100,Investigating Officer,2024-07-17,Closed
268,268,121,Investigating Officer,2022-05-01,Active
269,269,50,Investigating Officer,2025-12-07,Closed
270,270,30,Investigating Officer,2024-06-26,Closed
271,271,101,Investigating Officer,2023-06-22,Active
272,272,34,Investigating Officer,2020-12-12,Active
273,273,54,Investigating Officer,2025-03-22,Active
274,274,114,Investigating Officer,2021-05-15,Active
275,275,38,Investigating Officer,2024-07-16,Active
276,276,100,Investigating Officer,2022-01-27,Active
277,277,94,Investigating Officer,2021-05-05,Active
278,278,123,Investigating Officer,2021-03-21,Closed
279,279,13,Investigating Officer,2023-10-04,Closed
280,280,64,Investigating Officer,2024-10-21,Active
281,281,6,Investigating Officer,2025-02-09,Active
282,282,106,Investigating Officer,2022-05-13,Active
283,283,100,Investigating Officer,2022-05-18,Active
284,284,5,Investigating Officer,2022-11-11,Active
285,285,88,Investigating Officer,2021-08-17,Active
286,286,39,Investigating Officer,2021-03-19,Closed
287,287,89,Investigating Officer,2024-12-15,Active
288,288,6,Investigating Officer,2020-01-13,Closed
289,289,16,Investigating Officer,2024-03-29,Closed
290,290,76,Investigating Officer,2023-06-26,Active
291,291,97,Investigating Officer,2022-03-02,Closed
292,292,121,Investigating Officer,2024-08-11,Active
293,293,81,Investigating Officer,2023-11-12,Active
294,294,103,Investigating Officer,2022-03-23,Active
295,295,33,Investigating Officer,2021-10-31,Closed
296,296,103,Investigating Officer,2020-07-20,Active
297,297,21,Investigating Officer,2021-03-19,Active
298,298,37,Investigating Officer,2021-12-03,Closed
299,299,63,Investigating Officer,2022-07-26,Active
300,300,76,Investigating Officer,2020-03-04,Active
301,301,105,Investigating Officer,2022-12-21,Closed
302,302,52,Investigating Officer,2020-03-07,Active
303,303,25,Investigating Officer,2025-09-28,Active
304,304,104,Investigating Officer,2022-02-03,Active
305,305,83,Investigating Officer,2021-06-14,Active
306,306,4,Investigating Officer,2024-05-17,Active
307,307,76,Investigating Officer,2022-03-14,Closed
308,308,111,Investigating Officer,2024-07-16,Active
309,309,45,Investigating Officer,2024-02-24,Active
310,310,56,Investigating Officer,2020-02-01,Active
311,311,53,Investigating Officer,2024-01-31,Closed
312,312,100,Investigating Officer,2025-01-06,Active
313,313,24,Investigating Officer,2020-09-03,Active
314,314,84,Investigating Officer,2025-09-05,Closed
315,315,72,Investigating Officer,2023-03-25,Closed
316,316,43,Investigating Officer,2021-06-21,Active
317,317,19,Investigating Officer,2025-10-30,Closed
318,318,27,Investigating Officer,2021-11-17,Closed
319,319,3,Investigating Officer,2020-08-29,Active
320,320,88,Investigating Officer,2023-12-04,Active
321,321,90,Investigating Officer,2022-09-14,Active
322,322,36,Investigating Officer,2023-08-27,Closed
323,323,28,Investigating Officer,2023-08-24,Active
324,324,94,Investigating Officer,2023-04-02,Active
325,325,85,Investigating Officer,2023-09-18,Active
326,326,19,Investigating Officer,2024-06-14,Closed
327,327,111,Investigating Officer,2024-03-04,Active
328,328,109,Investigating Officer,2020-09-29,Closed
329,329,17,Investigating Officer,2023-02-09,Closed
330,330,122,Investigating Officer,2021-04-18,Closed
331,331,19,Investigating Officer,2020-06-20,Closed
332,332,84,Investigating Officer,2020-02-24,Active
333,333,26,Investigating Officer,2023-08-30,Closed
334,334,67,Investigating Officer,2020-03-10,Active
335,335,28,Investigating Officer,2020-08-08,Closed
336,336,79,Investigating Officer,2023-02-26,Closed
337,337,77,Investigating Officer,2025-01-23,Active
338,338,26,Investigating Officer,2025-03-06,Active
339,339,94,Investigating Officer,2020-02-23,Active
340,340,46,Investigating Officer,2023-09-22,Active
341,341,101,Investigating Officer,2024-10-10,Active
342,342,76,Investigating Officer,2020-11-19,Active
343,343,22,Investigating Officer,2025-03-29,Closed
344,344,61,Investigating Officer,2023-07-21,Active
345,345,86,Investigating Officer,2024-04-14,Closed
346,346,82,Investigating Officer,2021-04-11,Active
347,347,11,Investigating Officer,2022-11-28,Active
348,348,16,Investigating Officer,2025-08-24,Active
349,349,68,Investigating Officer,2024-12-08,Closed
350,350,59,Investigating Officer,2020-12-10,Closed
351,351,91,Investigating Officer,2022-12-30,Active
352,352,107,Investigating Officer,2024-03-25,Active
353,353,74,Investigating Officer,2024-10-24,Active
354,354,79,Investigating Officer,2020-01-02,Active
355,355,101,Investigating Officer,2024-10-06,Closed
356,356,93,Investigating Officer,2023-10-31,Active
357,357,20,Investigating Officer,2022-03-02,Closed
358,358,7,Investigating Officer,2024-06-29,Active
359,359,120,Investigating Officer,2024-06-09,Active
360,360,117,Investigating Officer,2025-05-10,Active
361,361,77,Investigating Officer,2022-10-15,Active
362,362,59,Investigating Officer,2022-01-02,Active
363,363,62,Investigating Officer,2025-06-30,Active
364,364,26,Investigating Officer,2024-09-11,Active
365,365,83,Investigating Officer,2025-04-25,Active
366,366,123,Investigating Officer,2020-01-26,Closed
367,367,53,Investigating Officer,2022-12-13,Active
368,368,103,Investigating Officer,2021-11-22,Closed
369,369,49,Investigating Officer,2023-03-14,Closed
370,370,18,Investigating Officer,2022-04-24,Closed
371,371,103,Investigating Officer,2024-05-04,Active
372,372,58,Investigating Officer,2025-10-09,Active
373,373,42,Investigating Officer,2020-09-27,Active
374,374,51,Investigating Officer,2024-10-09,Active
375,375,49,Investigating Officer,2021-01-01,Active
376,376,108,Investigating Officer,2021-10-05,Active
377,377,4,Investigating Officer,2025-03-04,Active
378,378,56,Investigating Officer,2023-03-31,Active
379,379,19,Investigating Officer,2020-03-10,Active
380,380,74,Investigating Officer,2020-10-29,Closed
381,381,112,Investigating Officer,2020-06-20,Active
382,382,89,Investigating Officer,2024-11-10,Active
383,383,111,Investigating Officer,2020-04-05,Active
384,384,108,Investigating Officer,2021-07-24,Active
385,385,106,Investigating Officer,2024-07-07,Closed
386,386,21,Investigating Officer,2023-04-17,Active
387,387,77,Investigating Officer,2024-08-06,Active
388,388,100,Investigating Officer,2025-01-27,Closed
389,389,3,Investigating Officer,2021-03-23,Active
390,390,114,Investigating Officer,2020-01-19,Closed
391,391,110,Investigating Officer,2023-11-12,Active
392,392,13,Investigating Officer,2020-07-04,Active
393,393,81,Investigating Officer,2023-01-23,Active
394,394,60,Investigating Officer,2020-07-13,Active
395,395,1,Investigating Officer,2023-08-22,Closed
396,396,30,Investigating Officer,2024-12-28,Active
397,397,25,Investigating Officer,2024-01-03,Closed
398,398,118,Investigating Officer,2023-03-03,Closed
399,399,13,Investigating Officer,2023-03-25,Active
400,400,56,Investigating Officer,2021-01-19,Active
401,401,95,Investigating Officer,2020-03-19,Active
402,402,27,Investigating Officer,2022-03-04,Active
403,403,123,Investigating Officer,2020-10-25,Active
404,404,28,Investigating Officer,2023-06-14,Active
405,405,46,Investigating Officer,2020-12-28,Closed
406,406,63,Investigating Officer,2020-12-25,Active
407,407,13,Investigating Officer,2020-04-11,Active
408,408,31,Investigating Officer,2025-11-09,Active
409,409,62,Investigating Officer,2025-04-10,Closed
410,410,116,Investigating Officer,2025-05-18,Active
411,411,103,Investigating Officer,2021-07-08,Active
412,412,26,Investigating Officer,2020-02-23,Closed
413,413,9,Investigating Officer,2025-08-23,Active
414,414,20,Investigating Officer,2021-06-24,Closed
415,415,40,Investigating Officer,2022-12-15,Active
416,416,70,Investigating Officer,2024-05-29,Active
417,417,49,Investigating Officer,2024-12-11,Closed
418,418,73,Investigating Officer,2020-12-28,Active
419,419,7,Investigating Officer,2021-02-05,Active
420,420,57,Investigating Officer,2024-02-06,Active
421,421,75,Investigating Officer,2023-01-05,Active
422,422,54,Investigating Officer,2025-08-21,Active
423,423,64,Investigating Officer,2021-08-07,Active
424,424,22,Investigating Officer,2021-05-16,Active
425,425,87,Investigating Officer,2025-02-18,Active
426,426,85,Investigating Officer,2023-07-27,Closed
427,427,33,Investigating Officer,2025-12-06,Active
428,428,9,Investigating Officer,2024-01-02,Active
429,429,36,Investigating Officer,2022-03-09,Active
430,430,69,Investigating Officer,2025-10-23,Active
431,431,28,Investigating Officer,2022-07-18,Active
432,432,91,Investigating Officer,2025-02-23,Active
433,433,106,Investigating Officer,2021-01-02,Active
434,434,42,Investigating Officer,2021-08-03,Closed
435,435,77,Investigating Officer,2023-10-14,Active
436,436,21,Investigating Officer,2025-06-11,Closed
437,437,55,Investigating Officer,2025-04-23,Active
438,438,13,Investigating Officer,2023-09-13,Active
439,439,4,Investigating Officer,2021-10-10,Active
440,440,90,Investigating Officer,2024-07-20,Closed
441,441,101,Investigating Officer,2024-09-17,Closed
442,442,113,Investigating Officer,2022-08-13,Closed
443,443,2,Investigating Officer,2024-06-08,Closed
444,444,50,Investigating Officer,2020-04-04,Active
445,445,109,Investigating Officer,2024-04-06,Active
446,446,61,Investigating Officer,2024-05-30,Closed
447,447,112,Investigating Officer,2022-11-24,Active
448,448,42,Investigating Officer,2025-12-23,Active
449,449,7,Investigating Officer,2025-10-25,Active
450,450,75,Investigating Officer,2022-07-04,Active
451,451,39,Investigating Officer,2025-04-14,Active
452,452,104,Investigating Officer,2022-04-18,Active
453,453,87,Investigating Officer,2025-08-28,Active
454,454,12,Investigating Officer,2025-06-18,Closed
455,455,118,Investigating Officer,2024-05-19,Active
456,456,19,Investigating Officer,2022-07-29,Closed
457,457,48,Investigating Officer,2021-12-11,Active
458,458,25,Investigating Officer,2025-02-20,Active
459,459,80,Investigating Officer,2025-03-09,Active
460,460,44,Investigating Officer,2021-09-23,Active
461,461,29,Investigating Officer,2022-10-17,Active
462,462,107,Investigating Officer,2020-07-23,Active
463,463,67,Investigating Officer,2021-03-24,Active
464,464,75,Investigating Officer,2024-04-15,Active
465,465,64,Investigating Officer,2020-03-26,Closed
466,466,76,Investigating Officer,2021-10-17,Active
467,467,25,Investigating Officer,2021-10-07,Closed
468,468,30,Investigating Officer,2023-04-30,Closed
469,469,105,Investigating Officer,2020-06-27,Closed
470,470,23,Investigating Officer,2021-09-21,Closed
471,471,2,Investigating Officer,2021-12-28,Closed
472,472,23,Investigating Officer,2022-06-10,Active
473,473,103,Investigating Officer,2023-02-26,Closed
474,474,110,Investigating Officer,2021-10-20,Closed
475,475,33,Investigating Officer,2024-06-10,Active
476,476,119,Investigating Officer,2020-09-01,Closed
477,477,40,Investigating Officer,2024-07-27,Active
478,478,99,Investigating Officer,2022-07-13,Closed
479,479,96,Investigating Officer,2020-06-26,Active
480,480,24,Investigating Officer,2024-09-12,Closed
481,481,105,Investigating Officer,2023-12-20,Active
482,482,60,Investigating Officer,2024-12-27,Active
483,483,89,Investigating Officer,2025-08-01,Active
484,484,42,Investigating Officer,2025-12-24,Closed
485,485,32,Investigating Officer,2020-06-09,Closed
486,486,39,Investigating Officer,2023-09-13,Active
487,487,86,Investigating Officer,2020-07-12,Active
488,488,105,Investigating Officer,2024-11-04,Active
489,489,22,Investigating Officer,2023-04-25,Active
490,490,73,Investigating Officer,2021-04-23,Closed
491,491,57,Investigating Officer,2022-11-25,Active
492,492,16,Investigating Officer,2023-09-26,Closed
493,493,47,Investigating Officer,2021-08-09,Closed
494,494,58,Investigating Officer,2021-07-27,Active
495,495,115,Investigating Officer,2025-02-03,Closed
496,496,23,Investigating Officer,2025-02-24,Active
497,497,48,Investigating Officer,2024-10-15,Closed
498,498,23,Investigating Officer,2024-07-31,Active
499,499,94,Investigating Officer,2024-12-18,Active
500,500,11,Investigating Officer,2020-05-31,Active
501,501,31,Investigating Officer,2023-02-08,Closed
502,502,65,Investigating Officer,2025-10-30,Closed
503,503,25,Investigating Officer,2025-01-24,Active
504,504,19,Investigating Officer,2020-05-01,Active
505,505,120,Investigating Officer,2021-03-07,Closed
506,506,3,Investigating Officer,2023-07-28,Active
507,507,58,Investigating Officer,2023-12-02,Active
508,508,42,Investigating Officer,2025-12-14,Active
509,509,104,Investigating Officer,2021-01-05,Active
510,510,119,Investigating Officer,2025-09-12,Active
511,511,50,Investigating Officer,2020-11-09,Active
512,512,103,Investigating Officer,2022-05-26,Active
513,513,5,Investigating Officer,2024-09-09,Active
514,514,53,Investigating Officer,2021-04-03,Closed
515,515,20,Investigating Officer,2020-05-23,Active
516,516,92,Investigating Officer,2021-01-21,Active
517,517,50,Investigating Officer,2022-08-10,Closed
518,518,40,Investigating Officer,2022-09-10,Active
519,519,51,Investigating Officer,2022-04-18,Active
520,520,101,Investigating Officer,2022-05-31,Closed
521,521,14,Investigating Officer,2024-08-03,Active
522,522,118,Investigating Officer,2020-05-21,Active
523,523,49,Investigating Officer,2023-02-18,Active
524,524,55,Investigating Officer,2022-01-22,Active
525,525,93,Investigating Officer,2020-04-02,Closed
526,526,25,Investigating Officer,2024-01-10,Closed
527,527,57,Investigating Officer,2024-08-21,Active
528,528,5,Investigating Officer,2024-11-30,Active
529,529,102,Investigating Officer,2024-05-28,Active
530,530,61,Investigating Officer,2021-08-29,Active
531,531,5,Investigating Officer,2022-10-15,Active
532,532,5,Investigating Officer,2024-04-23,Active
533,533,73,Investigating Officer,2023-05-14,Active
534,534,47,Investigating Officer,2022-09-27,Active
535,535,37,Investigating Officer,2020-10-07,Active
536,536,12,Investigating Officer,2022-12-29,Active
537,537,28,Investigating Officer,2025-08-13,Active
538,538,16,Investigating Officer,2021-07-25,Closed
539,539,115,Investigating Officer,2022-12-19,Closed
540,540,82,Investigating Officer,2021-05-27,Closed
541,541,59,Investigating Officer,2024-12-06,Active
542,542,59,Investigating Officer,2022-11-28,Closed
543,543,1,Investigating Officer,2024-05-05,Active
544,544,18,Investigating Officer,2022-04-30,Active
545,545,80,Investigating Officer,2021-09-16,Closed
546,546,54,Investigating Officer,2021-05-21,Active
547,547,98,Investigating Officer,2020-09-22,Active
548,548,52,Investigating Officer,2022-10-09,Closed
549,549,11,Investigating Officer,2021-03-06,Active
550,550,95,Investigating Officer,2025-03-26,Closed
551,551,55,Investigating Officer,2025-11-15,Active
552,552,87,Investigating Officer,2025-04-15,Active
553,553,27,Investigating Officer,2024-04-22,Active
554,554,107,Investigating Officer,2025-03-21,Active
555,555,74,Investigating Officer,2022-11-29,Closed
556,556,81,Investigating Officer,2024-05-09,Closed
557,557,110,Investigating Officer,2025-08-23,Active
558,558,75,Investigating Officer,2022-09-30,Active
559,559,29,Investigating Officer,2021-05-15,Closed
560,560,95,Investigating Officer,2024-01-23,Active
561,561,72,Investigating Officer,2025-03-09,Closed
562,562,44,Investigating Officer,2022-06-05,Active
563,563,64,Investigating Officer,2025-12-03,Active
564,564,41,Investigating Officer,2024-06-30,Active
565,565,102,Investigating Officer,2022-08-15,Closed
566,566,62,Investigating Officer,2024-10-23,Active
567,567,113,Investigating Officer,2022-09-15,Closed
568,568,90,Investigating Officer,2024-10-10,Closed
569,569,83,Investigating Officer,2022-04-29,Active
570,570,14,Investigating Officer,2022-06-03,Active
571,571,74,Investigating Officer,2024-12-09,Active
572,572,107,Investigating Officer,2022-06-15,Active
