association_id,offender_id_a,offender_id_b,relationship_type,strength,first_seen_crime_id,relationship_type_id
347,48,266,Family,0.92,1188,2
348,48,59,Family,0.91,1561,2
349,48,163,Co-accused,0.69,1561,1
350,59,163,Co-accused,0.74,1561,1
351,48,294,Co-accused,0.38,1562,1
352,48,52,Gang member,0.46,1811,3
353,48,65,Family,0.73,1811,2
354,52,65,Gang member,0.45,1811,3
355,49,165,Co-accused,0.49,628,1
356,49,218,Gang member,0.49,1534,3
357,50,245,Family,0.31,105,2
358,50,255,Family,0.91,227,2
359,50,337,Co-accused,0.4,410,1
360,50,197,Family,0.84,838,2
361,50,352,Family,0.47,838,2
362,197,352,Family,0.83,838,2
363,50,313,Co-accused,0.89,1815,1
364,50,318,Co-accused,0.43,1815,1
365,313,318,Gang member,0.42,1815,3
366,51,68,Co-accused,0.88,579,1
367,51,301,Gang member,0.43,579,3
368,68,301,Co-accused,0.51,579,1
369,51,147,Known associate,0.76,686,4
370,51,126,Gang member,0.9,1336,3
371,52,196,Co-accused,0.72,67,1
372,52,194,Co-accused,0.59,633,1
373,52,174,Known associate,0.71,1726,4
374,53,308,Family,0.38,395,2
375,53,304,Co-accused,0.86,487,1
376,53,135,Gang member,0.77,512,3
377,53,261,Known associate,0.99,512,4
378,135,261,Co-accused,0.31,512,1
379,53,345,Gang member,0.66,1165,3
380,53,359,Gang member,0.39,1165,3
381,345,359,Co-accused,0.65,1165,1
382,54,218,Co-accused,0.68,40,1
383,54,77,Gang member,0.9,332,3
384,54,391,Co-accused,0.47,470,1
385,54,288,Family,0.77,964,2
386,54,325,Gang member,0.48,964,3
387,288,325,Gang member,0.99,964,3
388,54,67,Co-accused,0.89,1043,1
389,54,362,Family,0.7,1273,2
390,54,109,Known associate,0.8,1500,4
391,54,88,Co-accused,0.65,1580,1
392,54,117,Gang member,0.47,1662,3
393,54,134,Known associate,0.66,1662,4
394,117,134,Gang member,0.59,1662,3
395,54,135,Gang member,0.83,1964,3
396,55,379,Co-accused,0.36,1626,1
397,55,385,Known associate,0.9,1715,4
398,56,241,Family,0.73,140,2
399,56,246,Known associate,1,140,4
400,241,246,Family,0.42,140,2
401,56,216,Co-accused,0.57,259,1
402,56,188,Family,0.31,1323,2
403,56,374,Co-accused,0.59,1323,1
404,188,374,Co-accused,0.66,1323,1
405,56,62,Co-accused,0.88,1934,1
406,57,71,Known associate,0.31,559,4
407,57,280,Family,0.6,559,2
408,71,280,Known associate,0.77,559,4
409,57,368,Gang member,0.57,800,3
410,57,64,Gang member,0.38,887,3
411,57,350,Gang member,0.92,1162,3
412,57,145,Known associate,0.33,1199,4
413,57,236,Co-accused,0.37,1199,1
414,145,236,Known associate,0.48,1199,4
415,57,231,Family,0.68,1210,2
416,57,182,Known associate,0.32,1244,4
417,57,221,Gang member,0.87,1290,3
418,58,92,Co-accused,0.89,64,1
419,58,218,Known associate,0.66,64,4
420,92,218,Known associate,0.55,64,4
421,58,388,Known associate,0.81,87,4
422,58,246,Family,0.4,261,2
423,58,287,Known associate,0.63,261,4
424,246,287,Gang member,0.76,261,3
425,58,301,Co-accused,0.5,355,1
426,301,388,Known associate,0.85,355,4
427,58,72,Known associate,0.99,369,4
428,58,94,Co-accused,0.61,423,1
429,58,217,Known associate,0.59,759,4
430,59,180,Known associate,0.71,1284,4
431,60,343,Known associate,0.87,27,4
432,60,375,Known associate,0.37,27,4
433,343,375,Known associate,0.51,27,4
434,60,384,Known associate,0.59,591,4
435,60,62,Known associate,0.64,1086,4
436,60,188,Co-accused,0.86,1141,1
437,60,330,Known associate,0.41,1231,4
438,61,272,Gang member,0.79,488,3
439,61,335,Family,0.51,488,2
440,272,335,Known associate,0.91,488,4
441,61,248,Gang member,0.93,801,3
442,61,348,Known associate,0.47,801,4
443,248,348,Co-accused,0.63,801,1
444,61,187,Known associate,0.41,1166,4
445,61,329,Gang member,0.96,1697,3
446,62,298,Co-accused,0.46,247,1
447,62,141,Family,0.79,690,2
448,62,105,Family,0.54,1214,2
449,62,189,Gang member,0.73,1214,3
450,105,189,Family,0.64,1214,2
451,63,264,Gang member,0.82,338,3
452,63,344,Family,0.82,456,2
453,63,169,Known associate,0.48,997,4
454,63,144,Gang member,0.41,1285,3
455,63,376,Co-accused,0.41,1285,1
456,144,376,Known associate,0.98,1285,4
457,64,394,Co-accused,0.8,429,1
458,64,226,Gang member,0.49,781,3
459,64,396,Co-accused,0.43,781,1
460,226,396,Family,0.4,781,2
461,64,351,Gang member,0.98,1383,3
462,65,276,Family,0.94,20,2
463,66,107,Co-accused,0.61,1196,1
464,66,215,Co-accused,0.72,1406,1
465,67,337,Known associate,0.45,69,4
466,67,307,Family,0.33,164,2
467,67,244,Co-accused,0.9,1276,1
468,67,121,Gang member,0.41,1345,3
469,67,156,Family,0.96,1782,2
470,67,177,Gang member,0.46,1871,3
471,67,245,Known associate,0.41,1871,4
472,177,245,Co-accused,0.67,1871,1
473,68,232,Gang member,0.98,427,3
474,68,237,Family,0.56,427,2
475,232,237,Gang member,0.98,427,3
476,68,348,Gang member,0.41,597,3
477,68,341,Co-accused,0.67,806,1
478,69,306,Known associate,0.86,1654,4
479,69,365,Known associate,0.92,1860,4
480,70,248,Co-accused,0.69,320,1
481,70,252,Known associate,0.84,514,4
482,71,253,Co-accused,0.67,314,1
483,71,184,Co-accused,0.86,803,1
484,71,303,Known associate,0.43,869,4
485,71,224,Co-accused,0.65,1174,1
486,71,203,Gang member,0.5,1652,3
487,72,301,Co-accused,0.59,278,1
488,72,158,Gang member,0.44,777,3
489,72,383,Known associate,0.54,777,4
490,158,383,Known associate,0.44,777,4
491,72,217,Known associate,0.69,785,4
492,72,90,Family,0.8,906,2
493,72,335,Family,0.39,1425,2
494,72,209,Co-accused,0.49,1875,1
495,73,260,Gang member,0.43,897,3
496,73,122,Gang member,0.49,1245,3
497,74,337,Gang member,0.88,612,3
498,74,194,Co-accused,0.91,902,1
499,74,160,Co-accused,0.78,1546,1
500,75,288,Family,0.46,167,2
501,75,111,Family,0.43,987,2
502,76,278,Gang member,0.51,1089,3
503,77,277,Gang member,0.3,225,3
504,77,111,Family,0.84,345,2
505,77,249,Gang member,0.51,345,3
506,111,249,Family,0.65,345,2
507,77,113,Co-accused,0.95,412,1
508,77,177,Co-accused,0.93,784,1
509,77,179,Co-accused,0.94,991,1
510,77,279,Gang member,0.56,991,3
511,179,279,Family,0.95,991,2
512,77,182,Co-accused,0.33,1209,1
513,77,379,Known associate,0.9,1209,4
514,182,379,Gang member,0.63,1209,3
515,77,374,Gang member,1,1350,3
516,77,193,Known associate,0.76,1625,4
517,78,260,Known associate,0.42,536,4
518,78,353,Co-accused,0.61,536,1
519,260,353,Co-accused,0.55,536,1
520,78,197,Gang member,0.36,1696,3
521,78,232,Family,0.65,1696,2
522,197,232,Known associate,0.37,1696,4
523,78,351,Family,0.55,1701,2
524,79,130,Co-accused,0.95,434,1
525,79,109,Co-accused,0.34,664,1
526,79,263,Known associate,0.51,664,4
527,109,263,Co-accused,0.83,664,1
528,80,199,Family,0.61,550,2
529,80,234,Co-accused,0.38,721,1
530,80,236,Gang member,0.46,1274,3
531,80,286,Family,0.4,1274,2
532,236,286,Family,0.56,1274,2
533,81,200,Co-accused,0.99,271,1
534,81,324,Co-accused,0.45,271,1
535,200,324,Family,0.83,271,2
536,81,316,Known associate,0.63,568,4
537,81,263,Known associate,0.47,1459,4
538,81,105,Family,1,1706,2
539,81,241,Gang member,0.68,1706,3
540,105,241,Family,0.98,1706,2
541,82,324,Co-accused,0.82,336,1
542,82,351,Known associate,0.86,336,4
543,324,351,Known associate,0.65,336,4
544,82,102,Family,0.46,455,2
545,82,103,Co-accused,0.95,455,1
546,102,103,Co-accused,0.42,455,1
547,82,347,Co-accused,0.68,1622,1
548,82,372,Gang member,0.58,1622,3
549,347,372,Family,0.98,1622,2
550,83,189,Known associate,0.88,145,4
551,83,379,Co-accused,0.4,145,1
552,189,379,Co-accused,0.82,145,1
553,83,116,Gang member,0.97,407,3
554,84,201,Co-accused,0.34,415,1
555,84,136,Family,0.41,1266,2
556,84,159,Family,0.32,1266,2
557,136,159,Co-accused,0.57,1266,1
558,85,236,Family,0.77,670,2
559,85,159,Gang member,0.77,895,3
560,85,253,Gang member,0.9,895,3
561,159,253,Gang member,0.7,895,3
562,85,301,Known associate,0.5,1258,4
563,85,330,Family,0.54,1258,2
564,301,330,Known associate,0.65,1258,4
565,86,260,Gang member,0.87,653,3
566,86,296,Family,0.72,990,2
567,86,178,Known associate,0.56,1030,4
568,86,203,Co-accused,0.44,1722,1
569,86,245,Known associate,0.46,1843,4
570,86,269,Known associate,0.41,1843,4
571,245,269,Gang member,0.61,1843,3
572,87,128,Known associate,0.61,718,4
573,87,329,Family,0.91,718,2
574,128,329,Gang member,0.42,718,3
575,87,177,Family,0.57,1380,2
576,88,164,Family,0.51,466,2
577,88,243,Family,0.71,466,2
578,164,243,Known associate,0.86,466,4
579,88,221,Known associate,0.96,1507,4
580,88,258,Gang member,0.51,1507,3
581,221,258,Gang member,0.78,1507,3
582,88,266,Known associate,0.72,1708,4
583,89,218,Family,0.48,260,2
584,89,313,Gang member,0.56,260,3
585,218,313,Family,0.67,260,2
586,89,363,Family,0.49,318,2
587,89,270,Family,0.36,1539,2
588,89,332,Family,0.33,1539,2
589,270,332,Gang member,0.5,1539,3
590,89,148,Family,0.94,1573,2
591,89,317,Gang member,0.35,1789,3
592,90,128,Family,0.33,66,2
593,90,342,Known associate,0.57,616,4
594,90,184,Known associate,0.46,1409,4
595,90,372,Known associate,0.43,1882,4
596,91,335,Co-accused,0.37,191,1
597,91,241,Known associate,0.5,387,4
598,91,322,Gang member,0.48,538,3
599,91,324,Co-accused,0.54,538,1
600,322,324,Known associate,0.45,538,4
601,91,186,Family,0.73,1022,2
602,91,237,Co-accused,0.79,1022,1
603,186,237,Family,0.89,1022,2
604,91,139,Co-accused,0.67,1668,1
605,91,209,Gang member,0.54,1668,3
606,139,209,Known associate,0.92,1668,4
607,91,229,Gang member,0.6,1695,3
608,92,389,Known associate,0.48,128,4
609,92,203,Family,0.56,170,2
610,92,189,Family,0.7,445,2
611,92,139,Family,0.48,485,2
612,92,98,Known associate,0.81,1126,4
613,92,162,Gang member,0.74,1126,3
614,98,162,Co-accused,0.81,1126,1
615,92,105,Known associate,0.45,1646,4
616,93,104,Gang member,0.86,231,3
617,93,370,Known associate,0.58,231,4
618,104,370,Known associate,0.71,231,4
619,93,115,Family,0.92,300,2
620,93,277,Known associate,0.34,572,4
621,93,213,Family,0.67,1120,2
622,93,292,Family,0.94,1915,2
623,115,292,Family,0.95,1915,2
624,94,200,Known associate,0.46,1980,4
625,95,149,Co-accused,0.53,519,1
626,95,300,Co-accused,0.68,1082,1
627,95,179,Family,0.97,1423,2
628,95,201,Known associate,0.56,1423,4
629,179,201,Co-accused,0.89,1423,1
630,96,173,Gang member,0.78,108,3
631,97,208,Gang member,0.86,823,3
632,97,362,Family,0.64,823,2
633,208,362,Gang member,0.62,823,3
634,98,383,Gang member,0.45,53,3
635,98,175,Co-accused,0.31,919,1
636,98,111,Co-accused,0.81,1351,1
637,98,131,Known associate,0.91,1587,4
638,98,334,Family,0.43,1679,2
639,99,179,Co-accused,0.86,516,1
640,99,263,Family,0.55,516,2
641,179,263,Co-accused,0.56,516,1
642,99,125,Gang member,0.33,751,3
643,99,397,Gang member,0.56,751,3
644,125,397,Gang member,0.78,751,3
645,100,276,Co-accused,0.35,26,1
646,100,277,Known associate,0.86,26,4
647,276,277,Known associate,0.85,26,4
648,100,359,Co-accused,0.74,333,1
649,100,216,Family,0.41,611,2
650,100,345,Known associate,0.35,611,4
651,216,345,Co-accused,0.45,611,1
652,100,354,Family,0.53,820,2
653,100,193,Co-accused,0.57,1506,1
654,100,197,Gang member,0.41,1506,3
655,193,197,Known associate,0.33,1506,4
656,101,223,Co-accused,0.62,232,1
657,101,395,Gang member,0.92,232,3
658,223,395,Gang member,0.96,232,3
659,101,140,Family,0.32,1003,2
660,101,235,Family,0.37,1003,2
661,140,235,Known associate,0.59,1003,4
662,101,147,Family,0.71,1608,2
663,102,295,Family,0.63,583,2
664,102,332,Gang member,0.63,1100,3
665,102,369,Co-accused,0.98,1325,1
666,102,124,Gang member,0.61,1786,3
667,102,220,Gang member,0.64,1866,3
668,102,400,Family,0.95,1866,2
669,220,400,Co-accused,0.33,1866,1
670,103,154,Family,0.75,340,2
671,103,252,Family,0.63,340,2
672,154,252,Co-accused,0.3,340,1
673,103,247,Family,0.34,1095,2
674,103,107,Gang member,0.39,1555,3
675,104,149,Family,0.57,464,2
676,104,234,Co-accused,0.68,532,1
677,104,322,Family,0.37,1181,2
678,104,356,Known associate,0.85,1181,4
679,322,356,Family,0.33,1181,2
680,105,164,Family,0.34,323,2
681,105,172,Co-accused,0.37,511,1
682,105,325,Gang member,0.83,511,3
683,172,325,Gang member,0.81,511,3
684,105,279,Gang member,0.79,753,3
685,105,110,Gang member,0.91,1182,3
686,105,340,Co-accused,0.52,1182,1
687,110,340,Co-accused,0.39,1182,1
688,105,341,Co-accused,0.83,1412,1
689,105,337,Co-accused,0.81,1496,1
690,105,361,Gang member,0.85,1717,3
691,106,311,Co-accused,0.3,207,1
692,106,253,Family,0.94,515,2
693,106,260,Family,0.73,515,2
694,253,260,Family,0.89,515,2
695,107,348,Co-accused,0.89,941,1
696,107,354,Co-accused,0.5,993,1
697,107,228,Known associate,0.36,1078,4
698,107,381,Family,0.46,1078,2
699,107,210,Gang member,0.69,1148,3
700,107,391,Gang member,0.55,1148,3
701,210,391,Family,0.48,1148,2
702,107,255,Gang member,0.94,1271,3
703,107,200,Known associate,0.65,1365,4
704,107,392,Family,0.39,1764,2
705,108,115,Family,0.4,499,2
706,108,159,Co-accused,0.93,499,1
707,115,159,Family,0.31,499,2
708,108,302,Gang member,0.87,953,3
709,108,124,Known associate,0.9,1649,4
710,109,336,Family,0.52,411,2
711,109,375,Co-accused,0.98,411,1
712,336,375,Known associate,0.95,411,4
713,109,304,Gang member,0.93,438,3
714,109,270,Co-accused,0.89,819,1
715,109,258,Gang member,0.94,1144,3
716,109,228,Known associate,0.75,1657,4
717,110,158,Co-accused,0.53,88,1
718,110,224,Family,0.96,717,2
719,110,244,Known associate,0.3,717,4
720,224,244,Gang member,0.51,717,3
721,110,179,Known associate,0.76,973,4
722,110,228,Gang member,0.59,1621,3
723,110,233,Gang member,0.98,1621,3
724,228,233,Gang member,0.46,1621,3
725,111,217,Family,0.74,843,2
