stat_id,district,incident_year,incident_month,crime_type,incident_count,solved_count,total_property_loss_inr,solve_rate,district_id,crime_type_id
185,Bengaluru Urban,2020,10,Kidnapping,1,1,0,1,1,5
186,Udupi,2021,9,Robbery,1,0,117137,0,12,7
187,Bengaluru Rural,2021,6,Theft,1,1,284942,1,2,9
188,Dharwad,2022,12,Theft,1,1,348463,1,8,9
189,Mysuru,2020,6,Assault,1,1,0,1,3,1
190,Bengaluru Rural,2025,5,Robbery,1,0,349743,0,2,7
191,Bengaluru Urban,2024,8,Assault,4,4,0,1,1,1
192,Tumakuru,2025,5,Drug Offence,2,0,0,0,4,3
193,Mysuru,2024,2,Drug Offence,1,0,0,0,3,3
194,Udupi,2025,4,Assault,2,1,0,0.5,12,1
195,Belagavi,2023,10,Vandalism,2,1,0,0.5,6,10
196,Shivamogga,2023,4,Assault,1,0,0,0,11,1
197,Bengaluru Urban,2024,5,Theft,3,1,707830,0.333,1,9
198,Ballari,2024,11,Assault,1,0,0,0,9,1
199,Tumakuru,2020,2,Theft,1,1,486461,1,4,9
200,Belagavi,2024,4,Drug Offence,2,0,0,0,6,3
201,Dakshina Kannada,2023,6,Theft,1,0,78845,0,5,9
202,Tumakuru,2024,11,Murder,1,1,0,1,4,6
203,Dakshina Kannada,2022,8,Theft,2,1,449156,0.5,5,9
204,Dharwad,2024,11,Sexual Assault,1,0,0,0,8,8
205,Kalaburagi,2021,1,Theft,2,2,127225,1,7,9
206,Bengaluru Urban,2020,8,Theft,3,2,890183,0.667,1,9
207,Dakshina Kannada,2025,12,Fraud,2,0,600013,0,5,4
208,Kalaburagi,2025,4,Theft,2,0,386021,0,7,9
209,Bengaluru Urban,2020,1,Vandalism,1,0,0,0,1,10
210,Kalaburagi,2024,7,Drug Offence,1,0,0,0,7,3
211,Tumakuru,2025,1,Assault,1,1,0,1,4,1
212,Dharwad,2021,8,Kidnapping,1,1,0,1,8,5
213,Hassan,2021,8,Theft,2,1,339427,0.5,10,9
214,Dakshina Kannada,2022,6,Drug Offence,1,0,0,0,5,3
215,Shivamogga,2022,10,Assault,1,0,0,0,11,1
216,Tumakuru,2025,3,Murder,1,0,0,0,4,6
217,Bengaluru Urban,2021,9,Assault,3,2,0,0.667,1,1
218,Mysuru,2023,9,Robbery,1,1,79632,1,3,7
219,Belagavi,2020,6,Cybercrime,1,1,0,1,6,2
220,Bengaluru Urban,2021,7,Fraud,2,1,804755,0.5,1,4
221,Belagavi,2024,9,Theft,1,1,30800,1,6,9
222,Bengaluru Urban,2023,8,Theft,2,2,517574,1,1,9
223,Dakshina Kannada,2023,10,Robbery,1,1,372960,1,5,7
224,Mysuru,2025,8,Theft,2,1,473195,0.5,3,9
225,Shivamogga,2025,4,Cybercrime,1,1,0,1,11,2
226,Bengaluru Urban,2022,9,Theft,2,0,769853,0,1,9
227,Ballari,2025,12,Vandalism,1,0,0,0,9,10
228,Bengaluru Urban,2021,11,Theft,1,1,284331,1,1,9
229,Bengaluru Urban,2023,1,Kidnapping,1,0,0,0,1,5
230,Mysuru,2020,3,Assault,2,2,0,1,3,1
231,Dharwad,2022,5,Theft,2,0,348016,0,8,9
232,Bengaluru Urban,2024,3,Assault,1,0,0,0,1,1
233,Belagavi,2023,7,Theft,3,1,773802,0.333,6,9
234,Hassan,2023,6,Robbery,1,1,49889,1,10,7
235,Tumakuru,2022,8,Assault,1,0,0,0,4,1
236,Bengaluru Urban,2020,8,Cybercrime,2,2,0,1,1,2
237,Shivamogga,2020,3,Drug Offence,1,0,0,0,11,3
238,Mysuru,2020,8,Assault,2,0,0,0,3,1
239,Ballari,2024,7,Theft,2,0,363880,0,9,9
240,Bengaluru Rural,2021,4,Vandalism,1,0,0,0,2,10
241,Kalaburagi,2024,12,Cybercrime,1,1,0,1,7,2
242,Ballari,2024,8,Assault,1,0,0,0,9,1
243,Hassan,2020,3,Fraud,1,0,418903,0,10,4
244,Mysuru,2024,9,Kidnapping,1,0,0,0,3,5
245,Ballari,2023,8,Cybercrime,1,1,0,1,9,2
246,Tumakuru,2021,2,Assault,1,0,0,0,4,1
247,Bengaluru Urban,2021,5,Robbery,1,0,397057,0,1,7
248,Belagavi,2023,2,Theft,2,1,690548,0.5,6,9
249,Mysuru,2022,3,Theft,1,0,328797,0,3,9
250,Bengaluru Urban,2025,4,Fraud,2,1,418360,0.5,1,4
251,Shivamogga,2025,1,Murder,1,1,0,1,11,6
252,Ballari,2021,4,Sexual Assault,1,1,0,1,9,8
253,Tumakuru,2021,1,Theft,3,2,752271,0.667,4,9
254,Bengaluru Urban,2020,4,Drug Offence,1,1,0,1,1,3
255,Udupi,2023,12,Theft,1,0,426123,0,12,9
256,Bengaluru Urban,2025,8,Theft,3,3,1005137,1,1,9
257,Hassan,2024,7,Theft,1,1,162595,1,10,9
258,Udupi,2022,5,Assault,1,0,0,0,12,1
259,Mysuru,2024,6,Cybercrime,1,1,0,1,3,2
260,Hassan,2023,6,Assault,2,1,0,0.5,10,1
261,Mysuru,2020,12,Theft,1,0,383139,0,3,9
262,Dakshina Kannada,2025,3,Robbery,1,1,480502,1,5,7
263,Shivamogga,2021,5,Robbery,1,0,285410,0,11,7
264,Mysuru,2024,7,Assault,1,0,0,0,3,1
265,Hassan,2022,1,Sexual Assault,1,1,0,1,10,8
266,Udupi,2021,3,Drug Offence,2,1,0,0.5,12,3
267,Bengaluru Urban,2023,10,Theft,1,0,493180,0,1,9
268,Belagavi,2024,10,Theft,1,1,272764,1,6,9
269,Bengaluru Urban,2025,2,Robbery,1,0,96156,0,1,7
270,Shivamogga,2022,5,Cybercrime,1,0,0,0,11,2
271,Hassan,2022,5,Theft,3,1,266210,0.333,10,9
272,Bengaluru Urban,2022,11,Drug Offence,1,0,0,0,1,3
273,Ballari,2021,8,Theft,1,0,404907,0,9,9
274,Mysuru,2021,3,Kidnapping,1,0,0,0,3,5
275,Ballari,2024,12,Drug Offence,1,0,0,0,9,3
276,Bengaluru Urban,2020,1,Fraud,2,2,569294,1,1,4
277,Bengaluru Urban,2024,3,Fraud,1,1,164466,1,1,4
278,Kalaburagi,2023,6,Assault,1,1,0,1,7,1
279,Hassan,2022,3,Theft,3,2,445844,0.667,10,9
280,Udupi,2024,8,Assault,1,0,0,0,12,1
281,Dharwad,2023,11,Cybercrime,1,1,0,1,8,2
282,Mysuru,2021,10,Cybercrime,1,1,0,1,3,2
283,Hassan,2020,7,Theft,1,0,144384,0,10,9
284,Bengaluru Rural,2021,3,Robbery,1,0,460420,0,2,7
285,Mysuru,2021,12,Theft,1,1,127417,1,3,9
286,Belagavi,2022,7,Robbery,1,0,237803,0,6,7
287,Kalaburagi,2020,3,Assault,3,1,0,0.333,7,1
288,Hassan,2022,12,Vandalism,1,0,0,0,10,10
289,Dakshina Kannada,2020,3,Theft,1,0,441326,0,5,9
290,Hassan,2022,2,Drug Offence,1,1,0,1,10,3
291,Dharwad,2021,6,Assault,1,1,0,1,8,1
292,Bengaluru Urban,2024,5,Cybercrime,1,1,0,1,1,2
293,Kalaburagi,2022,3,Assault,2,1,0,0.5,7,1
294,Shivamogga,2024,7,Kidnapping,1,1,0,1,11,5
295,Tumakuru,2024,2,Robbery,1,1,202521,1,4,7
296,Dakshina Kannada,2020,2,Fraud,1,0,253885,0,5,4
297,Dakshina Kannada,2024,1,Fraud,1,0,191947,0,5,4
298,Hassan,2025,1,Theft,6,1,1846985,0.167,10,9
299,Bengaluru Rural,2020,9,Cybercrime,2,1,0,0.5,2,2
300,Dharwad,2025,9,Robbery,1,1,468278,1,8,7
301,Kalaburagi,2023,3,Fraud,1,1,81759,1,7,4
302,Tumakuru,2021,6,Theft,2,1,488672,0.5,4,9
303,Bengaluru Rural,2025,10,Theft,1,0,471266,0,2,9
304,Bengaluru Rural,2021,11,Robbery,1,0,99836,0,2,7
305,Ballari,2023,12,Theft,1,0,170621,0,9,9
306,Ballari,2022,9,Robbery,1,0,360439,0,9,7
307,Mysuru,2023,8,Kidnapping,1,1,0,1,3,5
308,Ballari,2023,4,Theft,3,2,1106385,0.667,9,9
309,Dharwad,2023,9,Theft,1,1,303866,1,8,9
310,Bengaluru Rural,2024,6,Theft,2,1,797647,0.5,2,9
311,Shivamogga,2024,3,Assault,2,1,0,0.5,11,1
312,Shivamogga,2020,9,Robbery,1,0,87807,0,11,7
313,Bengaluru Urban,2023,2,Robbery,1,0,360067,0,1,7
314,Udupi,2021,4,Theft,1,1,60380,1,12,9
315,Bengaluru Rural,2020,6,Theft,1,1,485219,1,2,9
316,Dharwad,2020,2,Robbery,1,0,47238,0,8,7
317,Bengaluru Rural,2023,8,Sexual Assault,2,0,0,0,2,8
318,Belagavi,2020,3,Theft,3,1,953202,0.333,6,9
319,Mysuru,2020,8,Theft,1,1,376879,1,3,9
320,Dharwad,2023,2,Theft,2,1,861340,0.5,8,9
321,Kalaburagi,2025,1,Kidnapping,1,1,0,1,7,5
322,Bengaluru Rural,2025,3,Fraud,2,2,570658,1,2,4
323,Ballari,2020,2,Theft,2,1,419513,0.5,9,9
324,Tumakuru,2023,9,Theft,1,1,103050,1,4,9
325,Hassan,2024,10,Cybercrime,1,0,0,0,10,2
326,Kalaburagi,2020,11,Assault,1,0,0,0,7,1
327,Bengaluru Rural,2025,3,Theft,1,0,430203,0,2,9
328,Dharwad,2024,4,Cybercrime,1,0,0,0,8,2
329,Dharwad,2021,4,Theft,2,1,378469,0.5,8,9
330,Bengaluru Urban,2022,11,Fraud,2,2,578416,1,1,4
331,Bengaluru Urban,2025,8,Vandalism,1,0,0,0,1,10
332,Belagavi,2024,12,Assault,1,0,0,0,6,1
333,Belagavi,2020,12,Assault,1,0,0,0,6,1
334,Ballari,2022,12,Cybercrime,2,1,0,0.5,9,2
335,Kalaburagi,2024,10,Assault,1,0,0,0,7,1
336,Dharwad,2020,1,Theft,1,1,72068,1,8,9
337,Hassan,2024,10,Assault,1,0,0,0,10,1
338,Ballari,2023,10,Drug Offence,1,0,0,0,9,3
339,Bengaluru Rural,2022,3,Assault,1,0,0,0,2,1
340,Bengaluru Urban,2024,6,Assault,3,1,0,0.333,1,1
341,Udupi,2024,6,Cybercrime,2,2,0,1,12,2
342,Udupi,2025,5,Cybercrime,1,0,0,0,12,2
343,Belagavi,2022,1,Assault,1,1,0,1,6,1
344,Belagavi,2025,6,Assault,4,1,0,0.25,6,1
345,Bengaluru Rural,2024,9,Fraud,2,0,82738,0,2,4
346,Dharwad,2025,4,Vandalism,1,0,0,0,8,10
347,Udupi,2020,1,Robbery,1,0,302954,0,12,7
348,Dakshina Kannada,2022,12,Assault,2,1,0,0.5,5,1
349,Hassan,2021,11,Theft,2,2,605524,1,10,9
350,Dakshina Kannada,2023,3,Robbery,2,0,588914,0,5,7
351,Bengaluru Urban,2022,4,Assault,2,1,0,0.5,1,1
352,Hassan,2024,5,Theft,1,0,285904,0,10,9
353,Belagavi,2025,10,Theft,1,1,133222,1,6,9
354,Tumakuru,2020,9,Fraud,1,0,312347,0,4,4
355,Dakshina Kannada,2024,10,Murder,1,1,0,1,5,6
356,Dakshina Kannada,2021,1,Robbery,1,0,85319,0,5,7
357,Shivamogga,2021,10,Assault,1,1,0,1,11,1
358,Dakshina Kannada,2023,3,Theft,2,0,389172,0,5,9
359,Bengaluru Rural,2020,3,Theft,1,1,173752,1,2,9
360,Kalaburagi,2020,10,Assault,1,1,0,1,7,1
361,Shivamogga,2020,6,Theft,1,0,198139,0,11,9
362,Ballari,2024,11,Fraud,1,1,190885,1,9,4
363,Shivamogga,2020,4,Assault,1,1,0,1,11,1
364,Shivamogga,2021,7,Fraud,1,1,72335,1,11,4
365,Shivamogga,2024,7,Theft,1,0,425282,0,11,9
366,Bengaluru Rural,2023,4,Fraud,1,0,435423,0,2,4
367,Kalaburagi,2024,8,Theft,2,2,173720,1,7,9
368,Bengaluru Urban,2021,3,Cybercrime,1,0,0,0,1,2
369,Shivamogga,2020,1,Robbery,1,0,119015,0,11,7
370,Shivamogga,2023,11,Theft,1,1,248583,1,11,9
371,Bengaluru Urban,2020,7,Theft,3,2,909542,0.667,1,9
372,Dharwad,2023,1,Assault,1,0,0,0,8,1
373,Belagavi,2020,7,Robbery,1,0,190957,0,6,7
374,Bengaluru Urban,2023,8,Assault,4,2,0,0.5,1,1
375,Mysuru,2024,12,Robbery,1,0,366284,0,3,7
376,Bengaluru Rural,2024,1,Theft,2,1,901845,0.5,2,9
377,Udupi,2023,3,Robbery,1,0,309270,0,12,7
378,Bengaluru Urban,2023,3,Theft,2,2,549494,1,1,9
379,Dakshina Kannada,2021,1,Theft,1,1,297314,1,5,9
380,Ballari,2020,3,Assault,1,0,0,0,9,1
381,Bengaluru Rural,2022,3,Drug Offence,1,1,0,1,2,3
382,Udupi,2020,10,Robbery,1,0,305194,0,12,7
383,Mysuru,2023,6,Theft,1,0,128075,0,3,9
384,Tumakuru,2020,12,Theft,1,0,395437,0,4,9
385,Belagavi,2020,12,Fraud,2,0,885471,0,6,4
386,Mysuru,2025,11,Theft,1,0,110853,0,3,9
387,Belagavi,2025,4,Assault,2,1,0,0.5,6,1
388,Udupi,2025,5,Kidnapping,1,0,0,0,12,5
389,Hassan,2021,7,Theft,1,0,57517,0,10,9
390,Bengaluru Rural,2020,2,Drug Offence,1,1,0,1,2,3
391,Bengaluru Urban,2025,8,Sexual Assault,1,0,0,0,1,8
392,Bengaluru Rural,2021,6,Cybercrime,2,0,0,0,2,2
393,Tumakuru,2022,12,Theft,1,0,492246,0,4,9
394,Kalaburagi,2024,5,Vandalism,1,0,0,0,7,10
395,Dakshina Kannada,2024,12,Robbery,1,1,339331,1,5,7
396,Kalaburagi,2020,12,Theft,1,0,353111,0,7,9
397,Dakshina Kannada,2024,2,Kidnapping,1,0,0,0,5,5
398,Kalaburagi,2023,1,Sexual Assault,1,0,0,0,7,8
399,Dakshina Kannada,2025,8,Robbery,1,0,476189,0,5,7
400,Belagavi,2021,8,Theft,2,1,929446,0.5,6,9
401,Bengaluru Rural,2021,5,Theft,1,0,428122,0,2,9
402,Dharwad,2025,2,Assault,1,1,0,1,8,1
403,Dharwad,2023,7,Theft,1,0,442573,0,8,9
404,Mysuru,2025,12,Fraud,1,1,213247,1,3,4
405,Bengaluru Urban,2024,1,Sexual Assault,1,1,0,1,1,8
406,Mysuru,2022,3,Robbery,1,1,45531,1,3,7
407,Belagavi,2025,10,Robbery,1,0,195836,0,6,7
408,Mysuru,2022,7,Theft,1,0,67739,0,3,9
409,Ballari,2025,2,Robbery,1,1,7423,1,9,7
410,Shivamogga,2021,1,Theft,3,3,566344,1,11,9
411,Tumakuru,2021,8,Vandalism,1,0,0,0,4,10
412,Kalaburagi,2023,10,Theft,1,0,60156,0,7,9
413,Bengaluru Rural,2025,6,Fraud,1,0,115213,0,2,4
414,Dakshina Kannada,2025,4,Cybercrime,1,1,0,1,5,2
415,Bengaluru Urban,2023,9,Theft,2,1,415898,0.5,1,9
416,Bengaluru Urban,2021,10,Theft,3,1,939381,0.333,1,9
417,Ballari,2024,7,Assault,1,0,0,0,9,1
418,Hassan,2024,9,Assault,2,2,0,1,10,1
419,Shivamogga,2022,8,Cybercrime,1,0,0,0,11,2
420,Bengaluru Urban,2024,6,Theft,1,1,220090,1,1,9
421,Dakshina Kannada,2020,4,Fraud,1,1,323201,1,5,4
422,Shivamogga,2024,4,Cybercrime,1,1,0,1,11,2
423,Belagavi,2024,5,Cybercrime,2,0,0,0,6,2
424,Shivamogga,2022,11,Theft,1,0,76600,0,11,9
425,Tumakuru,2025,12,Vandalism,1,1,0,1,4,10
426,Bengaluru Urban,2025,10,Assault,1,0,0,0,1,1
427,Kalaburagi,2022,7,Sexual Assault,1,0,0,0,7,8
428,Mysuru,2025,4,Robbery,3,1,307738,0.333,3,7
