officer_id,officer_code,initials,rank,badge_number,station_id,district_id,specialization_crime_type_id,specialization,shift,status,current_case_load,years_of_service
73,OFF-BU,BU,Inspector,KSP-0BU,25,7,9,Theft,Evening,Active,21,8
74,OFF-BV,BV,Sub-Inspector,KSP-0BV,25,7,1,Assault,Night,Active,21,15
75,OFF-BW,BW,Assistant Sub-Inspector,KSP-0BW,25,7,2,Cybercrime,Rotating,Active,19,22
76,OFF-BX,BX,Sub-Inspector,KSP-0BX,26,7,1,Assault,Night,Active,18,7
77,OFF-BY,BY,Assistant Sub-Inspector,KSP-0BY,26,7,9,Theft,Rotating,Active,19,14
78,OFF-BZ,BZ,Head Constable,KSP-0BZ,26,7,4,Fraud,Day,Active,17,21
79,OFF-CA,CA,Assistant Sub-Inspector,KSP-0CA,27,8,9,Theft,Rotating,Active,20,6
80,OFF-CB,CB,Head Constable,KSP-0CB,27,8,10,Vandalism,Day,Active,16,13
81,OFF-CC,CC,Constable,KSP-0CC,27,8,1,Assault,Evening,Active,16,20
82,OFF-CD,CD,Head Constable,KSP-0CD,28,8,9,Theft,Day,Active,19,5
83,OFF-CE,CE,Constable,KSP-0CE,28,8,1,Assault,Evening,Active,19,12
84,OFF-CF,CF,Inspector,KSP-0CF,28,8,7,Robbery,Night,Active,17,19
85,OFF-CG,CG,Constable,KSP-0CG,29,8,9,Theft,Evening,Active,15,4
86,OFF-CH,CH,Inspector,KSP-0CH,29,8,2,Cybercrime,Night,Active,15,11
87,OFF-CI,CI,Sub-Inspector,KSP-0CI,29,8,1,Assault,Rotating,Active,15,18
88,OFF-CJ,CJ,Inspector,KSP-0CJ,30,9,9,Theft,Night,Active,17,3
89,OFF-CK,CK,Sub-Inspector,KSP-0CK,30,9,2,Cybercrime,Rotating,Active,16,10
90,OFF-CL,CL,Assistant Sub-Inspector,KSP-0CL,30,9,1,Assault,Day,Active,16,17
91,OFF-CM,CM,Sub-Inspector,KSP-0CM,31,9,9,Theft,Rotating,Active,15,24
92,OFF-CN,CN,Assistant Sub-Inspector,KSP-0CN,31,9,1,Assault,Day,Active,13,9
93,OFF-CO,CO,Head Constable,KSP-0CO,31,9,3,Drug Offence,Evening,Active,12,16
94,OFF-CP,CP,Assistant Sub-Inspector,KSP-0CP,32,9,9,Theft,Day,Active,17,23
95,OFF-CQ,CQ,Head Constable,KSP-0CQ,32,9,1,Assault,Evening,Active,18,8
96,OFF-CR,CR,Constable,KSP-0CR,32,9,7,Robbery,Night,Active,17,15
97,OFF-CS,CS,Head Constable,KSP-0CS,33,10,9,Theft,Evening,Active,18,22
98,OFF-CT,CT,Constable,KSP-0CT,33,10,7,Robbery,Night,Active,15,7
99,OFF-CU,CU,Inspector,KSP-0CU,33,10,4,Fraud,Rotating,Active,14,14
100,OFF-CV,CV,Constable,KSP-0CV,34,10,9,Theft,Night,Active,23,21
101,OFF-CW,CW,Inspector,KSP-0CW,34,10,1,Assault,Rotating,Active,19,6
102,OFF-CX,CX,Sub-Inspector,KSP-0CX,34,10,4,Fraud,Day,Active,17,13
103,OFF-CY,CY,Inspector,KSP-0CY,35,10,9,Theft,Rotating,Active,25,20
104,OFF-CZ,CZ,Sub-Inspector,KSP-0CZ,35,10,1,Assault,Day,Active,15,5
105,OFF-DA,DA,Assistant Sub-Inspector,KSP-0DA,35,10,2,Cybercrime,Evening,Active,15,12
106,OFF-DB,DB,Sub-Inspector,KSP-0DB,36,11,9,Theft,Day,Active,15,19
107,OFF-DC,DC,Assistant Sub-Inspector,KSP-0DC,36,11,7,Robbery,Evening,Active,17,4
108,OFF-DD,DD,Head Constable,KSP-0DD,36,11,4,Fraud,Night,Active,15,11
109,OFF-DE,DE,Assistant Sub-Inspector,KSP-0DE,37,11,7,Robbery,Evening,Active,16,18
110,OFF-DF,DF,Head Constable,KSP-0DF,37,11,9,Theft,Night,Active,15,3
111,OFF-DG,DG,Constable,KSP-0DG,37,11,1,Assault,Rotating,Active,14,10
112,OFF-DH,DH,Head Constable,KSP-0DH,38,11,9,Theft,Night,Active,15,17
113,OFF-DI,DI,Constable,KSP-0DI,38,11,2,Cybercrime,Rotating,Active,16,24
114,OFF-DJ,DJ,Inspector,KSP-0DJ,38,11,7,Robbery,Day,Active,14,9
115,OFF-DK,DK,Constable,KSP-0DK,39,12,9,Theft,Rotating,Active,19,16
116,OFF-DL,DL,Inspector,KSP-0DL,39,12,7,Robbery,Day,Active,12,23
117,OFF-DM,DM,Sub-Inspector,KSP-0DM,39,12,1,Assault,Evening,Active,10,8
118,OFF-DN,DN,Inspector,KSP-0DN,40,12,3,Drug Offence,Day,Active,15,15
119,OFF-DO,DO,Sub-Inspector,KSP-0DO,40,12,9,Theft,Evening,Active,14,22
120,OFF-DP,DP,Assistant Sub-Inspector,KSP-0DP,40,12,2,Cybercrime,Night,Active,14,7
121,OFF-DQ,DQ,Sub-Inspector,KSP-0DQ,41,12,1,Assault,Evening,Active,14,14
122,OFF-DR,DR,Assistant Sub-Inspector,KSP-0DR,41,12,9,Theft,Night,Active,13,21
123,OFF-DS,DS,Head Constable,KSP-0DS,41,12,7,Robbery,Rotating,Active,13,6
