OccuranceTimeID,CaseMasterID,FromDate,ToDate,PlaceOfOccurance,latitude,longitude
28,28,2020-08-01 07:17:00,2020-08-01 09:36:00,Beat-11,15.524727,75.078586
29,29,2024-09-16 13:36:00,2024-09-16 14:11:00,Beat-12,12.980272,76.019869
30,30,2024-10-13 01:29:00,2024-10-13 02:31:00,Beat-13,12.77753,74.938726
31,31,2025-08-24 12:33:00,2025-08-24 15:25:00,Beat-14,15.102587,76.856964
32,32,2024-01-31 00:53:00,2024-01-31 03:50:00,Beat-15,13.369907,74.725768
33,33,2022-10-27 01:46:00,2022-10-27 04:29:00,Beat-16,12.33658,76.605485
34,34,2020-08-14 20:03:00,2020-08-14 21:08:00,Beat-17,13.381722,77.102269
35,35,2020-04-14 12:14:00,2020-04-14 15:26:00,Beat-18,13.010926,76.075022
36,36,2025-10-28 14:24:00,2025-10-28 17:29:00,Beat-1,17.409259,76.803876
37,37,2024-09-07 04:10:00,2024-09-07 06:07:00,Beat-2,12.884349,77.538189
38,38,2024-06-14 03:40:00,2024-06-14 07:22:00,Beat-3,17.364376,76.797773
39,39,2024-09-23 19:27:00,2024-09-23 22:44:00,Beat-4,13.190707,77.458624
40,40,2020-04-30 04:22:00,2020-04-30 04:40:00,Beat-5,13.227565,77.45846
41,41,2022-02-22 07:39:00,2022-02-22 11:11:00,Beat-6,15.768353,74.490072
42,42,2023-08-22 22:31:00,2023-08-22 23:56:00,Beat-7,12.783774,74.962486
43,43,2024-12-15 13:47:00,2024-12-15 16:20:00,Beat-8,15.192121,76.994093
44,44,2023-03-22 05:53:00,2023-03-22 07:36:00,Beat-9,12.306728,76.727216
45,45,2020-05-28 16:27:00,2020-05-28 19:25:00,Beat-10,13.39113,77.049737
46,46,2022-11-30 18:48:00,2022-11-30 19:38:00,Beat-11,12.8523,75.015144
47,47,2023-01-31 15:54:00,2023-01-31 17:06:00,Beat-12,13.385976,74.708398
48,48,2021-01-24 19:40:00,2021-01-24 23:07:00,Beat-13,13.367518,74.707593
49,49,2024-07-02 15:56:00,2024-07-02 18:16:00,Beat-14,12.776265,74.970147
50,50,2021-02-23 06:23:00,2021-02-23 08:45:00,Beat-15,12.979534,77.563403
51,51,2021-11-08 03:09:00,2021-11-08 04:29:00,Beat-16,13.332144,74.673967
52,52,2020-08-03 23:04:00,2020-08-04 02:33:00,Beat-17,15.797109,74.457952
53,53,2023-02-23 01:33:00,2023-02-23 01:49:00,Beat-18,13.296753,74.716636
54,54,2022-03-05 21:04:00,2022-03-06 00:42:00,Beat-1,12.260524,76.625404
55,55,2023-08-03 22:55:00,2023-08-04 00:43:00,Beat-2,15.814274,74.488011
56,56,2021-03-31 11:36:00,2021-03-31 13:26:00,Beat-3,12.902329,77.535567
57,57,2021-03-17 16:27:00,2021-03-17 17:25:00,Beat-4,12.969578,77.527053
58,58,2024-07-21 12:53:00,2024-07-21 16:03:00,Beat-5,13.347142,74.793229
59,59,2023-03-07 14:49:00,2023-03-07 17:27:00,Beat-6,12.292771,76.617544
60,60,2023-07-06 20:54:00,2023-07-06 21:57:00,Beat-7,13.375308,77.064395
61,61,2021-07-22 14:46:00,2021-07-22 18:41:00,Beat-8,12.946322,77.612987
62,62,2025-09-06 18:12:00,2025-09-06 18:54:00,Beat-9,13.02736,77.520141
63,63,2022-08-03 16:20:00,2022-08-03 18:29:00,Beat-10,12.87736,77.510263
64,64,2025-10-11 16:59:00,2025-10-11 17:32:00,Beat-11,12.909847,77.568901
65,65,2024-08-12 20:23:00,2024-08-12 21:27:00,Beat-12,15.833325,74.437166
66,66,2020-04-06 18:49:00,2020-04-06 21:26:00,Beat-13,15.537428,75.000419
67,67,2020-08-27 23:06:00,2020-08-27 23:40:00,Beat-14,17.31298,76.816823
68,68,2022-07-13 16:22:00,2022-07-13 19:37:00,Beat-15,15.398077,75.030412
69,69,2020-04-21 15:17:00,2020-04-21 15:44:00,Beat-16,12.264765,76.687365
70,70,2022-08-01 03:32:00,2022-08-01 07:24:00,Beat-17,12.91977,77.599705
71,71,2020-11-08 01:18:00,2020-11-08 03:41:00,Beat-18,15.395271,75.029241
72,72,2024-09-19 13:29:00,2024-09-19 14:58:00,Beat-1,12.860533,74.976358
73,73,2022-10-21 00:25:00,2022-10-21 02:02:00,Beat-2,15.028504,76.890451
74,74,2022-06-04 12:15:00,2022-06-04 13:24:00,Beat-3,12.734224,74.954625
75,75,2022-02-16 12:12:00,2022-02-16 13:17:00,Beat-4,13.902124,75.589974
76,76,2020-01-18 20:54:00,2020-01-18 23:29:00,Beat-5,13.110366,77.563775
77,77,2022-08-11 18:51:00,2022-08-11 20:10:00,Beat-6,15.379118,75.018187
78,78,2024-04-06 22:39:00,2024-04-06 23:23:00,Beat-7,13.938679,75.556148
79,79,2024-08-13 11:38:00,2024-08-13 14:34:00,Beat-8,12.322959,76.626917
80,80,2022-06-30 18:59:00,2022-06-30 20:39:00,Beat-9,15.337956,75.001102
81,81,2021-08-20 03:16:00,2021-08-20 06:05:00,Beat-10,12.856071,77.552526
82,82,2024-08-28 07:54:00,2024-08-28 09:47:00,Beat-11,13.241539,77.465059
83,83,2024-08-22 16:48:00,2024-08-22 20:35:00,Beat-12,13.225818,74.791979
84,84,2025-07-02 01:59:00,2025-07-02 03:45:00,Beat-13,15.408411,74.987542
85,85,2025-08-15 08:43:00,2025-08-15 09:50:00,Beat-14,13.335785,74.804029
86,86,2021-09-14 00:00:00,2021-09-14 01:00:00,Beat-15,13.91321,75.554573
87,87,2020-01-25 19:52:00,2020-01-25 20:47:00,Beat-16,12.787165,74.974814
88,88,2022-05-11 02:51:00,2022-05-11 05:09:00,Beat-17,12.974954,76.185477
89,89,2023-08-12 14:33:00,2023-08-12 17:41:00,Beat-18,12.961245,76.024935
90,90,2025-12-09 13:46:00,2025-12-09 15:39:00,Beat-1,12.934738,76.067253
91,91,2022-12-09 11:34:00,2022-12-09 15:25:00,Beat-2,12.904058,74.997021
92,92,2024-10-21 00:30:00,2024-10-21 04:25:00,Beat-3,15.389397,75.021393
93,93,2021-02-17 00:49:00,2021-02-17 03:33:00,Beat-4,13.257827,74.746857
94,94,2023-10-27 19:33:00,2023-10-27 21:05:00,Beat-5,12.913682,77.623808
95,95,2023-08-12 09:58:00,2023-08-12 13:41:00,Beat-6,13.171481,77.486447
96,96,2022-10-07 16:01:00,2022-10-07 18:37:00,Beat-7,15.784689,74.48145
97,97,2022-02-24 14:19:00,2022-02-24 17:34:00,Beat-8,12.985668,76.129695
98,98,2023-07-05 07:04:00,2023-07-05 07:28:00,Beat-9,13.294255,77.123821
99,99,2024-03-03 04:33:00,2024-03-03 06:03:00,Beat-10,12.377411,76.704503
100,100,2021-04-20 00:31:00,2021-04-20 02:46:00,Beat-11,12.893929,77.523744
101,101,2021-05-27 12:13:00,2021-05-27 15:14:00,Beat-12,15.861297,74.565055
102,102,2022-06-29 04:10:00,2022-06-29 06:29:00,Beat-13,15.756401,74.433599
103,103,2025-11-06 17:35:00,2025-11-06 20:50:00,Beat-14,15.233941,76.981827
104,104,2024-06-06 04:59:00,2024-06-06 05:38:00,Beat-15,12.856623,75.017338
105,105,2025-05-11 02:47:00,2025-05-11 06:34:00,Beat-16,13.995219,75.610395
106,106,2020-10-27 08:35:00,2020-10-27 11:25:00,Beat-17,12.962443,76.198399
107,107,2023-07-29 12:47:00,2023-07-29 16:11:00,Beat-18,15.946228,74.412217
108,108,2021-10-31 09:39:00,2021-10-31 10:00:00,Beat-1,13.930472,75.519386
109,109,2024-11-13 06:40:00,2024-11-13 08:05:00,Beat-2,12.264638,76.659364
110,110,2022-07-11 19:31:00,2022-07-11 20:19:00,Beat-3,13.906378,75.549268
111,111,2020-09-26 18:33:00,2020-09-26 20:31:00,Beat-4,12.912395,77.515543
112,112,2021-05-31 07:41:00,2021-05-31 10:04:00,Beat-5,12.733056,74.894112
113,113,2020-09-25 05:17:00,2020-09-25 06:32:00,Beat-6,15.247689,76.934563
114,114,2020-09-02 17:24:00,2020-09-02 19:27:00,Beat-7,14.011824,75.572081
115,115,2020-02-05 08:24:00,2020-02-05 11:00:00,Beat-8,12.348838,76.557626
116,116,2025-06-18 09:04:00,2025-06-18 10:34:00,Beat-9,13.322993,74.821097
117,117,2020-07-04 00:07:00,2020-07-04 02:50:00,Beat-10,15.33122,75.009032
118,118,2022-03-18 06:12:00,2022-03-18 06:59:00,Beat-11,15.799209,74.500856
119,119,2022-02-07 14:21:00,2022-02-07 15:46:00,Beat-12,13.34423,77.117453
120,120,2023-10-14 21:24:00,2023-10-15 00:17:00,Beat-13,12.986484,77.513842
121,121,2023-05-27 20:09:00,2023-05-27 21:34:00,Beat-14,13.991559,75.63683
122,122,2021-11-21 17:58:00,2021-11-21 18:17:00,Beat-15,12.338311,76.73114
123,123,2022-10-31 21:36:00,2022-10-31 23:08:00,Beat-16,13.154085,77.495484
124,124,2021-09-04 04:45:00,2021-09-04 05:12:00,Beat-17,13.235449,77.457514
125,125,2021-09-22 16:05:00,2021-09-22 17:53:00,Beat-18,12.406831,76.618101
126,126,2025-07-05 10:07:00,2025-07-05 12:53:00,Beat-1,15.379098,75.004989
127,127,2021-06-29 19:32:00,2021-06-29 20:02:00,Beat-2,13.256097,77.502761
128,128,2020-11-21 07:30:00,2020-11-21 09:34:00,Beat-3,13.015284,76.041277
129,129,2022-07-09 08:23:00,2022-07-09 09:57:00,Beat-4,15.794346,74.471171
130,130,2022-01-29 21:21:00,2022-01-29 22:28:00,Beat-5,12.935312,76.146692
131,131,2021-12-25 16:56:00,2021-12-25 20:05:00,Beat-6,15.887728,74.605605
132,132,2025-07-14 11:27:00,2025-07-14 14:58:00,Beat-7,13.301085,77.06878
133,133,2023-03-17 01:57:00,2023-03-17 02:22:00,Beat-8,12.884412,77.524422
134,134,2023-09-19 16:08:00,2023-09-19 18:32:00,Beat-9,13.071308,77.486357
135,135,2021-08-21 10:47:00,2021-08-21 11:27:00,Beat-10,15.218379,76.966945
136,136,2021-04-22 14:17:00,2021-04-22 16:13:00,Beat-11,13.025645,77.520368
137,137,2025-05-30 06:04:00,2025-05-30 08:26:00,Beat-12,13.381474,77.102103
138,138,2024-07-15 09:29:00,2024-07-15 12:29:00,Beat-13,13.922929,75.568675
139,139,2021-06-25 07:15:00,2021-06-25 10:21:00,Beat-14,13.946085,75.609741
140,140,2025-09-28 06:31:00,2025-09-28 07:15:00,Beat-15,12.985544,77.613512
141,141,2022-08-01 19:11:00,2022-08-01 19:28:00,Beat-16,12.304286,76.730171
142,142,2020-09-14 23:14:00,2020-09-15 02:03:00,Beat-17,13.994746,75.598623
143,143,2021-10-06 20:46:00,2021-10-06 22:38:00,Beat-18,15.794919,74.459025
144,144,2023-09-13 11:00:00,2023-09-13 13:22:00,Beat-1,12.883771,77.540607
145,145,2025-10-30 14:53:00,2025-10-30 15:47:00,Beat-2,12.919743,77.569837
146,146,2020-07-08 00:33:00,2020-07-08 02:21:00,Beat-3,13.004121,76.145884
147,147,2020-04-01 05:12:00,2020-04-01 06:56:00,Beat-4,13.301654,74.709354
148,148,2021-01-11 07:53:00,2021-01-11 11:15:00,Beat-5,13.338824,74.701353
149,149,2021-01-15 17:53:00,2021-01-15 18:12:00,Beat-6,13.951428,75.592171
150,150,2021-07-07 19:57:00,2021-07-07 20:55:00,Beat-7,13.95815,75.564715
151,151,2022-10-18 03:26:00,2022-10-18 06:05:00,Beat-8,12.871982,74.998859
152,152,2022-04-05 14:35:00,2022-04-05 17:14:00,Beat-9,13.938793,75.555347
153,153,2021-04-21 04:47:00,2021-04-21 07:14:00,Beat-10,13.211719,77.494635
154,154,2024-02-15 19:49:00,2024-02-15 21:19:00,Beat-11,17.262733,76.750225
155,155,2024-08-14 04:18:00,2024-08-14 07:32:00,Beat-12,12.87501,77.549468
156,156,2020-08-24 06:02:00,2020-08-24 07:48:00,Beat-13,15.578125,75.072593
157,157,2022-04-08 07:05:00,2022-04-08 07:38:00,Beat-14,15.171287,76.946411
158,158,2025-02-12 20:20:00,2025-02-12 20:44:00,Beat-15,12.999412,77.515897
159,159,2024-01-24 06:44:00,2024-01-24 09:32:00,Beat-16,13.056345,77.527952
160,160,2020-11-06 12:59:00,2020-11-06 13:43:00,Beat-17,15.542864,75.061287
161,161,2021-01-29 17:39:00,2021-01-29 18:36:00,Beat-18,13.953953,75.504017
162,162,2023-12-23 16:56:00,2023-12-23 18:43:00,Beat-1,15.023002,76.825372
163,163,2024-10-27 22:26:00,2024-10-27 23:01:00,Beat-2,12.923663,77.608654
164,164,2020-05-21 04:09:00,2020-05-21 08:04:00,Beat-3,12.935101,77.513922
165,165,2020-09-06 04:24:00,2020-09-06 05:09:00,Beat-4,13.279886,74.765267
166,166,2024-03-05 02:59:00,2024-03-05 03:57:00,Beat-5,15.113118,76.956219
167,167,2025-06-25 17:00:00,2025-06-25 18:23:00,Beat-6,13.952907,75.643966
168,168,2024-06-07 08:56:00,2024-06-07 10:22:00,Beat-7,13.941695,75.51247
169,169,2022-08-20 08:38:00,2022-08-20 09:13:00,Beat-8,12.969546,77.557884
170,170,2025-04-26 21:04:00,2025-04-26 21:35:00,Beat-9,13.280176,77.100787
171,171,2025-03-09 19:09:00,2025-03-09 22:45:00,Beat-10,12.950797,76.057847
172,172,2025-01-10 21:50:00,2025-01-11 00:09:00,Beat-11,13.325471,77.053052
173,173,2022-09-02 13:24:00,2022-09-02 14:24:00,Beat-12,17.253122,76.792547
174,174,2022-03-25 18:12:00,2022-03-25 20:11:00,Beat-13,15.764194,74.456299
175,175,2025-03-03 15:30:00,2025-03-03 16:22:00,Beat-14,13.339873,77.128377
176,176,2023-05-11 17:17:00,2023-05-11 18:25:00,Beat-15,13.141661,77.535363
177,177,2025-08-30 23:32:00,2025-08-31 01:30:00,Beat-16,12.365827,76.618496
178,178,2020-06-10 10:00:00,2020-06-10 13:05:00,Beat-17,13.005867,76.127062
179,179,2025-06-20 22:52:00,2025-06-20 23:42:00,Beat-18,15.346158,74.966298
180,180,2021-04-22 04:13:00,2021-04-22 06:52:00,Beat-1,15.078482,76.925372
181,181,2025-12-22 17:27:00,2025-12-22 18:29:00,Beat-2,13.025307,76.169735
182,182,2023-02-20 00:02:00,2023-02-20 02:47:00,Beat-3,12.924849,77.551722
183,183,2021-09-15 23:27:00,2021-09-16 02:17:00,Beat-4,12.339607,76.681792
184,184,2023-12-07 10:31:00,2023-12-07 13:18:00,Beat-5,13.957993,75.570696
185,185,2021-07-07 17:21:00,2021-07-07 18:41:00,Beat-6,15.779803,74.486607
186,186,2021-03-18 04:39:00,2021-03-18 06:52:00,Beat-7,13.11214,77.545992
187,187,2022-09-28 00:33:00,2022-09-28 02:45:00,Beat-8,12.934218,77.6045
188,188,2021-04-11 05:45:00,2021-04-11 06:13:00,Beat-9,13.339342,74.834215
189,189,2025-03-10 23:01:00,2025-03-11 02:36:00,Beat-10,12.973857,76.024157
190,190,2025-10-13 19:44:00,2025-10-13 23:28:00,Beat-11,13.280646,77.507464
191,191,2021-03-20 04:02:00,2021-03-20 06:14:00,Beat-12,13.311641,77.122925
192,192,2023-11-07 11:16:00,2023-11-07 13:07:00,Beat-13,12.928651,77.591446
193,193,2022-01-16 16:22:00,2022-01-16 19:00:00,Beat-14,12.768203,75.012321
194,194,2020-12-16 20:44:00,2020-12-17 00:27:00,Beat-15,12.994196,76.025618
195,195,2024-12-09 06:48:00,2024-12-09 08:13:00,Beat-16,12.876355,77.560709
196,196,2021-08-27 00:27:00,2021-08-27 02:06:00,Beat-17,12.856237,74.928174
197,197,2025-04-29 05:53:00,2025-04-29 09:22:00,Beat-18,12.931988,77.512746
198,198,2023-01-20 02:39:00,2023-01-20 03:15:00,Beat-1,12.734574,74.886017
199,199,2022-12-01 08:11:00,2022-12-01 08:57:00,Beat-2,17.324299,76.763138
200,200,2025-01-27 04:16:00,2025-01-27 04:57:00,Beat-3,12.881299,75.017304
201,201,2024-01-24 05:27:00,2024-01-24 07:47:00,Beat-4,12.863562,77.553061
202,202,2023-10-10 13:50:00,2023-10-10 15:53:00,Beat-5,17.420345,76.800004
203,203,2020-02-11 08:05:00,2020-02-11 09:15:00,Beat-6,12.310456,76.626966
204,204,2022-04-21 11:22:00,2022-04-21 11:50:00,Beat-7,15.812983,74.440973
205,205,2020-08-29 04:29:00,2020-08-29 04:59:00,Beat-8,13.179136,77.532515
206,206,2022-10-01 09:45:00,2022-10-01 10:26:00,Beat-9,13.324565,74.734442
207,207,2024-06-27 19:52:00,2024-06-27 22:09:00,Beat-10,13.336484,74.674273
208,208,2022-01-09 02:14:00,2022-01-09 05:32:00,Beat-11,13.014605,76.183345
209,209,2020-09-29 02:40:00,2020-09-29 05:45:00,Beat-12,15.851337,74.597289
210,210,2021-05-01 13:39:00,2021-05-01 15:22:00,Beat-13,13.008456,76.079575
211,211,2024-11-11 04:25:00,2024-11-11 05:53:00,Beat-14,17.294269,76.795855
212,212,2020-10-05 12:22:00,2020-10-05 15:33:00,Beat-15,12.735666,74.888853
213,213,2025-09-13 14:55:00,2025-09-13 16:16:00,Beat-16,12.757866,74.932589
214,214,2023-05-18 19:12:00,2023-05-18 23:07:00,Beat-17,13.370669,74.815149
215,215,2024-05-10 22:26:00,2024-05-11 01:55:00,Beat-18,13.307277,74.68498
216,216,2021-11-25 08:02:00,2021-11-25 11:00:00,Beat-1,13.30471,77.119921
217,217,2025-02-20 11:26:00,2025-02-20 12:03:00,Beat-2,12.982924,77.629709
218,218,2022-05-29 07:15:00,2022-05-29 09:22:00,Beat-3,15.937892,74.465284
219,219,2024-08-24 06:51:00,2024-08-24 08:45:00,Beat-4,17.42593,76.864666
220,220,2020-06-03 10:19:00,2020-06-03 14:12:00,Beat-5,13.055617,77.548337
221,221,2021-04-10 23:41:00,2021-04-11 02:29:00,Beat-6,12.860056,75.003495
222,222,2020-06-25 15:58:00,2020-06-25 17:22:00,Beat-7,15.212349,76.981297
223,223,2022-09-07 13:46:00,2022-09-07 14:36:00,Beat-8,12.993011,77.493654
224,224,2023-07-15 20:04:00,2023-07-15 22:43:00,Beat-9,13.926441,75.629522
225,225,2021-04-28 21:58:00,2021-04-29 00:14:00,Beat-10,15.249641,76.983107
226,226,2025-10-03 05:17:00,2025-10-03 08:29:00,Beat-11,15.86895,74.397971
227,227,2020-07-12 16:44:00,2020-07-12 19:10:00,Beat-12,13.325774,77.108521
228,228,2020-05-19 06:02:00,2020-05-19 07:36:00,Beat-13,15.574653,75.041609
229,229,2021-11-20 15:49:00,2021-11-20 16:11:00,Beat-14,12.956002,77.63357
230,230,2024-11-04 21:50:00,2024-11-04 23:40:00,Beat-15,12.343482,76.65661
231,231,2022-10-27 12:51:00,2022-10-27 16:39:00,Beat-16,15.375873,75.004215
232,232,2023-12-27 06:39:00,2023-12-27 08:47:00,Beat-17,13.948564,75.519077
233,233,2023-02-18 13:49:00,2023-02-18 16:02:00,Beat-18,13.174055,77.520787
234,234,2024-10-29 18:52:00,2024-10-29 20:43:00,Beat-1,12.84732,74.937397
235,235,2023-11-11 08:19:00,2023-11-11 09:16:00,Beat-2,15.400991,74.994901
236,236,2024-11-12 23:10:00,2024-11-13 01:54:00,Beat-3,15.400758,74.938299
237,237,2021-10-15 00:24:00,2021-10-15 03:10:00,Beat-4,12.350247,76.566059
238,238,2025-02-17 06:00:00,2025-02-17 07:33:00,Beat-5,13.221956,77.452748
239,239,2021-02-13 19:09:00,2021-02-13 23:07:00,Beat-6,17.227586,76.818571
240,240,2025-08-06 01:26:00,2025-08-06 03:08:00,Beat-7,12.33684,76.661924
241,241,2024-11-21 02:01:00,2024-11-21 03:49:00,Beat-8,15.756072,74.491818
242,242,2021-11-14 06:46:00,2021-11-14 07:05:00,Beat-9,12.268251,76.717238
243,243,2020-03-30 17:16:00,2020-03-30 18:22:00,Beat-10,13.11382,77.46961
244,244,2023-06-17 11:02:00,2023-06-17 13:07:00,Beat-11,13.016076,77.538019
245,245,2024-02-29 20:10:00,2024-02-29 21:11:00,Beat-12,13.915176,75.523448
246,246,2020-02-17 17:49:00,2020-02-17 19:29:00,Beat-13,13.288292,77.451338
247,247,2020-07-26 14:11:00,2020-07-26 14:36:00,Beat-14,12.950014,76.053502
248,248,2024-09-08 16:31:00,2024-09-08 19:01:00,Beat-15,12.849014,75.013012
249,249,2022-01-30 02:23:00,2022-01-30 03:32:00,Beat-16,13.065279,76.197693
250,250,2022-09-21 00:56:00,2022-09-21 01:21:00,Beat-17,17.374988,76.84001
251,251,2023-04-28 07:14:00,2023-04-28 08:53:00,Beat-18,13.321354,74.779884
252,252,2025-03-29 13:04:00,2025-03-29 15:59:00,Beat-1,13.338788,77.089107
253,253,2024-12-26 20:43:00,2024-12-26 22:08:00,Beat-2,12.350727,76.688538
254,254,2023-02-06 09:40:00,2023-02-06 10:56:00,Beat-3,13.318938,77.064593
255,255,2025-01-14 12:09:00,2025-01-14 12:50:00,Beat-4,12.838126,75.010649
256,256,2025-06-25 00:21:00,2025-06-25 01:33:00,Beat-5,12.253715,76.730944
257,257,2022-02-13 01:43:00,2022-02-13 03:15:00,Beat-6,13.904098,75.535638
258,258,2021-07-15 04:04:00,2021-07-15 06:54:00,Beat-7,15.913182,74.43446
259,259,2023-04-01 07:39:00,2023-04-01 08:33:00,Beat-8,12.97666,76.150348
260,260,2023-10-04 17:52:00,2023-10-04 20:19:00,Beat-9,13.252231,77.536566
261,261,2025-05-15 18:28:00,2025-05-15 19:02:00,Beat-10,13.993979,75.558889
262,262,2025-10-12 08:59:00,2025-10-12 10:12:00,Beat-11,12.96446,77.69079
263,263,2022-08-27 08:23:00,2022-08-27 10:53:00,Beat-12,12.865327,75.004709
264,264,2020-06-27 16:07:00,2020-06-27 16:57:00,Beat-13,13.249277,77.442062
265,265,2024-02-10 13:17:00,2024-02-10 13:42:00,Beat-14,13.388162,77.062328
266,266,2022-05-14 23:24:00,2022-05-15 02:51:00,Beat-15,13.359221,77.073092
267,267,2024-11-29 21:05:00,2024-11-29 22:20:00,Beat-16,15.743783,74.463432
268,268,2021-11-26 08:27:00,2021-11-26 12:03:00,Beat-17,12.981855,76.171709
269,269,2025-07-15 09:16:00,2025-07-15 12:50:00,Beat-18,17.245489,76.752874
270,270,2021-09-30 10:47:00,2021-09-30 11:08:00,Beat-1,13.93813,75.591442
271,271,2025-08-09 01:44:00,2025-08-09 03:46:00,Beat-2,12.920417,77.489445
272,272,2024-10-30 04:36:00,2024-10-30 05:19:00,Beat-3,12.946638,75.01886
273,273,2022-11-27 05:55:00,2022-11-27 09:32:00,Beat-4,12.959461,76.167504
274,274,2021-06-06 23:24:00,2021-06-07 00:59:00,Beat-5,17.42546,76.879015
275,275,2023-06-08 17:08:00,2023-06-08 19:13:00,Beat-6,13.020442,77.493581
276,276,2024-02-03 03:00:00,2024-02-03 04:39:00,Beat-7,13.213004,77.509811
277,277,2021-03-18 08:00:00,2021-03-18 11:00:00,Beat-8,13.029913,77.690729
278,278,2025-04-06 12:18:00,2025-04-06 13:34:00,Beat-9,12.904544,75.01756
279,279,2023-02-02 07:54:00,2023-02-02 11:30:00,Beat-10,12.25977,76.685789
280,280,2024-05-03 05:32:00,2024-05-03 07:44:00,Beat-11,12.725773,74.895116
281,281,2024-11-29 13:14:00,2024-11-29 15:34:00,Beat-12,12.337696,76.581933
282,282,2025-06-03 06:10:00,2025-06-03 09:47:00,Beat-13,13.257761,74.709722
283,283,2020-08-18 01:48:00,2020-08-18 04:18:00,Beat-14,12.791618,74.889181
284,284,2021-03-31 15:20:00,2021-03-31 17:06:00,Beat-15,13.334165,74.71765
285,285,2020-07-04 18:30:00,2020-07-04 19:42:00,Beat-16,13.042409,77.681809
286,286,2024-06-29 11:04:00,2024-06-29 11:42:00,Beat-17,12.892649,77.494843
287,287,2024-02-01 01:59:00,2024-02-01 04:13:00,Beat-18,13.270725,77.065808
288,288,2025-11-26 01:23:00,2025-11-26 05:03:00,Beat-1,13.985492,75.571733
289,289,2021-08-11 01:26:00,2021-08-11 02:20:00,Beat-2,12.982586,77.6216
290,290,2020-02-11 00:05:00,2020-02-11 00:38:00,Beat-3,12.944214,76.120583
291,291,2021-10-07 05:20:00,2021-10-07 06:27:00,Beat-4,12.275187,76.676244
292,292,2021-05-22 20:32:00,2021-05-22 23:07:00,Beat-5,12.914835,74.943905
293,293,2020-01-11 11:04:00,2020-01-11 13:08:00,Beat-6,13.982981,75.508737
294,294,2022-09-11 07:07:00,2022-09-11 09:12:00,Beat-7,15.916328,74.59344
295,295,2020-01-12 09:25:00,2020-01-12 11:38:00,Beat-8,15.866383,74.45695
296,296,2023-03-29 16:03:00,2023-03-29 17:07:00,Beat-9,13.018267,77.514362
297,297,2024-05-31 03:48:00,2024-05-31 04:44:00,Beat-10,12.306592,76.67824
298,298,2020-08-07 04:59:00,2020-08-07 07:01:00,Beat-11,12.89712,74.949853
299,299,2022-03-17 21:04:00,2022-03-18 00:30:00,Beat-12,12.310628,76.639059
300,300,2022-02-09 13:19:00,2022-02-09 15:41:00,Beat-13,17.364898,76.823498
301,301,2025-02-09 14:06:00,2025-02-09 17:09:00,Beat-14,13.130626,77.566013
302,302,2023-08-04 19:54:00,2023-08-04 20:09:00,Beat-15,15.068225,76.848295
