VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
108,85,VIC-DD,50,2,0
109,85,VIC-DE,9,1,0
110,86,VIC-DF,18,1,0
111,86,VIC-DG,60,2,0
112,87,VIC-DH,25,3,0
113,88,VIC-DI,24,3,0
114,88,VIC-DJ,43,1,1
115,89,VIC-DK,55,3,0
116,90,VIC-DL,36,3,0
117,91,VIC-DM,6,3,0
118,92,VIC-DN,65,3,0
119,93,VIC-DO,29,1,0
120,94,VIC-DP,36,2,0
121,95,VIC-DQ,39,2,0
122,96,VIC-DR,23,3,0
123,97,VIC-DS,81,1,0
124,98,VIC-DT,12,3,0
125,99,VIC-DU,62,1,0
126,100,VIC-DV,68,2,0
127,101,VIC-DW,47,2,0
128,101,VIC-DX,80,3,0
129,102,VIC-DY,47,1,0
130,103,VIC-DZ,66,2,0
131,104,VIC-EA,63,1,0
132,105,VIC-EB,54,2,0
133,106,VIC-EC,13,1,0
134,107,VIC-ED,55,3,0
135,107,VIC-EE,49,3,0
136,107,VIC-EF,73,1,0
137,108,VIC-EG,78,1,0
138,108,VIC-EH,22,3,0
139,109,VIC-EI,59,3,0
140,109,VIC-EJ,28,2,0
141,110,VIC-EK,12,2,0
142,111,VIC-EL,30,1,0
143,112,VIC-EM,37,2,0
144,112,VIC-EN,31,3,0
145,113,VIC-EO,30,3,0
146,114,VIC-EP,11,1,0
147,115,VIC-EQ,49,3,0
148,116,VIC-ER,71,3,0
149,117,VIC-ES,82,2,0
150,118,VIC-ET,13,3,0
151,118,VIC-EU,71,3,0
152,119,VIC-EV,56,1,0
153,119,VIC-EW,66,3,0
154,119,VIC-EX,28,2,0
155,120,VIC-EY,80,1,0
156,120,VIC-EZ,79,3,0
157,121,VIC-FA,46,2,0
158,122,VIC-FB,73,2,0
159,123,VIC-FC,77,1,0
160,124,VIC-FD,10,2,0
161,125,VIC-FE,63,3,0
162,126,VIC-FF,61,3,0
163,126,VIC-FG,74,3,0
164,126,VIC-FH,15,2,0
165,127,VIC-FI,72,1,0
166,127,VIC-FJ,64,2,0
167,128,VIC-FK,72,3,0
168,129,VIC-FL,64,3,0
169,129,VIC-FM,71,1,0
170,130,VIC-FN,28,1,0
171,131,VIC-FO,7,1,0
172,132,VIC-FP,46,1,0
173,133,VIC-FQ,29,2,0
174,134,VIC-FR,47,3,0
175,135,VIC-FS,66,2,0
176,135,VIC-FT,78,2,0
177,136,VIC-FU,8,3,0
178,137,VIC-FV,38,2,0
179,137,VIC-FW,73,3,0
180,138,VIC-FX,36,1,0
181,139,VIC-FY,69,1,0
182,140,VIC-FZ,66,2,0
183,141,VIC-GA,79,3,0
184,142,VIC-GB,21,2,0
185,143,VIC-GC,50,1,0
186,144,VIC-GD,63,1,0
187,144,VIC-GE,16,1,0
188,145,VIC-GF,79,3,0
189,146,VIC-GG,52,3,0
190,147,VIC-GH,10,3,0
191,147,VIC-GI,81,2,0
192,148,VIC-GJ,59,1,1
193,148,VIC-GK,12,3,0
194,149,VIC-GL,59,3,0
195,150,VIC-GM,14,1,0
196,151,VIC-GN,74,3,0
197,152,VIC-GO,39,2,0
198,153,VIC-GP,31,1,0
199,154,VIC-GQ,21,1,0
200,155,VIC-GR,57,3,0
201,155,VIC-GS,20,2,0
202,156,VIC-GT,14,3,0
203,157,VIC-GU,49,1,0
204,158,VIC-GV,45,3,0
205,159,VIC-GW,17,3,0
206,160,VIC-GX,8,1,0
207,161,VIC-GY,45,2,0
208,162,VIC-GZ,13,1,0
209,163,VIC-HA,15,2,0
210,164,VIC-HB,6,3,0
211,165,VIC-HC,32,2,0
212,165,VIC-HD,55,2,0
213,165,VIC-HE,64,2,0
214,166,VIC-HF,65,2,0
215,167,VIC-HG,56,3,0
216,167,VIC-HH,56,1,0
217,168,VIC-HI,49,1,0
218,169,VIC-HJ,14,3,0
219,169,VIC-HK,65,3,0
220,170,VIC-HL,52,1,0
221,170,VIC-HM,26,3,0
222,171,VIC-HN,45,1,0
223,171,VIC-HO,18,3,0
224,172,VIC-HP,44,2,0
225,173,VIC-HQ,40,2,0
226,174,VIC-HR,69,1,0
227,175,VIC-HS,31,2,0
228,175,VIC-HT,51,3,0
229,175,VIC-HU,56,3,0
230,176,VIC-HV,22,3,0
231,177,VIC-HW,17,2,0
232,178,VIC-HX,59,1,0
233,179,VIC-HY,53,1,0
234,180,VIC-HZ,41,3,0
235,181,VIC-IA,47,3,0
236,181,VIC-IB,60,3,0
237,182,VIC-IC,48,2,0
238,183,VIC-ID,70,1,0
239,184,VIC-IE,61,2,0
240,185,VIC-IF,45,2,0
241,186,VIC-IG,70,1,0
242,187,VIC-IH,11,2,0
243,188,VIC-II,30,1,0
244,189,VIC-IJ,70,1,0
245,190,VIC-IK,69,3,0
246,191,VIC-IL,76,2,0
247,192,VIC-IM,73,1,0
248,193,VIC-IN,41,2,0
249,194,VIC-IO,55,2,0
250,195,VIC-IP,57,2,0
251,195,VIC-IQ,71,1,0
252,196,VIC-IR,67,1,0
253,197,VIC-IS,49,1,0
254,198,VIC-IT,38,2,0
255,199,VIC-IU,49,1,0
256,200,VIC-IV,57,3,0
257,201,VIC-IW,52,1,0
258,202,VIC-IX,46,3,1
259,203,VIC-IY,26,1,0
260,204,VIC-IZ,43,3,1
261,205,VIC-JA,23,2,0
262,206,VIC-JB,31,2,0
263,207,VIC-JC,64,2,0
264,208,VIC-JD,52,1,0
265,209,VIC-JE,47,1,0
266,210,VIC-JF,52,2,0
267,211,VIC-JG,51,2,0
268,212,VIC-JH,11,3,0
269,213,VIC-JI,56,1,0
270,214,VIC-JJ,23,2,0
271,214,VIC-JK,47,3,0
272,215,VIC-JL,64,3,0
273,216,VIC-JM,81,1,0
274,216,VIC-JN,44,1,0
275,217,VIC-JO,77,1,0
276,218,VIC-JP,16,2,1
277,218,VIC-JQ,31,1,1
278,219,VIC-JR,63,1,0
279,220,VIC-JS,25,2,0
280,220,VIC-JT,35,2,0
281,221,VIC-JU,7,1,0
282,221,VIC-JV,26,3,0
283,222,VIC-JW,7,1,0
284,223,VIC-JX,14,1,0
285,224,VIC-JY,23,1,0
286,225,VIC-JZ,53,2,0
287,225,VIC-KA,36,2,0
288,226,VIC-KB,80,2,0
289,227,VIC-KC,6,1,0
290,228,VIC-KD,81,1,0
291,228,VIC-KE,67,3,0
292,229,VIC-KF,64,1,0
293,229,VIC-KG,61,3,0
294,230,VIC-KH,45,3,0
295,230,VIC-KI,18,1,0
296,231,VIC-KJ,69,2,0
297,231,VIC-KK,60,2,0
298,232,VIC-KL,67,3,0
299,233,VIC-KM,18,1,0
300,233,VIC-KN,42,3,0
301,234,VIC-KO,67,3,0
302,235,VIC-KP,36,2,0
303,236,VIC-KQ,47,3,0
304,236,VIC-KR,36,3,0
305,237,VIC-KS,69,3,0
306,237,VIC-KT,9,2,1
307,238,VIC-KU,16,3,0
308,238,VIC-KV,68,1,0
309,239,VIC-KW,78,3,0
310,239,VIC-KX,55,3,0
311,240,VIC-KY,60,3,0
312,240,VIC-KZ,9,1,0
313,241,VIC-LA,7,3,0
314,242,VIC-LB,74,3,0
315,243,VIC-LC,73,2,0
316,244,VIC-LD,56,1,0
317,245,VIC-LE,67,3,0
318,246,VIC-LF,35,1,0
319,247,VIC-LG,23,3,0
320,247,VIC-LH,63,1,0
321,248,VIC-LI,13,1,0
322,249,VIC-LJ,24,3,0
323,250,VIC-LK,14,2,0
324,250,VIC-LL,17,2,0
325,251,VIC-LM,15,3,0
326,252,VIC-LN,61,2,0
327,253,VIC-LO,53,2,0
328,254,VIC-LP,15,2,0
329,255,VIC-LQ,58,3,0
330,255,VIC-LR,27,3,0
331,256,VIC-LS,48,2,0
332,257,VIC-LT,35,1,0
333,257,VIC-LU,21,2,0
334,258,VIC-LV,66,3,0
335,258,VIC-LW,81,2,0
336,258,VIC-LX,74,3,0
337,259,VIC-LY,21,3,0
338,260,VIC-LZ,6,1,0
339,260,VIC-MA,7,3,0
340,261,VIC-MB,7,3,0
341,262,VIC-MC,27,1,0
342,262,VIC-MD,30,1,0
343,263,VIC-ME,74,2,0
344,263,VIC-MF,74,2,0
345,264,VIC-MG,60,2,0
346,265,VIC-MH,70,3,0
347,266,VIC-MI,11,2,0
348,267,VIC-MJ,68,3,0
349,268,VIC-MK,58,1,0
350,269,VIC-ML,33,3,0
351,270,VIC-MM,34,3,0
352,271,VIC-MN,45,1,0
353,271,VIC-MO,64,3,0
354,272,VIC-MP,10,3,0
355,273,VIC-MQ,11,2,0
356,274,VIC-MR,41,1,0
357,275,VIC-MS,40,2,0
358,275,VIC-MT,32,1,0
359,276,VIC-MU,33,3,0
360,276,VIC-MV,22,1,0
361,277,VIC-MW,49,3,0
362,277,VIC-MX,52,2,0
363,278,VIC-MY,65,1,0
364,279,VIC-MZ,27,1,0
365,280,VIC-NA,22,3,0
366,281,VIC-NB,15,3,0
367,282,VIC-NC,12,2,0
368,282,VIC-ND,55,1,0
369,283,VIC-NE,55,1,0
370,284,VIC-NF,61,2,0
371,285,VIC-NG,8,3,0
372,286,VIC-NH,59,2,0
373,287,VIC-NI,39,3,1
374,288,VIC-NJ,72,3,0
375,289,VIC-NK,70,2,0
376,290,VIC-NL,38,1,0
377,291,VIC-NM,47,3,0
378,292,VIC-NN,11,1,0
379,293,VIC-NO,57,3,0
380,294,VIC-NP,64,3,0
381,295,VIC-NQ,44,1,0
382,296,VIC-NR,80,3,0
383,297,VIC-NS,48,3,0
384,297,VIC-NT,67,2,0
385,298,VIC-NU,46,1,0
386,299,VIC-NV,64,1,0
387,300,VIC-NW,6,1,0
388,301,VIC-NX,16,1,0
389,302,VIC-NY,9,1,0
390,303,VIC-NZ,76,2,0
391,303,VIC-OA,64,2,0
392,304,VIC-OB,15,2,0
393,305,VIC-OC,79,3,0
394,306,VIC-OD,76,2,0
395,307,VIC-OE,64,3,1
396,308,VIC-OF,39,2,0
397,309,VIC-OG,79,1,0
398,310,VIC-OH,51,2,0
399,311,VIC-OI,41,2,0
400,312,VIC-OJ,34,2,0
401,313,VIC-OK,44,3,1
402,314,VIC-OL,64,3,0
403,315,VIC-OM,55,2,0
404,316,VIC-ON,75,3,0
405,317,VIC-OO,70,1,1
406,318,VIC-OP,40,2,0
407,319,VIC-OQ,44,3,0
408,319,VIC-OR,34,2,0
409,320,VIC-OS,36,3,0
410,321,VIC-OT,43,2,0
411,322,VIC-OU,26,3,0
412,323,VIC-OV,51,1,0
413,324,VIC-OW,46,1,0
414,325,VIC-OX,65,3,0
415,325,VIC-OY,78,2,0
416,326,VIC-OZ,43,2,0
417,327,VIC-PA,46,3,0
418,328,VIC-PB,32,1,0
419,329,VIC-PC,62,1,0
420,330,VIC-PD,70,3,0
421,330,VIC-PE,25,1,0
422,330,VIC-PF,11,3,0
423,331,VIC-PG,58,2,0
424,332,VIC-PH,70,2,0
425,332,VIC-PI,24,1,0
426,333,VIC-PJ,28,3,0
427,333,VIC-PK,33,2,0
428,333,VIC-PL,27,3,0
429,334,VIC-PM,56,1,0
430,335,VIC-PN,69,3,0
431,335,VIC-PO,74,1,0
432,335,VIC-PP,9,2,0
433,336,VIC-PQ,37,1,0
434,337,VIC-PR,40,2,0
435,338,VIC-PS,80,1,0
436,338,VIC-PT,25,3,0
437,339,VIC-PU,55,2,0
438,340,VIC-PV,34,1,0
439,341,VIC-PW,41,2,0
440,341,VIC-PX,76,2,0
441,342,VIC-PY,15,1,0
442,343,VIC-PZ,11,1,0
443,344,VIC-QA,50,1,0
444,345,VIC-QB,53,3,0
445,346,VIC-QC,60,3,0
446,347,VIC-QD,56,2,0
447,347,VIC-QE,33,1,0
448,348,VIC-QF,17,3,0
449,349,VIC-QG,56,1,0
450,350,VIC-QH,62,2,0
451,351,VIC-QI,55,1,0
452,352,VIC-QJ,82,2,0
453,353,VIC-QK,43,2,0
454,354,VIC-QL,57,3,0
455,355,VIC-QM,37,2,1
456,356,VIC-QN,55,1,0
457,357,VIC-QO,45,1,0
458,357,VIC-QP,77,1,0
459,358,VIC-QQ,53,1,0
460,359,VIC-QR,45,2,0
461,360,VIC-QS,79,2,0
462,360,VIC-QT,18,1,0
463,361,VIC-QU,11,2,0
464,362,VIC-QV,80,1,0
465,363,VIC-QW,82,1,0
466,364,VIC-QX,65,3,0
467,364,VIC-QY,57,2,0
468,365,VIC-QZ,8,1,0
469,366,VIC-RA,38,2,1
470,367,VIC-RB,49,2,0
471,368,VIC-RC,29,2,0
472,369,VIC-RD,73,3,0
473,370,VIC-RE,79,1,0
474,371,VIC-RF,60,3,0
475,372,VIC-RG,71,1,0
476,373,VIC-RH,65,3,0
477,374,VIC-RI,69,3,0
478,374,VIC-RJ,19,3,0
479,375,VIC-RK,49,3,0
480,376,VIC-RL,38,1,0
481,377,VIC-RM,25,1,0
482,378,VIC-RN,29,1,0
483,379,VIC-RO,78,1,0
484,380,VIC-RP,23,3,0
485,381,VIC-RQ,18,3,0
486,381,VIC-RR,65,1,0
487,382,VIC-RS,75,2,0
488,383,VIC-RT,67,1,0
489,383,VIC-RU,69,2,0
490,384,VIC-RV,77,3,0
491,385,VIC-RW,13,1,0
492,385,VIC-RX,70,2,0
493,386,VIC-RY,44,1,0
494,387,VIC-RZ,24,2,0
495,388,VIC-SA,52,2,0
496,389,VIC-SB,77,2,0
497,389,VIC-SC,61,3,0
498,390,VIC-SD,81,2,0
499,390,VIC-SE,22,3,0
500,391,VIC-SF,81,2,0
501,391,VIC-SG,14,3,0
502,392,VIC-SH,29,2,0
503,393,VIC-SI,29,2,0
504,394,VIC-SJ,16,2,0
505,395,VIC-SK,22,3,0
506,396,VIC-SL,31,1,0
507,397,VIC-SM,45,1,0
508,397,VIC-SN,39,3,0
509,397,VIC-SO,59,3,0
510,398,VIC-SP,62,1,0
511,399,VIC-SQ,65,3,0
512,399,VIC-SR,69,3,0
513,400,VIC-SS,27,1,0
514,401,VIC-ST,58,1,0
515,402,VIC-SU,51,2,0
516,403,VIC-SV,59,3,0
517,403,VIC-SW,22,1,0
518,404,VIC-SX,72,3,0
519,404,VIC-SY,38,2,0
520,405,VIC-SZ,82,1,0
521,405,VIC-TA,79,3,0
522,406,VIC-TB,44,3,0
523,407,VIC-TC,55,1,0
524,408,VIC-TD,44,1,0
525,409,VIC-TE,82,1,0
526,409,VIC-TF,53,2,1
527,409,VIC-TG,33,1,0
528,410,VIC-TH,27,3,1
529,411,VIC-TI,73,3,0
530,412,VIC-TJ,18,1,1
531,413,VIC-TK,16,1,0
532,414,VIC-TL,10,3,0
533,415,VIC-TM,46,2,0
534,416,VIC-TN,29,1,0
535,416,VIC-TO,29,2,0
536,417,VIC-TP,29,2,0
537,417,VIC-TQ,35,3,0
538,417,VIC-TR,28,1,0
539,418,VIC-TS,24,3,0
540,419,VIC-TT,53,3,0
541,419,VIC-TU,32,3,0
542,420,VIC-TV,48,1,0
543,421,VIC-TW,10,1,0
544,421,VIC-TX,42,3,0
545,422,VIC-TY,16,2,0
546,422,VIC-TZ,17,3,0
547,422,VIC-UA,53,2,0
548,423,VIC-UB,15,1,0
549,424,VIC-UC,45,3,0
550,424,VIC-UD,39,2,0
551,425,VIC-UE,57,2,0
552,426,VIC-UF,64,3,0
553,427,VIC-UG,6,2,0
554,428,VIC-UH,14,3,0
555,429,VIC-UI,32,3,0
556,430,VIC-UJ,73,1,0
557,431,VIC-UK,68,3,0
558,432,VIC-UL,19,2,0
559,432,VIC-UM,57,1,0
560,432,VIC-UN,46,1,0
561,433,VIC-UO,23,3,0
562,434,VIC-UP,25,2,0
563,435,VIC-UQ,75,2,0
564,436,VIC-UR,63,2,0
565,436,VIC-US,59,3,0
566,437,VIC-UT,10,1,0
567,438,VIC-UU,8,2,0
568,439,VIC-UV,64,2,0
569,439,VIC-UW,74,3,0
570,439,VIC-UX,53,2,0
571,440,VIC-UY,58,2,0
572,440,VIC-UZ,19,1,0
573,441,VIC-VA,35,2,0
574,441,VIC-VB,29,3,0
575,442,VIC-VC,81,3,0
576,443,VIC-VD,45,3,0
577,444,VIC-VE,75,3,0
578,445,VIC-VF,18,2,0
579,446,VIC-VG,64,2,0
580,447,VIC-VH,57,3,0
581,448,VIC-VI,48,2,0
582,448,VIC-VJ,64,2,0
583,449,VIC-VK,25,1,0
584,449,VIC-VL,34,2,0
585,450,VIC-VM,66,3,0
586,450,VIC-VN,63,1,0
587,451,VIC-VO,28,2,0
588,452,VIC-VP,19,3,0
589,453,VIC-VQ,59,3,0
590,454,VIC-VR,27,3,0
591,455,VIC-VS,33,1,0
592,456,VIC-VT,71,2,0
593,457,VIC-VU,37,1,0
594,457,VIC-VV,32,1,0
595,458,VIC-VW,44,3,0
596,459,VIC-VX,30,2,0
597,460,VIC-VY,16,1,0
598,461,VIC-VZ,73,2,1
599,462,VIC-WA,50,2,0
600,463,VIC-WB,46,2,0
601,464,VIC-WC,53,1,0
602,465,VIC-WD,75,2,0
603,465,VIC-WE,34,1,0
604,466,VIC-WF,68,2,0
605,467,VIC-WG,42,3,1
606,468,VIC-WH,35,3,0
607,469,VIC-WI,70,1,0
608,470,VIC-WJ,6,3,0
609,470,VIC-WK,71,2,1
610,471,VIC-WL,78,1,0
611,472,VIC-WM,70,3,0
612,473,VIC-WN,80,1,0
613,474,VIC-WO,13,2,0
614,475,VIC-WP,24,1,0
615,475,VIC-WQ,15,1,0
616,475,VIC-WR,73,3,0
617,476,VIC-WS,25,2,0
618,477,VIC-WT,52,1,0
619,477,VIC-WU,16,1,0
620,478,VIC-WV,8,1,0
621,479,VIC-WW,73,3,0
622,480,VIC-WX,54,2,1
623,480,VIC-WY,29,3,0
624,481,VIC-WZ,10,3,0
625,482,VIC-XA,26,2,0
626,482,VIC-XB,62,1,0
627,483,VIC-XC,15,1,0
628,484,VIC-XD,37,3,0
629,485,VIC-XE,17,2,0
630,486,VIC-XF,29,1,0
631,487,VIC-XG,67,3,1
632,488,VIC-XH,59,1,0
633,489,VIC-XI,18,3,0
634,490,VIC-XJ,40,2,0
635,491,VIC-XK,42,3,0
636,492,VIC-XL,53,1,0
637,493,VIC-XM,59,3,0
638,494,VIC-XN,12,3,0
639,495,VIC-XO,58,3,0
640,495,VIC-XP,43,1,0
641,496,VIC-XQ,26,1,0
642,497,VIC-XR,73,3,0
643,497,VIC-XS,23,2,0
644,498,VIC-XT,72,1,0
645,499,VIC-XU,62,1,0
646,500,VIC-XV,68,3,0
647,501,VIC-XW,45,2,0
648,502,VIC-XX,40,3,0
649,502,VIC-XY,81,3,0
650,503,VIC-XZ,20,3,0
651,503,VIC-YA,54,2,0
652,503,VIC-YB,10,3,0
653,504,VIC-YC,50,3,0
654,505,VIC-YD,59,2,0
655,506,VIC-YE,18,2,0
656,507,VIC-YF,80,3,0
657,508,VIC-YG,33,3,0
658,509,VIC-YH,36,1,0
659,510,VIC-YI,55,1,0
660,511,VIC-YJ,79,1,0
661,512,VIC-YK,55,2,0
662,512,VIC-YL,8,3,0
663,513,VIC-YM,16,1,0
664,514,VIC-YN,42,3,0
665,515,VIC-YO,55,3,0
666,516,VIC-YP,49,3,0
667,516,VIC-YQ,48,3,0
668,517,VIC-YR,16,2,0
669,518,VIC-YS,36,1,0
670,518,VIC-YT,65,1,0
671,519,VIC-YU,24,2,0
672,520,VIC-YV,22,3,0
673,521,VIC-YW,71,3,0
674,522,VIC-YX,55,2,0
675,523,VIC-YY,6,1,0
676,523,VIC-YZ,40,1,0
677,523,VIC-ZA,13,1,0
678,524,VIC-ZB,81,2,0
679,525,VIC-ZC,26,3,0
680,525,VIC-ZD,14,2,0
681,526,VIC-ZE,51,2,0
682,527,VIC-ZF,53,3,0
683,528,VIC-ZG,22,3,0
684,529,VIC-ZH,72,3,0
685,530,VIC-ZI,17,1,0
686,530,VIC-ZJ,12,1,0
687,531,VIC-ZK,57,3,0
688,532,VIC-ZL,51,1,0
689,533,VIC-ZM,52,1,0
690,534,VIC-ZN,80,1,0
691,535,VIC-ZO,16,2,0
692,536,VIC-ZP,34,3,0
693,537,VIC-ZQ,44,3,1
694,537,VIC-ZR,13,3,0
695,537,VIC-ZS,81,1,0
696,538,VIC-ZT,77,1,0
697,539,VIC-ZU,69,1,0
698,540,VIC-ZV,35,1,0
699,540,VIC-ZW,10,3,0
700,541,VIC-ZX,28,1,0
701,542,VIC-ZY,16,3,0
702,543,VIC-ZZ,18,1,0
703,544,VIC-AAA,51,1,1
704,545,VIC-AAB,62,3,0
705,546,VIC-AAC,59,1,0
706,546,VIC-AAD,55,1,0
707,547,VIC-AAE,68,1,0
708,547,VIC-AAF,71,2,0
709,548,VIC-AAG,72,3,0
710,549,VIC-AAH,80,1,1
711,550,VIC-AAI,9,2,0
712,550,VIC-AAJ,36,2,0
713,551,VIC-AAK,42,1,0
714,552,VIC-AAL,65,1,0
715,552,VIC-AAM,38,2,0
716,553,VIC-AAN,26,2,0
717,554,VIC-AAO,34,1,0
718,554,VIC-AAP,42,3,0
719,555,VIC-AAQ,50,1,0
720,556,VIC-AAR,54,1,0
721,557,VIC-AAS,51,3,0
722,558,VIC-AAT,77,3,0
723,559,VIC-AAU,56,1,1
724,560,VIC-AAV,34,2,0
725,561,VIC-AAW,37,2,0
726,562,VIC-AAX,34,1,0
727,563,VIC-AAY,17,1,0
728,564,VIC-AAZ,38,1,0
729,564,VIC-ABA,7,1,0
730,565,VIC-ABB,22,1,0
731,566,VIC-ABC,46,2,0
732,567,VIC-ABD,28,2,0
733,568,VIC-ABE,9,1,0
734,569,VIC-ABF,48,1,0
735,569,VIC-ABG,9,1,0
736,570,VIC-ABH,34,2,0
737,571,VIC-ABI,41,3,0
738,572,VIC-ABJ,23,2,0
739,573,VIC-ABK,78,2,0
740,574,VIC-ABL,18,2,0
741,575,VIC-ABM,36,3,0
742,576,VIC-ABN,37,2,0
743,577,VIC-ABO,56,2,0
744,577,VIC-ABP,63,3,0
745,578,VIC-ABQ,30,1,0
746,579,VIC-ABR,81,2,0
747,580,VIC-ABS,14,1,0
748,581,VIC-ABT,55,2,0
749,582,VIC-ABU,81,1,0
750,583,VIC-ABV,6,1,0
751,584,VIC-ABW,75,1,0
752,584,VIC-ABX,21,1,0
753,585,VIC-ABY,26,3,0
754,586,VIC-ABZ,35,1,0
755,587,VIC-ACA,37,3,0
756,587,VIC-ACB,21,1,0
757,588,VIC-ACC,33,2,0
758,589,VIC-ACD,7,2,0
759,589,VIC-ACE,58,1,0
760,590,VIC-ACF,46,1,0
761,591,VIC-ACG,13,1,0
762,592,VIC-ACH,62,2,0
763,593,VIC-ACI,15,2,0
764,593,VIC-ACJ,58,2,0
765,594,VIC-ACK,59,3,0
766,595,VIC-ACL,18,3,0
767,596,VIC-ACM,59,2,0
768,597,VIC-ACN,73,2,0
769,598,VIC-ACO,13,1,0
770,599,VIC-ACP,67,3,0
771,600,VIC-ACQ,42,3,0
772,601,VIC-ACR,33,2,0
773,602,VIC-ACS,40,3,0
774,603,VIC-ACT,57,2,1
775,604,VIC-ACU,11,3,0
776,605,VIC-ACV,35,1,0
777,606,VIC-ACW,12,3,0
778,607,VIC-ACX,37,3,0
779,607,VIC-ACY,79,3,0
780,607,VIC-ACZ,63,1,0
781,608,VIC-ADA,73,2,0
782,609,VIC-ADB,53,2,0
783,610,VIC-ADC,51,2,0
784,611,VIC-ADD,35,1,0
785,612,VIC-ADE,15,2,0
786,613,VIC-ADF,16,1,0
787,614,VIC-ADG,48,2,0
788,615,VIC-ADH,46,1,0
789,616,VIC-ADI,62,2,0
790,617,VIC-ADJ,74,2,0
791,618,VIC-ADK,30,1,0
792,618,VIC-ADL,72,2,0
793,619,VIC-ADM,30,1,0
794,620,VIC-ADN,34,2,0
795,621,VIC-ADO,55,2,0
796,622,VIC-ADP,59,1,0
797,623,VIC-ADQ,74,2,0
798,623,VIC-ADR,44,1,0
799,624,VIC-ADS,54,1,0
800,624,VIC-ADT,21,2,0
801,625,VIC-ADU,44,2,0
802,626,VIC-ADV,25,2,0
803,627,VIC-ADW,62,2,0
804,627,VIC-ADX,52,3,0
805,627,VIC-ADY,22,2,0
806,628,VIC-ADZ,18,3,0
807,629,VIC-AEA,47,1,0
