ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
128,116,CMP-DX,28,6,2,1,3
129,117,CMP-DY,43,8,1,4,3
130,118,CMP-DZ,53,8,1,1,2
131,119,CMP-EA,46,3,5,4,1
132,119,CMP-EB,26,1,2,4,2
133,120,CMP-EC,61,6,1,3,3
134,120,CMP-ED,69,3,3,1,3
135,121,CMP-EE,68,4,2,4,3
136,122,CMP-EF,24,4,1,5,3
137,123,CMP-EG,34,5,1,5,2
138,124,CMP-EH,61,6,2,1,2
139,125,CMP-EI,60,5,3,1,1
140,126,CMP-EJ,49,6,5,4,2
141,127,CMP-EK,39,7,5,4,2
142,128,CMP-EL,54,4,4,2,1
143,129,CMP-EM,71,8,3,3,1
144,130,CMP-EN,37,5,2,1,2
145,131,CMP-EO,63,5,4,3,2
146,132,CMP-EP,39,3,1,3,3
147,132,CMP-EQ,20,7,1,1,1
148,133,CMP-ER,51,5,3,4,3
149,134,CMP-ES,18,4,1,2,2
150,135,CMP-ET,68,4,2,3,1
151,136,CMP-EU,39,4,3,2,3
152,137,CMP-EV,48,1,2,3,2
153,138,CMP-EW,23,1,2,5,1
154,139,CMP-EX,70,6,3,1,1
155,140,CMP-EY,56,7,1,3,1
156,141,CMP-EZ,77,7,2,1,3
157,142,CMP-FA,40,4,4,2,3
158,143,CMP-FB,39,2,4,5,1
159,144,CMP-FC,47,2,2,3,1
160,145,CMP-FD,75,4,2,2,3
161,146,CMP-FE,69,7,3,1,3
162,147,CMP-FF,56,2,4,4,2
163,147,CMP-FG,24,4,4,1,1
164,148,CMP-FH,57,8,3,4,2
165,149,CMP-FI,21,7,1,1,2
166,150,CMP-FJ,55,8,2,4,3
167,151,CMP-FK,69,1,1,1,3
168,152,CMP-FL,73,5,2,1,1
169,152,CMP-FM,56,1,3,1,3
170,153,CMP-FN,76,1,1,1,3
171,154,CMP-FO,37,3,2,3,3
172,155,CMP-FP,38,1,2,4,2
173,156,CMP-FQ,43,5,4,1,1
174,157,CMP-FR,48,3,4,1,1
175,158,CMP-FS,72,7,3,4,3
176,158,CMP-FT,50,3,4,2,3
177,159,CMP-FU,37,1,2,5,2
178,160,CMP-FV,48,6,2,2,3
179,161,CMP-FW,42,4,3,5,2
180,162,CMP-FX,41,7,3,1,2
181,163,CMP-FY,76,6,4,5,2
182,164,CMP-FZ,70,6,1,3,3
183,165,CMP-GA,36,3,4,3,2
184,166,CMP-GB,72,1,4,5,1
185,167,CMP-GC,60,6,2,4,1
186,168,CMP-GD,70,5,1,1,2
187,169,CMP-GE,25,1,2,4,3
188,170,CMP-GF,58,7,1,1,2
189,171,CMP-GG,40,6,3,2,2
190,172,CMP-GH,54,1,5,4,2
191,173,CMP-GI,39,4,5,5,1
192,174,CMP-GJ,49,1,1,4,3
193,175,CMP-GK,73,2,5,4,1
194,176,CMP-GL,24,6,2,3,3
195,177,CMP-GM,28,5,3,2,3
196,178,CMP-GN,36,1,3,2,3
197,179,CMP-GO,18,8,3,5,2
198,180,CMP-GP,38,2,3,5,3
199,181,CMP-GQ,74,1,2,1,2
200,182,CMP-GR,23,4,1,1,2
201,183,CMP-GS,54,7,5,5,1
202,184,CMP-GT,75,2,3,1,1
203,185,CMP-GU,19,3,3,1,1
204,186,CMP-GV,40,4,2,2,3
205,187,CMP-GW,23,5,5,3,2
206,188,CMP-GX,32,8,2,4,1
207,189,CMP-GY,41,3,1,4,3
208,190,CMP-GZ,45,7,2,5,2
209,191,CMP-HA,60,8,1,4,1
210,192,CMP-HB,52,3,1,1,3
211,193,CMP-HC,59,6,5,5,1
212,194,CMP-HD,73,3,1,5,1
213,195,CMP-HE,72,2,4,3,2
214,196,CMP-HF,46,4,2,3,2
215,197,CMP-HG,38,3,1,5,3
216,198,CMP-HH,50,1,4,3,1
217,199,CMP-HI,66,8,3,4,2
218,200,CMP-HJ,74,8,1,1,2
219,200,CMP-HK,46,7,1,1,3
220,201,CMP-HL,69,5,3,2,1
221,202,CMP-HM,62,1,3,5,1
222,203,CMP-HN,42,1,4,1,1
223,204,CMP-HO,78,2,2,1,3
224,205,CMP-HP,52,6,4,2,2
225,206,CMP-HQ,42,1,3,3,2
226,207,CMP-HR,69,4,1,5,1
227,208,CMP-HS,43,3,1,3,2
228,209,CMP-HT,18,5,4,4,1
229,210,CMP-HU,29,4,4,4,1
230,211,CMP-HV,69,8,2,1,3
231,212,CMP-HW,71,8,4,2,1
232,213,CMP-HX,27,6,1,5,3
233,214,CMP-HY,63,1,3,1,1
234,215,CMP-HZ,75,7,5,4,1
235,216,CMP-IA,48,7,2,5,1
236,216,CMP-IB,78,4,3,1,3
237,217,CMP-IC,41,7,4,4,2
238,218,CMP-ID,76,6,2,1,1
239,219,CMP-IE,33,3,1,5,1
240,220,CMP-IF,41,2,4,1,3
241,221,CMP-IG,21,5,1,1,3
242,222,CMP-IH,35,2,3,1,2
243,223,CMP-II,37,6,2,3,2
244,223,CMP-IJ,28,1,4,1,2
245,224,CMP-IK,73,8,5,5,1
246,225,CMP-IL,47,4,4,5,2
247,226,CMP-IM,34,4,2,3,2
248,227,CMP-IN,25,1,1,5,3
249,228,CMP-IO,66,8,3,5,2
250,229,CMP-IP,73,4,5,1,1
251,230,CMP-IQ,40,2,1,5,1
252,231,CMP-IR,67,7,4,4,2
253,232,CMP-IS,51,2,4,2,3
254,233,CMP-IT,56,8,1,3,1
255,234,CMP-IU,29,1,2,3,1
256,235,CMP-IV,61,8,1,2,1
257,236,CMP-IW,35,5,5,5,2
258,237,CMP-IX,25,5,1,2,2
259,237,CMP-IY,46,3,5,2,1
260,238,CMP-IZ,45,7,5,5,2
261,239,CMP-JA,24,5,1,3,1
262,240,CMP-JB,65,8,4,3,1
263,241,CMP-JC,41,1,3,5,1
264,242,CMP-JD,19,3,1,1,1
265,243,CMP-JE,46,6,3,1,2
266,244,CMP-JF,66,3,2,1,2
267,245,CMP-JG,27,7,4,2,3
268,246,CMP-JH,65,7,1,4,2
269,247,CMP-JI,45,4,3,4,1
270,248,CMP-JJ,28,5,2,5,1
271,249,CMP-JK,66,2,5,5,2
272,250,CMP-JL,76,3,2,4,2
273,250,CMP-JM,72,3,5,3,3
274,251,CMP-JN,40,5,1,2,2
275,252,CMP-JO,63,5,3,2,2
276,253,CMP-JP,62,7,2,5,3
277,254,CMP-JQ,31,2,4,3,2
278,255,CMP-JR,51,4,1,4,1
279,256,CMP-JS,68,1,4,2,1
280,256,CMP-JT,39,5,3,4,1
281,257,CMP-JU,19,2,3,3,2
282,258,CMP-JV,64,4,3,3,1
283,259,CMP-JW,66,3,3,4,1
284,260,CMP-JX,30,2,5,1,1
285,261,CMP-JY,44,1,4,2,1
286,262,CMP-JZ,69,1,4,1,1
287,263,CMP-KA,31,8,2,4,3
288,264,CMP-KB,34,8,2,3,1
289,265,CMP-KC,50,8,1,4,3
290,266,CMP-KD,31,3,4,5,3
291,267,CMP-KE,78,3,4,5,2
292,268,CMP-KF,40,5,1,5,2
293,269,CMP-KG,30,2,5,3,1
294,270,CMP-KH,59,6,1,5,3
295,271,CMP-KI,41,8,3,5,3
296,272,CMP-KJ,77,1,2,2,3
297,273,CMP-KK,53,4,3,3,1
298,273,CMP-KL,46,3,3,2,3
299,274,CMP-KM,74,4,4,2,3
300,275,CMP-KN,62,3,1,4,3
301,276,CMP-KO,38,7,5,5,2
302,277,CMP-KP,33,1,5,1,3
303,278,CMP-KQ,26,4,5,1,3
304,279,CMP-KR,23,1,3,5,2
305,280,CMP-KS,29,7,4,3,3
306,281,CMP-KT,69,1,4,2,1
307,281,CMP-KU,42,8,1,1,2
308,282,CMP-KV,33,5,2,1,3
309,283,CMP-KW,70,6,5,2,2
310,284,CMP-KX,48,4,4,3,3
311,285,CMP-KY,35,7,4,3,1
312,286,CMP-KZ,39,5,5,5,3
313,287,CMP-LA,47,8,1,1,1
314,288,CMP-LB,41,1,5,3,2
315,289,CMP-LC,75,6,1,1,3
316,290,CMP-LD,46,1,3,3,1
317,291,CMP-LE,51,3,4,2,1
318,292,CMP-LF,21,1,2,1,2
319,293,CMP-LG,44,1,1,3,1
320,294,CMP-LH,46,8,2,1,3
321,294,CMP-LI,75,5,2,5,1
322,295,CMP-LJ,25,8,1,5,1
323,296,CMP-LK,19,6,2,1,2
324,297,CMP-LL,21,4,1,4,3
325,298,CMP-LM,75,8,4,5,2
326,299,CMP-LN,28,3,5,3,1
327,299,CMP-LO,40,7,1,2,2
328,300,CMP-LP,41,5,1,3,2
329,300,CMP-LQ,59,2,5,4,3
330,301,CMP-LR,21,2,2,2,3
331,301,CMP-LS,38,7,2,2,2
332,302,CMP-LT,51,7,2,4,1
333,303,CMP-LU,20,2,4,4,2
334,303,CMP-LV,66,2,4,3,2
335,304,CMP-LW,30,3,5,2,1
336,305,CMP-LX,61,3,2,3,2
337,306,CMP-LY,67,6,1,1,3
338,307,CMP-LZ,35,7,3,3,3
339,308,CMP-MA,40,6,3,1,3
340,309,CMP-MB,66,8,2,4,3
341,310,CMP-MC,72,8,3,4,1
342,311,CMP-MD,63,3,2,5,3
343,312,CMP-ME,43,6,5,3,2
344,313,CMP-MF,40,7,2,1,2
345,314,CMP-MG,68,4,3,2,2
346,315,CMP-MH,56,1,4,3,2
347,316,CMP-MI,50,4,5,5,2
348,317,CMP-MJ,67,7,3,1,2
349,318,CMP-MK,74,6,1,4,3
350,319,CMP-ML,75,4,1,1,3
351,320,CMP-MM,21,1,3,3,1
352,321,CMP-MN,25,8,2,1,3
353,321,CMP-MO,40,4,3,1,1
354,322,CMP-MP,48,5,2,1,1
355,323,CMP-MQ,77,5,4,5,1
356,324,CMP-MR,43,1,2,5,3
357,325,CMP-MS,34,8,2,4,2
358,326,CMP-MT,55,1,5,2,3
359,327,CMP-MU,33,2,3,3,2
360,328,CMP-MV,76,7,2,3,2
361,329,CMP-MW,33,3,2,5,3
362,329,CMP-MX,56,6,5,5,3
363,330,CMP-MY,44,3,3,5,2
364,330,CMP-MZ,45,1,3,1,3
365,331,CMP-NA,51,3,1,3,3
366,332,CMP-NB,43,2,3,5,1
367,333,CMP-NC,74,5,3,2,3
368,334,CMP-ND,70,1,2,2,2
369,335,CMP-NE,74,1,1,5,3
370,336,CMP-NF,30,5,2,1,3
371,337,CMP-NG,61,8,3,4,1
372,338,CMP-NH,44,5,4,2,3
373,339,CMP-NI,63,6,5,5,1
374,340,CMP-NJ,71,1,5,5,1
375,341,CMP-NK,78,4,3,4,2
376,342,CMP-NL,77,2,2,5,2
377,343,CMP-NM,39,8,3,3,3
378,344,CMP-NN,28,5,2,4,3
379,345,CMP-NO,30,5,1,3,2
380,346,CMP-NP,78,7,2,1,3
381,347,CMP-NQ,66,2,5,5,1
382,348,CMP-NR,55,6,3,3,2
383,349,CMP-NS,24,1,2,1,3
384,350,CMP-NT,62,5,1,2,3
385,351,CMP-NU,54,5,1,1,2
386,352,CMP-NV,21,7,2,4,3
387,353,CMP-NW,63,7,5,3,1
388,354,CMP-NX,62,6,4,5,1
389,355,CMP-NY,62,4,3,3,3
390,356,CMP-NZ,53,2,4,5,3
391,357,CMP-OA,73,2,1,3,1
392,358,CMP-OB,36,8,2,1,3
393,359,CMP-OC,69,8,1,3,1
394,360,CMP-OD,54,6,4,4,3
395,361,CMP-OE,28,3,2,3,2
396,362,CMP-OF,25,1,4,1,3
397,362,CMP-OG,33,7,1,4,3
398,363,CMP-OH,56,5,3,1,2
399,364,CMP-OI,42,8,5,4,3
400,365,CMP-OJ,77,7,4,3,1
401,366,CMP-OK,43,8,5,2,2
402,366,CMP-OL,38,2,4,1,1
403,367,CMP-OM,48,4,4,4,2
404,368,CMP-ON,71,1,5,2,3
405,369,CMP-OO,56,6,1,5,1
406,370,CMP-OP,61,4,1,3,1
407,371,CMP-OQ,54,8,2,2,1
408,372,CMP-OR,52,4,1,1,2
409,373,CMP-OS,22,4,3,4,3
410,374,CMP-OT,46,8,2,2,3
411,375,CMP-OU,37,6,3,5,1
412,376,CMP-OV,63,2,5,5,1
413,377,CMP-OW,74,6,2,5,1
414,378,CMP-OX,49,1,3,2,2
415,379,CMP-OY,29,5,3,4,3
416,380,CMP-OZ,63,4,4,5,1
417,381,CMP-PA,29,3,1,3,3
418,382,CMP-PB,31,3,5,3,3
419,383,CMP-PC,29,8,4,4,3
420,384,CMP-PD,42,3,2,5,2
421,385,CMP-PE,74,7,1,4,1
422,386,CMP-PF,72,4,3,1,2
423,387,CMP-PG,23,2,3,4,2
424,388,CMP-PH,53,3,5,3,1
425,389,CMP-PI,35,1,1,3,3
426,390,CMP-PJ,57,4,2,3,3
427,391,CMP-PK,45,4,3,1,2
428,392,CMP-PL,76,7,2,2,3
429,393,CMP-PM,67,1,5,1,2
430,393,CMP-PN,19,5,4,2,3
431,394,CMP-PO,61,5,5,4,2
432,395,CMP-PP,39,4,1,1,2
433,396,CMP-PQ,33,2,4,5,2
434,397,CMP-PR,45,3,5,4,3
435,398,CMP-PS,36,8,1,5,1
436,398,CMP-PT,39,8,5,4,3
437,399,CMP-PU,42,7,4,3,1
438,399,CMP-PV,55,2,1,3,3
439,400,CMP-PW,31,7,1,5,2
440,401,CMP-PX,68,5,2,1,1
441,402,CMP-PY,21,8,3,3,3
442,403,CMP-PZ,51,1,5,3,3
443,404,CMP-QA,75,2,4,5,2
444,405,CMP-QB,30,6,2,3,2
445,406,CMP-QC,64,5,1,1,3
446,407,CMP-QD,35,6,1,3,3
447,408,CMP-QE,34,5,4,3,2
448,409,CMP-QF,63,7,5,2,1
449,410,CMP-QG,68,4,2,4,3
450,411,CMP-QH,63,4,5,1,3
451,412,CMP-QI,59,8,4,1,2
452,413,CMP-QJ,48,1,3,2,2
453,414,CMP-QK,58,8,1,1,1
454,415,CMP-QL,61,6,1,3,3
455,416,CMP-QM,26,4,4,4,1
456,417,CMP-QN,64,8,1,1,2
457,418,CMP-QO,22,2,5,3,2
458,419,CMP-QP,48,6,4,5,3
459,420,CMP-QQ,74,6,2,5,3
460,421,CMP-QR,38,5,3,2,1
461,422,CMP-QS,75,8,5,2,1
462,423,CMP-QT,54,2,5,3,3
463,424,CMP-QU,75,2,5,4,1
464,425,CMP-QV,20,5,3,5,2
465,426,CMP-QW,44,8,4,5,2
466,427,CMP-QX,69,3,1,4,1
467,428,CMP-QY,70,4,2,2,2
468,429,CMP-QZ,32,2,3,2,3
469,430,CMP-RA,68,6,3,1,1
470,430,CMP-RB,48,5,1,4,2
471,431,CMP-RC,65,3,4,2,2
472,432,CMP-RD,55,5,4,5,2
473,433,CMP-RE,45,5,1,2,2
474,434,CMP-RF,23,5,5,5,1
475,435,CMP-RG,64,1,3,2,1
476,436,CMP-RH,37,3,3,1,2
477,437,CMP-RI,45,4,4,5,1
478,438,CMP-RJ,20,3,4,3,1
479,439,CMP-RK,36,2,5,5,2
480,440,CMP-RL,52,4,4,1,3
481,441,CMP-RM,76,7,2,2,3
482,442,CMP-RN,43,7,1,2,2
483,443,CMP-RO,26,8,2,4,3
484,444,CMP-RP,58,7,2,2,1
485,445,CMP-RQ,65,5,2,1,1
486,446,CMP-RR,22,6,4,4,2
487,447,CMP-RS,50,1,1,2,3
488,448,CMP-RT,29,5,2,4,2
489,449,CMP-RU,37,1,4,1,1
490,450,CMP-RV,72,7,3,2,1
491,451,CMP-RW,55,2,3,2,1
492,452,CMP-RX,19,4,1,4,2
493,453,CMP-RY,29,7,2,1,1
494,453,CMP-RZ,63,8,2,2,2
495,454,CMP-SA,57,6,5,4,3
496,455,CMP-SB,73,7,2,2,1
497,456,CMP-SC,33,7,3,5,1
498,457,CMP-SD,53,5,4,2,3
499,458,CMP-SE,41,1,2,3,3
500,459,CMP-SF,45,3,3,4,1
501,460,CMP-SG,25,8,4,3,3
502,460,CMP-SH,44,4,1,3,3
503,461,CMP-SI,38,2,3,5,3
504,462,CMP-SJ,39,1,5,5,1
505,463,CMP-SK,55,5,3,3,1
506,464,CMP-SL,38,6,2,1,1
507,465,CMP-SM,29,8,1,1,2
508,466,CMP-SN,40,1,3,5,3
509,467,CMP-SO,41,4,4,5,3
510,468,CMP-SP,67,4,2,5,2
511,469,CMP-SQ,23,7,1,1,1
512,470,CMP-SR,26,8,2,1,2
513,471,CMP-SS,78,3,2,1,2
514,472,CMP-ST,75,3,4,4,2
515,473,CMP-SU,62,1,5,1,1
516,474,CMP-SV,68,2,3,3,2
517,475,CMP-SW,78,2,5,2,2
518,476,CMP-SX,18,4,5,2,3
519,477,CMP-SY,28,4,4,5,3
520,478,CMP-SZ,48,7,3,1,1
521,479,CMP-TA,43,5,5,2,2
522,480,CMP-TB,49,1,1,1,2
523,481,CMP-TC,65,3,2,3,3
524,482,CMP-TD,55,8,2,5,3
525,483,CMP-TE,69,3,2,4,2
526,484,CMP-TF,18,2,1,3,2
527,485,CMP-TG,24,2,4,4,1
528,486,CMP-TH,76,1,1,3,2
529,487,CMP-TI,55,5,4,4,2
530,488,CMP-TJ,43,7,1,4,2
531,489,CMP-TK,43,4,2,1,3
532,490,CMP-TL,72,4,3,2,1
533,491,CMP-TM,25,3,2,5,3
534,492,CMP-TN,39,3,1,5,3
535,493,CMP-TO,55,4,3,1,2
536,494,CMP-TP,35,8,4,5,1
537,495,CMP-TQ,53,8,3,4,1
538,496,CMP-TR,47,5,3,2,3
539,497,CMP-TS,78,7,1,3,2
540,498,CMP-TT,49,3,5,5,3
541,499,CMP-TU,60,6,1,5,2
542,500,CMP-TV,31,2,5,2,1
543,501,CMP-TW,19,7,3,4,1
544,502,CMP-TX,72,1,1,5,1
545,503,CMP-TY,48,7,5,3,3
546,504,CMP-TZ,53,2,4,5,3
547,505,CMP-UA,20,1,2,2,3
548,506,CMP-UB,19,8,3,1,3
549,507,CMP-UC,33,7,5,5,1
550,508,CMP-UD,73,1,4,1,1
551,509,CMP-UE,33,1,2,3,1
552,509,CMP-UF,56,7,2,4,2
553,510,CMP-UG,71,6,5,3,2
554,511,CMP-UH,19,4,2,2,1
555,512,CMP-UI,52,2,5,1,2
556,513,CMP-UJ,60,1,1,2,2
557,514,CMP-UK,64,1,5,4,2
558,515,CMP-UL,67,7,5,2,3
559,516,CMP-UM,42,4,4,4,2
560,517,CMP-UN,29,1,2,2,3
561,518,CMP-UO,42,3,5,1,2
562,519,CMP-UP,57,1,5,4,2
563,520,CMP-UQ,65,7,4,5,1
564,521,CMP-UR,72,7,5,4,3
565,522,CMP-US,20,6,5,2,2
566,523,CMP-UT,45,2,5,1,2
567,524,CMP-UU,65,7,3,1,2
568,525,CMP-UV,65,5,1,2,1
569,526,CMP-UW,76,3,5,1,1
570,527,CMP-UX,49,2,1,5,2
571,528,CMP-UY,18,1,1,2,1
572,529,CMP-UZ,35,1,1,2,3
573,530,CMP-VA,19,4,3,5,3
574,531,CMP-VB,40,3,4,5,3
575,532,CMP-VC,45,4,5,4,1
576,533,CMP-VD,50,7,5,1,3
577,534,CMP-VE,75,6,1,3,1
578,534,CMP-VF,75,5,2,4,1
579,535,CMP-VG,22,3,2,2,1
580,536,CMP-VH,62,8,2,2,1
581,537,CMP-VI,59,5,2,5,2
582,538,CMP-VJ,71,8,1,1,3
583,539,CMP-VK,33,2,2,5,1
584,540,CMP-VL,43,7,5,2,3
585,541,CMP-VM,75,2,4,1,1
586,542,CMP-VN,24,8,3,1,1
587,543,CMP-VO,55,8,5,4,3
588,544,CMP-VP,31,6,5,2,3
589,545,CMP-VQ,75,5,2,3,3
590,546,CMP-VR,32,8,1,3,2
591,547,CMP-VS,50,8,4,3,1
592,548,CMP-VT,57,4,3,1,2
593,549,CMP-VU,63,6,1,1,1
594,550,CMP-VV,47,2,4,1,1
595,551,CMP-VW,77,7,2,4,3
596,552,CMP-VX,46,4,1,3,1
597,553,CMP-VY,27,6,4,4,2
598,554,CMP-VZ,32,6,3,3,2
599,555,CMP-WA,69,3,4,3,2
600,556,CMP-WB,51,3,1,5,1
601,557,CMP-WC,33,2,1,5,2
602,558,CMP-WD,41,6,1,4,2
603,559,CMP-WE,22,2,2,5,3
604,560,CMP-WF,72,4,3,2,2
605,561,CMP-WG,62,4,3,5,1
606,562,CMP-WH,39,8,4,5,1
607,563,CMP-WI,69,1,2,3,1
608,564,CMP-WJ,38,7,1,3,1
609,565,CMP-WK,77,3,2,1,3
610,565,CMP-WL,23,2,2,1,3
611,566,CMP-WM,42,8,1,4,3
612,567,CMP-WN,49,2,5,1,1
613,568,CMP-WO,31,7,2,2,1
614,569,CMP-WP,32,6,4,4,1
615,570,CMP-WQ,37,6,4,1,1
616,571,CMP-WR,45,7,3,2,3
617,572,CMP-WS,34,8,1,1,3
618,573,CMP-WT,61,4,4,1,3
619,574,CMP-WU,20,5,2,4,1
620,575,CMP-WV,26,7,4,2,3
621,576,CMP-WW,59,4,4,4,3
622,577,CMP-WX,66,8,5,5,2
623,578,CMP-WY,36,6,2,4,1
624,579,CMP-WZ,40,3,4,4,1
625,580,CMP-XA,62,5,1,1,1
626,581,CMP-XB,70,1,3,3,2
627,582,CMP-XC,22,1,3,3,1
628,583,CMP-XD,63,6,2,5,2
629,584,CMP-XE,42,6,3,2,1
630,585,CMP-XF,37,1,2,5,1
631,586,CMP-XG,38,6,3,3,2
632,587,CMP-XH,47,1,3,5,1
633,588,CMP-XI,71,5,2,4,1
634,589,CMP-XJ,70,7,4,1,2
635,590,CMP-XK,37,3,1,5,2
636,591,CMP-XL,67,7,1,3,1
637,592,CMP-XM,40,8,3,3,2
638,593,CMP-XN,34,8,4,5,3
639,593,CMP-XO,77,3,5,3,2
640,594,CMP-XP,42,4,4,1,1
641,595,CMP-XQ,29,1,5,2,2
642,596,CMP-XR,37,2,1,3,3
643,597,CMP-XS,35,3,3,4,1
644,598,CMP-XT,19,2,5,2,2
645,599,CMP-XU,34,8,3,2,1
646,600,CMP-XV,62,3,4,1,3
647,601,CMP-XW,49,8,1,3,3
648,602,CMP-XX,51,3,4,2,2
649,602,CMP-XY,24,8,5,3,3
650,603,CMP-XZ,41,2,2,5,1
651,604,CMP-YA,78,7,4,4,2
652,605,CMP-YB,75,5,1,1,1
653,606,CMP-YC,37,1,3,5,2
654,607,CMP-YD,62,2,2,4,2
655,608,CMP-YE,41,2,2,3,2
656,609,CMP-YF,56,8,3,5,2
657,610,CMP-YG,56,3,4,5,3
658,611,CMP-YH,64,6,1,4,1
659,612,CMP-YI,49,3,3,2,3
