CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
123,NDPS,21,1,1
124,NDPS,21,1,1
125,NDPS,20,1,1
126,NDPS,20,1,1
127,IPC,457,1,1
128,NDPS,21,1,1
129,IPC,323,1,1
130,IPC,363,1,1
131,IPC,427,1,1
132,IPC,143,1,1
133,IPC,379,1,1
134,NDPS,21,1,1
135,IPC,363,1,1
136,IPC,302,1,1
137,IPC,420,1,1
138,POCSO,8,1,1
139,IPC,302,1,1
140,IPC,143,1,1
141,IPC,323,1,1
142,IPC,420,1,1
143,IPC,323,1,1
144,IPC,363,1,1
145,IPC,420,1,1
146,IPC,379,1,1
147,IPC,323,1,1
148,IPC,379,1,1
149,IPC,427,1,1
150,IT,66D,1,1
151,IPC,392,1,1
152,POCSO,8,1,1
153,IPC,379,1,1
154,NDPS,21,1,1
155,NDPS,20,1,1
156,IPC,457,1,1
157,IPC,363,1,1
158,IPC,143,1,1
159,IT,66D,1,1
160,IPC,457,1,1
161,IPC,323,1,1
162,IPC,392,1,1
163,IPC,363,1,1
164,POCSO,8,1,1
165,IPC,147,1,1
166,IPC,302,1,1
167,IPC,420,1,1
168,IPC,302,1,1
169,IPC,457,1,1
170,IPC,379,1,1
171,IPC,302,1,1
172,IPC,302,1,1
173,POCSO,8,1,1
174,IPC,323,1,1
175,IPC,363,1,1
176,IPC,379,1,1
177,IPC,302,1,1
178,IPC,392,1,1
179,IPC,302,1,1
180,IPC,147,1,1
181,POCSO,8,1,1
182,IPC,420,1,1
183,POCSO,8,1,1
184,IPC,363,1,1
185,IPC,302,1,1
186,IPC,147,1,1
187,IPC,420,1,1
188,IPC,363,1,1
189,IPC,302,1,1
190,POCSO,8,1,1
191,IPC,420,1,1
192,IPC,302,1,1
193,IPC,147,1,1
194,IPC,143,1,1
195,IPC,420,1,1
196,NDPS,21,1,1
197,IPC,143,1,1
198,IPC,457,1,1
199,IPC,302,1,1
200,IPC,147,1,1
201,IPC,420,1,1
202,IPC,420,1,1
203,IPC,143,1,1
204,POCSO,8,1,1
205,IPC,457,1,1
206,POCSO,8,1,1
207,IT,66D,1,1
208,IT,66D,1,1
209,IPC,457,1,1
210,IPC,457,1,1
211,IPC,143,1,1
212,IPC,143,1,1
213,IPC,427,1,1
214,IT,66D,1,1
215,IPC,363,1,1
216,IPC,302,1,1
217,NDPS,21,1,1
218,IPC,379,1,1
219,NDPS,21,1,1
220,IPC,147,1,1
221,IPC,379,1,1
222,IPC,302,1,1
223,IPC,392,1,1
224,IPC,420,1,1
225,IPC,302,1,1
226,IPC,457,1,1
227,IPC,302,1,1
228,NDPS,20,1,1
229,IPC,323,1,1
230,IPC,427,1,1
231,IPC,363,1,1
232,IPC,147,1,1
233,IPC,147,1,1
234,IPC,379,1,1
235,IPC,392,1,1
236,NDPS,21,1,1
237,IPC,363,1,1
238,IPC,363,1,1
239,IPC,427,1,1
240,IPC,363,1,1
241,IPC,457,1,1
242,NDPS,21,1,1
243,IPC,143,1,1
244,NDPS,21,1,1
245,IT,66D,1,1
246,IPC,302,1,1
247,IPC,147,1,1
248,IPC,323,1,1
249,IPC,457,1,1
250,IPC,363,1,1
251,IPC,143,1,1
252,IPC,302,1,1
253,IPC,143,1,1
254,POCSO,8,1,1
255,IPC,323,1,1
256,NDPS,21,1,1
257,IPC,420,1,1
258,IPC,420,1,1
259,IT,66D,1,1
260,IPC,392,1,1
261,IPC,392,1,1
262,IPC,379,1,1
263,IPC,302,1,1
264,NDPS,20,1,1
265,NDPS,20,1,1
266,IPC,302,1,1
267,IPC,457,1,1
268,IT,66D,1,1
269,IT,66D,1,1
270,IPC,323,1,1
271,IPC,457,1,1
272,IPC,392,1,1
273,IPC,143,1,1
274,IPC,147,1,1
275,IPC,379,1,1
276,IPC,147,1,1
277,IPC,363,1,1
278,NDPS,21,1,1
279,IPC,420,1,1
280,NDPS,20,1,1
281,IPC,392,1,1
282,IPC,323,1,1
283,IPC,302,1,1
284,IPC,427,1,1
285,IPC,363,1,1
286,POCSO,8,1,1
287,POCSO,8,1,1
288,NDPS,21,1,1
289,IPC,302,1,1
290,NDPS,21,1,1
291,IPC,427,1,1
292,NDPS,21,1,1
293,IT,66D,1,1
294,NDPS,20,1,1
295,IPC,392,1,1
296,IPC,147,1,1
297,IPC,143,1,1
298,IPC,420,1,1
299,IT,66D,1,1
300,IPC,427,1,1
301,IPC,420,1,1
302,IPC,420,1,1
303,IPC,420,1,1
304,NDPS,21,1,1
305,IT,66D,1,1
306,IPC,457,1,1
307,IPC,147,1,1
308,NDPS,20,1,1
309,NDPS,20,1,1
310,IPC,420,1,1
311,IPC,323,1,1
312,NDPS,21,1,1
313,IPC,147,1,1
314,IPC,363,1,1
315,IT,66D,1,1
316,IPC,427,1,1
317,IPC,420,1,1
318,IPC,392,1,1
319,IPC,457,1,1
320,NDPS,21,1,1
321,IPC,302,1,1
322,IPC,427,1,1
323,IT,66D,1,1
324,IT,66D,1,1
325,IPC,143,1,1
326,POCSO,8,1,1
327,IPC,323,1,1
328,IPC,427,1,1
329,IPC,143,1,1
330,IPC,420,1,1
331,IPC,420,1,1
332,IPC,420,1,1
333,IPC,420,1,1
334,IT,66D,1,1
335,NDPS,20,1,1
336,IPC,143,1,1
337,IPC,379,1,1
338,IPC,427,1,1
339,IT,66D,1,1
340,IPC,427,1,1
341,IPC,147,1,1
342,IPC,147,1,1
343,IPC,147,1,1
344,IPC,302,1,1
345,IPC,147,1,1
346,IPC,392,1,1
347,IT,66D,1,1
348,IPC,323,1,1
349,IPC,379,1,1
350,IPC,420,1,1
351,IPC,427,1,1
352,IT,66D,1,1
353,IPC,302,1,1
354,IPC,363,1,1
355,IT,66D,1,1
356,IPC,323,1,1
357,IPC,457,1,1
358,IPC,143,1,1
359,POCSO,8,1,1
360,IPC,457,1,1
361,IPC,143,1,1
362,IPC,427,1,1
363,IPC,392,1,1
364,IPC,323,1,1
365,NDPS,20,1,1
366,IPC,392,1,1
367,IPC,302,1,1
368,IT,66D,1,1
369,IPC,147,1,1
370,IPC,457,1,1
371,IPC,420,1,1
372,IPC,147,1,1
373,IPC,427,1,1
374,IPC,420,1,1
375,IPC,420,1,1
376,IPC,147,1,1
377,NDPS,20,1,1
378,IPC,323,1,1
379,IPC,420,1,1
380,POCSO,8,1,1
381,NDPS,20,1,1
382,IPC,302,1,1
383,IPC,392,1,1
384,IPC,427,1,1
385,IPC,392,1,1
386,IPC,379,1,1
387,IPC,392,1,1
388,IPC,420,1,1
389,NDPS,20,1,1
390,IPC,420,1,1
391,IPC,363,1,1
392,IPC,363,1,1
393,IPC,363,1,1
394,IPC,363,1,1
395,IPC,379,1,1
396,IPC,420,1,1
397,NDPS,20,1,1
398,IPC,323,1,1
399,IPC,363,1,1
400,IPC,379,1,1
401,IPC,363,1,1
402,NDPS,20,1,1
403,IPC,392,1,1
404,IPC,392,1,1
405,IPC,379,1,1
406,IT,66D,1,1
407,IPC,143,1,1
408,IT,66D,1,1
409,IPC,143,1,1
410,IPC,147,1,1
411,IPC,457,1,1
412,IPC,143,1,1
413,IPC,457,1,1
414,POCSO,8,1,1
415,IPC,147,1,1
416,IPC,302,1,1
417,IPC,323,1,1
418,IPC,143,1,1
419,IPC,379,1,1
420,POCSO,8,1,1
421,NDPS,21,1,1
422,IPC,420,1,1
423,IPC,392,1,1
424,POCSO,8,1,1
425,POCSO,8,1,1
426,IPC,363,1,1
427,IPC,302,1,1
428,IPC,323,1,1
429,NDPS,21,1,1
430,IPC,420,1,1
431,IPC,363,1,1
432,IPC,302,1,1
433,IPC,420,1,1
434,IPC,392,1,1
435,NDPS,20,1,1
436,IPC,143,1,1
437,IPC,147,1,1
438,IPC,427,1,1
439,IT,66D,1,1
440,IPC,420,1,1
441,IPC,323,1,1
442,IPC,392,1,1
443,IPC,392,1,1
444,NDPS,20,1,1
445,IPC,363,1,1
446,IPC,457,1,1
447,IPC,363,1,1
448,IT,66D,1,1
449,IPC,420,1,1
450,IT,66D,1,1
451,IPC,392,1,1
452,IPC,420,1,1
453,IT,66D,1,1
454,IT,66D,1,1
455,NDPS,20,1,1
456,IPC,323,1,1
457,IT,66D,1,1
458,IPC,420,1,1
459,IPC,392,1,1
460,IPC,457,1,1
461,IPC,323,1,1
462,IPC,420,1,1
463,IPC,420,1,1
464,IPC,363,1,1
465,IPC,302,1,1
466,IPC,427,1,1
467,IT,66D,1,1
468,IPC,302,1,1
469,IPC,420,1,1
470,IPC,302,1,1
471,IPC,379,1,1
472,IPC,147,1,1
473,IPC,427,1,1
474,IPC,302,1,1
475,IPC,379,1,1
476,IPC,363,1,1
477,IPC,363,1,1
478,NDPS,21,1,1
479,IPC,143,1,1
480,IPC,323,1,1
481,IPC,427,1,1
482,IPC,420,1,1
483,IPC,302,1,1
484,NDPS,21,1,1
485,IPC,302,1,1
486,IPC,302,1,1
487,IPC,302,1,1
488,IT,66D,1,1
489,NDPS,20,1,1
490,IPC,323,1,1
491,IPC,147,1,1
492,IPC,323,1,1
493,IPC,420,1,1
494,NDPS,21,1,1
495,POCSO,8,1,1
496,IPC,457,1,1
497,NDPS,20,1,1
498,IPC,302,1,1
499,IPC,302,1,1
500,IPC,457,1,1
501,IPC,379,1,1
502,IPC,420,1,1
503,IPC,147,1,1
504,POCSO,8,1,1
505,POCSO,8,1,1
506,IPC,379,1,1
507,IPC,302,1,1
508,IT,66D,1,1
509,IPC,147,1,1
510,IPC,363,1,1
511,IPC,420,1,1
512,IPC,420,1,1
513,IPC,143,1,1
514,IPC,363,1,1
515,IPC,323,1,1
516,NDPS,20,1,1
517,IPC,392,1,1
518,IPC,420,1,1
519,IPC,457,1,1
520,NDPS,20,1,1
521,NDPS,21,1,1
522,IPC,420,1,1
523,NDPS,20,1,1
524,IPC,379,1,1
525,POCSO,8,1,1
526,IPC,457,1,1
527,IT,66D,1,1
528,IPC,363,1,1
529,IPC,420,1,1
530,IPC,323,1,1
531,IPC,143,1,1
532,IPC,323,1,1
533,IPC,457,1,1
534,IT,66D,1,1
535,NDPS,20,1,1
536,IPC,147,1,1
537,IPC,427,1,1
538,IPC,420,1,1
539,IPC,143,1,1
540,NDPS,20,1,1
541,POCSO,8,1,1
542,IPC,420,1,1
543,NDPS,20,1,1
544,IPC,392,1,1
545,IPC,323,1,1
546,POCSO,8,1,1
547,IPC,147,1,1
548,IPC,457,1,1
549,NDPS,21,1,1
550,IPC,323,1,1
551,IPC,392,1,1
552,IPC,457,1,1
553,IPC,379,1,1
554,IPC,392,1,1
555,IT,66D,1,1
556,NDPS,20,1,1
557,IPC,302,1,1
558,IT,66D,1,1
559,IPC,323,1,1
560,IPC,302,1,1
561,IPC,427,1,1
562,IPC,147,1,1
563,NDPS,21,1,1
564,IPC,379,1,1
565,IPC,420,1,1
566,IPC,392,1,1
567,IPC,427,1,1
568,IPC,457,1,1
569,IPC,420,1,1
570,IPC,379,1,1
571,IPC,147,1,1
572,IT,66D,1,1
573,IPC,392,1,1
574,IPC,302,1,1
575,IPC,420,1,1
576,IPC,420,1,1
577,IPC,363,1,1
578,IPC,427,1,1
579,IPC,147,1,1
580,IPC,143,1,1
581,IPC,143,1,1
582,IPC,302,1,1
583,IT,66D,1,1
584,IPC,147,1,1
585,NDPS,20,1,1
586,IPC,392,1,1
587,NDPS,21,1,1
588,IPC,323,1,1
589,IPC,302,1,1
590,IPC,420,1,1
591,NDPS,21,1,1
592,POCSO,8,1,1
593,IPC,379,1,1
594,IPC,457,1,1
595,IPC,323,1,1
596,NDPS,21,1,1
597,IPC,323,1,1
598,POCSO,8,1,1
599,IPC,420,1,1
600,NDPS,20,1,1
601,IPC,420,1,1
602,IPC,363,1,1
603,IT,66D,1,1
604,IPC,392,1,1
605,IPC,420,1,1
606,IPC,392,1,1
607,IPC,363,1,1
608,IPC,363,1,1
609,IPC,427,1,1
610,IPC,392,1,1
611,POCSO,8,1,1
612,IPC,323,1,1
613,IPC,420,1,1
614,IPC,420,1,1
615,IPC,392,1,1
616,NDPS,21,1,1
617,IPC,427,1,1
618,IPC,147,1,1
619,IPC,302,1,1
620,IPC,363,1,1
621,NDPS,20,1,1
622,IPC,392,1,1
623,IPC,420,1,1
624,IPC,420,1,1
625,IPC,427,1,1
626,IT,66D,1,1
627,NDPS,20,1,1
628,IPC,420,1,1
629,IPC,457,1,1
630,IPC,363,1,1
631,NDPS,21,1,1
632,NDPS,21,1,1
633,NDPS,20,1,1
634,IT,66D,1,1
635,NDPS,21,1,1
636,IPC,420,1,1
637,IPC,379,1,1
638,NDPS,20,1,1
639,IPC,427,1,1
640,IPC,379,1,1
641,POCSO,8,1,1
642,IPC,302,1,1
643,IPC,147,1,1
644,IPC,457,1,1
645,IPC,147,1,1
646,IPC,143,1,1
647,NDPS,20,1,1
648,IPC,420,1,1
649,IPC,420,1,1
650,IT,66D,1,1
651,IPC,302,1,1
652,IPC,143,1,1
653,IPC,323,1,1
654,IPC,420,1,1
655,IPC,363,1,1
656,IPC,392,1,1
657,IPC,420,1,1
658,IPC,420,1,1
659,IPC,379,1,1
660,IPC,392,1,1
661,POCSO,8,1,1
662,IPC,392,1,1
663,IPC,147,1,1
664,IPC,392,1,1
665,IPC,323,1,1
666,IPC,363,1,1
667,IPC,427,1,1
668,IPC,323,1,1
669,IPC,420,1,1
670,IPC,457,1,1
671,IT,66D,1,1
672,IPC,420,1,1
673,IPC,302,1,1
674,IPC,427,1,1
675,IPC,323,1,1
676,IPC,392,1,1
677,NDPS,21,1,1
678,IPC,420,1,1
679,IPC,323,1,1
680,IPC,147,1,1
681,IPC,143,1,1
682,NDPS,20,1,1
683,NDPS,21,1,1
684,IPC,392,1,1
685,NDPS,21,1,1
686,IPC,323,1,1
687,IPC,420,1,1
688,IPC,379,1,1
689,IPC,323,1,1
690,IPC,323,1,1
691,IPC,392,1,1
692,IPC,323,1,1
693,IPC,302,1,1
694,IPC,143,1,1
695,IPC,302,1,1
696,IPC,363,1,1
697,IPC,379,1,1
698,IPC,420,1,1
699,NDPS,21,1,1
700,IPC,363,1,1
701,IPC,379,1,1
702,IPC,379,1,1
703,POCSO,8,1,1
704,IPC,420,1,1
705,IPC,379,1,1
706,IPC,427,1,1
707,IT,66D,1,1
708,IPC,420,1,1
709,NDPS,21,1,1
710,IPC,363,1,1
711,IPC,457,1,1
712,NDPS,21,1,1
713,IPC,379,1,1
714,POCSO,8,1,1
715,NDPS,21,1,1
716,NDPS,20,1,1
717,IPC,323,1,1
718,IPC,143,1,1
719,IPC,379,1,1
720,IPC,392,1,1
721,IPC,379,1,1
722,NDPS,21,1,1
723,IPC,457,1,1
724,IPC,302,1,1
725,IPC,363,1,1
726,IPC,363,1,1
727,IPC,143,1,1
728,IPC,420,1,1
729,POCSO,8,1,1
730,NDPS,20,1,1
731,IPC,427,1,1
732,IPC,420,1,1
733,NDPS,20,1,1
734,IPC,323,1,1
735,IT,66D,1,1
736,NDPS,20,1,1
737,IPC,420,1,1
738,IPC,379,1,1
739,IPC,427,1,1
740,POCSO,8,1,1
741,IPC,363,1,1
742,NDPS,21,1,1
743,NDPS,20,1,1
744,IPC,427,1,1
745,IPC,427,1,1
746,POCSO,8,1,1
747,IPC,143,1,1
748,IPC,457,1,1
749,IPC,420,1,1
750,IPC,457,1,1
751,IPC,457,1,1
752,IPC,420,1,1
753,IPC,457,1,1
754,IPC,392,1,1
755,IPC,420,1,1
756,IPC,392,1,1
757,IPC,323,1,1
758,IPC,457,1,1
759,POCSO,8,1,1
760,IPC,147,1,1
761,IPC,363,1,1
762,IT,66D,1,1
763,IPC,420,1,1
764,IPC,379,1,1
765,IPC,143,1,1
766,IPC,323,1,1
767,NDPS,20,1,1
768,IT,66D,1,1
769,IPC,420,1,1
770,IPC,427,1,1
771,IT,66D,1,1
772,IPC,420,1,1
773,IPC,379,1,1
774,POCSO,8,1,1
775,POCSO,8,1,1
776,IPC,420,1,1
777,IPC,323,1,1
778,IPC,379,1,1
779,IPC,323,1,1
780,IPC,420,1,1
781,IPC,302,1,1
782,IPC,323,1,1
783,IPC,363,1,1
784,NDPS,21,1,1
785,IPC,392,1,1
786,IPC,147,1,1
787,IPC,420,1,1
788,IPC,363,1,1
789,IPC,420,1,1
790,IPC,302,1,1
791,IPC,147,1,1
792,IPC,147,1,1
793,IPC,420,1,1
794,IPC,420,1,1
795,IPC,420,1,1
796,IPC,143,1,1
797,IPC,457,1,1
798,IPC,363,1,1
799,IPC,323,1,1
800,IPC,302,1,1
801,IT,66D,1,1
802,IPC,363,1,1
803,POCSO,8,1,1
804,IPC,147,1,1
805,IPC,420,1,1
806,IPC,147,1,1
807,IPC,147,1,1
808,IPC,420,1,1
809,IPC,420,1,1
810,IPC,427,1,1
811,IPC,420,1,1
812,IPC,392,1,1
813,NDPS,21,1,1
814,NDPS,20,1,1
815,POCSO,8,1,1
816,IPC,420,1,1
817,IPC,363,1,1
818,IT,66D,1,1
819,IPC,392,1,1
820,IPC,363,1,1
821,IPC,427,1,1
822,IPC,420,1,1
823,NDPS,20,1,1
824,IPC,363,1,1
825,IPC,363,1,1
826,IPC,420,1,1
827,NDPS,21,1,1
828,IPC,302,1,1
829,IT,66D,1,1
830,IPC,379,1,1
831,IPC,147,1,1
832,IPC,143,1,1
833,IPC,392,1,1
834,IPC,147,1,1
835,IPC,363,1,1
836,NDPS,20,1,1
837,IPC,457,1,1
838,IPC,457,1,1
839,IPC,143,1,1
840,NDPS,20,1,1
841,NDPS,20,1,1
842,IPC,302,1,1
843,IPC,147,1,1
844,IPC,379,1,1
845,NDPS,20,1,1
846,POCSO,8,1,1
847,IPC,427,1,1
848,NDPS,21,1,1
849,IPC,323,1,1
850,IT,66D,1,1
851,IPC,420,1,1
852,IPC,323,1,1
853,IPC,147,1,1
854,IPC,147,1,1
855,IPC,427,1,1
856,IPC,420,1,1
857,IPC,457,1,1
858,IPC,363,1,1
859,POCSO,8,1,1
860,NDPS,20,1,1
861,IT,66D,1,1
862,IPC,457,1,1
863,IPC,457,1,1
864,IPC,392,1,1
865,IPC,147,1,1
866,IPC,147,1,1
867,IPC,427,1,1
868,IPC,457,1,1
869,IPC,323,1,1
870,NDPS,21,1,1
871,IPC,143,1,1
872,IPC,143,1,1
873,IPC,457,1,1
874,NDPS,20,1,1
875,IPC,302,1,1
876,IPC,147,1,1
877,POCSO,8,1,1
878,IPC,302,1,1
879,IPC,392,1,1
880,IPC,379,1,1
881,IPC,379,1,1
882,POCSO,8,1,1
883,NDPS,21,1,1
884,IPC,363,1,1
885,NDPS,21,1,1
886,NDPS,20,1,1
887,NDPS,21,1,1
888,IT,66D,1,1
889,IPC,302,1,1
890,NDPS,21,1,1
891,IPC,379,1,1
892,IT,66D,1,1
893,IPC,427,1,1
894,NDPS,21,1,1
895,NDPS,21,1,1
896,IT,66D,1,1
897,IPC,143,1,1
898,IPC,323,1,1
899,IT,66D,1,1
900,IPC,143,1,1
