CSID,CaseMasterID,csdate,cstype,PolicePersonID
144,316,2024-10-24 12:22:00,A,22
145,317,2021-04-11 21:42:00,A,112
146,318,2025-03-27 10:04:00,C,56
147,319,2023-11-22 01:01:00,B,5
148,321,2023-03-10 16:41:00,B,1
149,322,2023-01-08 09:34:00,A,4
150,323,2023-07-13 17:22:00,A,115
151,325,2023-09-02 01:32:00,B,10
152,327,2023-11-19 05:43:00,C,22
153,328,2023-04-30 07:17:00,A,99
154,332,2026-01-07 17:35:00,A,107
155,333,2023-07-12 05:14:00,A,93
156,334,2025-02-28 00:52:00,A,122
157,335,2020-07-05 06:01:00,C,45
158,337,2023-09-11 04:02:00,A,4
159,338,2021-10-22 13:38:00,C,56
160,339,2023-04-07 06:23:00,C,100
161,340,2024-01-11 12:56:00,A,96
162,341,2023-11-01 09:26:00,C,103
163,344,2026-06-27 01:07:00,C,65
164,346,2025-05-26 08:36:00,C,24
165,348,2022-12-04 14:18:00,C,48
166,352,2022-09-03 17:06:00,A,94
167,354,2024-05-20 13:21:00,B,63
168,356,2021-02-20 15:41:00,B,53
169,357,2023-08-01 06:39:00,A,85
170,358,2025-08-05 11:13:00,A,121
171,360,2023-06-22 16:23:00,A,111
172,367,2020-04-24 01:36:00,A,77
173,371,2020-12-10 08:41:00,A,53
174,374,2021-05-22 00:10:00,B,104
175,376,2021-03-03 19:42:00,A,13
176,378,2021-06-25 11:57:00,C,41
177,381,2020-11-05 22:36:00,B,40
178,383,2023-04-02 04:37:00,C,116
179,385,2023-06-01 02:08:00,C,119
180,387,2021-04-30 09:31:00,B,13
181,388,2021-06-16 22:42:00,C,55
182,389,2022-09-16 08:51:00,A,97
183,390,2025-05-08 09:47:00,B,34
184,394,2023-02-15 08:49:00,B,50
185,398,2020-11-15 13:00:00,C,110
186,401,2025-09-19 21:44:00,C,38
187,404,2022-07-11 16:28:00,A,100
188,406,2021-10-03 10:37:00,A,68
189,408,2023-04-22 12:12:00,A,120
190,413,2025-07-16 17:11:00,A,109
191,416,2021-09-27 15:07:00,A,56
192,417,2022-10-12 03:40:00,A,46
193,418,2024-07-07 00:13:00,A,4
194,425,2025-12-26 22:43:00,C,61
195,436,2024-02-25 23:26:00,C,12
196,438,2022-02-03 20:48:00,A,31
197,439,2023-11-08 00:28:00,A,60
198,441,2021-12-11 13:16:00,C,110
199,442,2025-01-14 17:03:00,A,47
200,446,2024-05-22 15:11:00,B,54
201,448,2025-04-06 14:16:00,A,29
202,451,2023-05-27 10:01:00,A,121
203,452,2026-06-11 03:19:00,A,29
204,454,2023-12-16 08:02:00,A,97
205,459,2025-07-14 19:01:00,C,64
206,460,2022-10-24 00:32:00,B,118
207,462,2024-07-02 12:16:00,B,1
208,463,2022-10-08 09:18:00,A,42
209,464,2020-07-17 15:20:00,C,21
210,466,2026-06-13 01:00:00,A,74
211,468,2025-12-28 21:57:00,B,50
212,472,2025-11-08 18:50:00,C,4
213,473,2025-07-09 09:48:00,B,66
214,475,2021-12-04 15:11:00,A,84
215,479,2025-01-22 19:00:00,A,22
216,480,2023-10-25 04:16:00,A,95
217,482,2022-05-14 18:31:00,A,50
218,485,2024-03-18 18:54:00,A,50
219,486,2025-06-17 03:18:00,A,39
220,487,2025-10-16 01:53:00,B,3
221,492,2021-12-24 06:04:00,A,68
222,493,2021-10-20 01:20:00,A,37
223,494,2022-11-11 01:59:00,B,51
224,496,2020-08-07 19:17:00,A,25
225,497,2024-07-31 00:05:00,A,90
226,499,2020-12-04 15:08:00,A,46
227,500,2021-01-21 09:05:00,C,114
228,501,2021-01-02 01:41:00,C,16
229,503,2024-08-22 20:11:00,A,31
230,510,2023-08-11 16:59:00,A,36
231,515,2025-02-18 09:40:00,A,55
232,516,2024-01-22 13:10:00,A,80
233,519,2025-04-05 00:39:00,A,49
234,533,2021-04-28 07:47:00,A,44
235,534,2022-08-04 21:30:00,B,43
236,536,2024-06-15 01:54:00,B,97
237,537,2021-07-08 10:42:00,B,67
238,540,2022-07-13 06:44:00,A,13
239,541,2025-08-08 00:41:00,A,87
240,550,2021-08-05 01:12:00,A,48
241,552,2020-10-17 08:24:00,B,25
242,553,2025-09-15 01:47:00,C,53
243,555,2023-07-13 06:12:00,A,57
244,556,2023-10-08 17:02:00,C,30
245,558,2022-06-15 20:13:00,A,45
246,559,2022-02-14 15:21:00,A,34
247,561,2025-08-08 17:22:00,C,44
248,564,2026-03-14 17:33:00,B,100
249,565,2023-04-23 21:03:00,A,99
250,566,2025-11-14 06:03:00,B,10
251,569,2026-04-24 22:39:00,A,50
252,573,2025-06-19 07:03:00,A,37
253,576,2022-03-14 07:31:00,A,87
254,578,2020-10-24 16:18:00,B,52
255,579,2021-11-24 08:06:00,A,19
256,580,2023-11-20 06:04:00,A,85
257,584,2020-09-30 05:35:00,B,7
258,585,2022-09-26 08:00:00,A,69
259,586,2025-12-11 22:34:00,B,64
260,588,2024-10-07 04:28:00,A,67
261,591,2023-06-08 17:10:00,B,5
262,592,2026-05-19 15:30:00,A,119
263,594,2020-10-26 08:21:00,C,99
264,595,2023-09-14 14:44:00,B,98
265,597,2021-04-18 18:39:00,B,105
266,601,2021-11-29 16:56:00,A,116
267,604,2024-07-15 11:11:00,B,68
268,605,2025-03-26 05:10:00,A,21
269,610,2024-12-30 05:33:00,A,79
270,612,2025-12-22 19:15:00,A,116
271,613,2024-02-11 18:09:00,A,80
272,615,2025-01-20 17:25:00,B,101
273,616,2022-02-25 18:08:00,A,91
274,617,2020-09-29 09:09:00,B,41
275,619,2021-08-27 18:58:00,A,99
276,620,2025-10-27 16:53:00,C,82
277,621,2021-08-23 14:35:00,A,74
278,622,2024-08-18 15:23:00,B,25
279,628,2024-07-01 11:21:00,B,94
280,631,2024-07-16 05:43:00,B,46
281,632,2025-06-10 10:32:00,A,9
282,634,2025-06-02 08:23:00,B,65
283,635,2024-12-04 14:07:00,A,45
284,636,2020-03-26 14:39:00,A,8
285,639,2025-04-24 09:56:00,C,84
286,641,2025-06-15 07:45:00,A,2
287,643,2026-01-02 05:45:00,A,62
288,645,2024-03-08 20:57:00,A,9
289,648,2022-12-03 10:33:00,B,44
290,650,2024-07-06 03:12:00,C,53
291,652,2026-02-12 21:07:00,A,117
292,655,2023-03-18 21:26:00,B,22
293,656,2022-06-11 13:56:00,A,41
294,657,2022-01-27 15:05:00,B,38
295,658,2023-11-13 08:34:00,A,30
296,660,2026-01-14 15:08:00,C,98
297,662,2025-07-17 11:26:00,A,57
298,665,2024-05-21 14:49:00,A,95
299,667,2025-03-12 11:20:00,A,97
300,670,2025-06-19 16:41:00,B,100
301,672,2020-09-17 17:21:00,B,32
302,673,2022-08-01 14:59:00,B,4
303,676,2026-05-08 11:55:00,A,112
304,677,2025-12-15 23:39:00,A,50
305,679,2024-11-19 18:06:00,C,61
306,681,2025-07-09 07:15:00,A,16
307,683,2026-01-10 09:23:00,A,102
308,686,2021-11-11 07:20:00,A,78
309,687,2025-05-30 14:49:00,A,85
310,688,2024-08-05 18:26:00,A,117
311,691,2022-09-22 20:23:00,A,1
312,693,2021-06-14 02:59:00,A,33
313,697,2023-06-30 13:36:00,C,67
314,698,2023-01-04 08:25:00,C,26
315,701,2021-08-03 09:20:00,C,39
316,702,2021-03-30 05:48:00,A,67
317,703,2021-10-09 13:52:00,A,76
318,707,2025-10-27 12:34:00,B,54
319,709,2020-10-03 04:47:00,A,98
320,710,2020-09-30 22:38:00,A,60
321,712,2020-07-23 12:29:00,A,23
322,715,2021-03-14 20:36:00,B,36
323,717,2023-05-03 14:56:00,C,68
324,720,2024-03-30 06:16:00,A,35
325,721,2024-01-21 05:25:00,A,104
326,726,2022-11-14 13:39:00,C,56
327,727,2022-11-08 06:41:00,A,22
328,728,2022-05-04 23:24:00,B,22
329,730,2025-02-22 18:49:00,B,112
330,731,2020-12-23 14:51:00,B,48
331,734,2021-12-12 16:48:00,A,107
332,736,2024-09-02 07:05:00,A,47
333,737,2022-03-12 03:51:00,A,37
334,738,2022-07-19 05:58:00,C,50
335,742,2023-10-06 00:24:00,A,107
336,745,2024-06-25 11:22:00,A,53
337,747,2024-12-01 07:36:00,C,20
338,749,2023-08-01 20:39:00,A,70
339,750,2021-01-26 11:08:00,C,99
340,751,2024-07-07 00:30:00,B,28
341,753,2025-08-23 00:32:00,A,69
342,755,2023-11-09 12:26:00,B,118
343,756,2021-11-02 10:55:00,C,13
344,757,2026-02-28 22:40:00,A,15
345,758,2025-02-04 11:10:00,A,63
346,759,2024-12-30 06:26:00,A,12
347,761,2024-06-12 12:02:00,A,69
348,763,2025-04-03 00:01:00,A,82
349,764,2025-04-27 02:20:00,C,46
350,766,2026-02-18 16:10:00,A,50
351,767,2025-03-15 21:30:00,A,107
352,768,2024-04-06 09:09:00,A,36
353,769,2023-06-24 21:07:00,A,47
354,771,2021-03-31 03:34:00,A,31
355,773,2023-01-26 09:54:00,A,23
356,780,2021-09-14 00:45:00,A,120
357,782,2026-06-30 03:21:00,A,92
358,785,2020-06-06 21:34:00,B,91
359,787,2021-06-19 18:53:00,A,5
360,789,2021-05-08 09:34:00,A,40
361,790,2023-04-20 01:10:00,B,71
362,791,2025-05-21 23:32:00,B,18
363,792,2020-05-10 00:18:00,A,8
364,793,2025-10-29 21:41:00,A,25
365,796,2022-04-07 04:30:00,A,47
366,799,2022-04-18 19:13:00,B,13
367,803,2022-02-09 15:00:00,A,8
368,805,2023-05-29 21:20:00,B,107
369,807,2022-02-20 12:59:00,B,56
370,809,2022-07-28 23:38:00,A,22
371,810,2020-03-31 19:46:00,C,2
372,811,2024-01-25 02:27:00,A,101
373,812,2025-02-08 15:38:00,A,25
374,813,2025-05-12 11:53:00,A,4
375,815,2022-10-09 13:17:00,A,102
376,816,2024-03-13 03:36:00,A,15
377,818,2021-10-26 09:10:00,A,120
378,821,2025-05-14 06:29:00,A,1
379,822,2020-03-14 10:42:00,A,1
380,823,2024-07-13 18:56:00,A,32
381,824,2020-08-24 00:09:00,C,36
382,825,2021-06-16 22:40:00,A,55
383,827,2023-08-15 21:56:00,A,93
384,829,2023-09-21 23:11:00,A,58
385,832,2024-04-18 02:04:00,A,27
386,833,2023-03-19 10:17:00,A,11
387,839,2020-06-15 05:47:00,A,116
388,842,2024-05-02 10:05:00,A,7
389,843,2022-08-06 21:35:00,B,40
390,847,2023-07-04 19:01:00,A,64
391,850,2024-04-16 11:19:00,A,81
392,851,2021-08-23 05:57:00,A,55
393,854,2022-07-25 06:34:00,A,88
394,855,2024-11-30 04:31:00,A,3
395,857,2021-10-09 09:20:00,C,41
396,859,2022-11-26 20:35:00,A,51
397,862,2021-09-09 02:37:00,A,80
398,863,2023-08-17 22:50:00,C,66
399,864,2020-07-31 20:36:00,A,101
400,868,2023-10-29 06:24:00,C,50
401,870,2023-03-02 10:24:00,A,4
402,873,2025-04-07 09:25:00,B,93
403,874,2023-03-13 21:10:00,A,30
404,875,2021-12-11 06:20:00,A,1
405,877,2021-09-20 01:16:00,B,76
406,879,2025-01-31 22:49:00,A,92
407,880,2022-08-15 20:28:00,A,4
408,882,2023-12-14 05:00:00,C,39
409,884,2020-11-12 22:20:00,A,17
410,885,2021-10-04 15:20:00,C,95
411,886,2020-08-04 03:29:00,C,45
412,887,2026-01-14 15:19:00,A,78
413,891,2023-01-20 00:35:00,C,69
414,893,2020-06-07 19:07:00,B,20
415,895,2021-01-16 00:43:00,C,34
