ArrestSurrenderAccusedID,ArrestSurrenderID,AccusedMasterID
415,253,693
416,253,694
417,254,703
418,254,704
419,255,705
420,255,706
421,256,707
422,257,709
423,257,710
424,258,712
425,259,713
426,259,714
427,259,715
428,260,718
429,260,719
430,261,720
431,262,731
432,263,732
433,264,733
434,265,735
435,265,736
436,266,737
437,266,738
438,266,739
439,267,740
440,268,743
441,269,746
442,269,747
443,270,749
444,271,750
445,271,751
446,272,754
447,273,755
448,274,756
449,274,757
450,274,758
451,275,759
452,276,762
453,276,763
454,277,765
455,278,770
456,279,773
457,280,774
458,281,777
459,282,778
460,283,780
461,283,781
462,284,782
463,285,784
464,286,786
465,286,787
466,287,788
467,288,790
468,289,791
469,289,792
470,290,793
471,291,795
472,292,796
473,292,797
474,293,799
475,294,800
476,294,801
477,295,806
478,296,807
479,297,808
480,297,809
481,297,810
482,298,811
483,298,812
484,298,813
485,299,814
486,299,815
487,300,816
488,301,817
489,301,818
490,302,819
491,303,820
492,304,821
493,305,822
494,306,823
495,306,824
496,306,825
497,306,826
498,307,827
499,307,828
500,307,829
501,308,830
502,309,832
503,309,833
504,310,835
505,310,836
506,310,837
507,311,854
508,312,855
509,313,858
510,313,859
511,314,860
512,315,862
513,315,863
514,315,864
515,316,865
516,316,866
517,317,867
518,317,868
519,318,869
520,318,870
521,319,871
522,320,875
523,321,876
524,322,877
525,322,878
526,322,879
527,322,880
528,323,881
529,324,882
530,325,884
531,325,885
532,325,886
533,325,887
534,326,896
535,327,897
536,327,898
537,328,899
538,329,900
539,329,901
540,329,902
541,330,903
542,330,904
543,331,908
544,331,909
545,332,913
546,332,914
547,333,915
548,333,916
549,333,917
550,334,919
551,335,922
552,336,923
553,337,924
554,337,925
555,338,926
556,339,930
557,339,931
558,340,932
559,340,933
560,341,935
561,342,937
562,342,938
563,343,939
564,343,940
565,344,941
566,345,942
567,346,943
568,346,944
569,346,945
570,347,946
571,347,947
572,347,948
573,348,950
574,348,951
575,349,952
576,349,953
577,350,955
578,350,956
579,351,958
580,352,959
581,352,960
582,352,961
583,353,962
584,354,966
585,355,967
586,356,970
587,356,971
588,356,972
589,357,985
590,358,986
591,358,987
592,359,988
593,359,989
594,360,990
595,361,991
596,362,992
597,362,993
598,363,1000
599,363,1001
600,364,1002
601,365,1003
602,365,1004
603,365,1005
604,366,1007
605,367,1008
606,368,1009
607,368,1010
608,369,1012
609,369,1013
610,370,1014
611,371,1015
612,372,1017
613,373,1018
614,374,1019
615,374,1020
616,375,1021
617,375,1022
618,376,1023
619,377,1024
620,378,1026
621,379,1027
622,379,1028
623,379,1029
624,380,1032
625,380,1033
626,380,1034
627,380,1035
628,381,1040
629,382,1041
630,382,1042
631,382,1043
632,383,1044
633,384,1045
634,384,1046
635,385,1048
636,385,1049
637,386,1051
638,387,1052
639,388,1053
640,388,1054
641,389,1055
642,390,1056
643,391,1057
644,391,1058
645,391,1059
646,392,1060
647,392,1061
648,392,1062
649,393,1063
650,394,1064
651,395,1065
652,395,1066
653,395,1067
654,396,1069
655,396,1070
656,397,1071
657,398,1076
658,399,1077
659,400,1079
660,401,1080
661,402,1081
662,403,1083
663,403,1084
664,404,1086
665,405,1088
666,405,1089
667,406,1090
668,407,1091
669,408,1092
670,408,1093
671,409,1098
672,409,1099
673,410,1100
674,411,1101
675,411,1102
676,412,1104
677,413,1105
678,413,1106
679,414,1108
680,415,1110
681,416,1111
682,417,1112
683,418,1114
684,419,1115
685,419,1116
686,420,1117
687,420,1118
688,420,1119
689,421,1120
690,422,1121
691,422,1122
692,422,1123
693,423,1124
694,423,1125
695,424,1129
696,425,1130
697,426,1131
698,426,1132
699,427,1134
700,428,1135
701,429,1136
702,430,1137
703,430,1138
704,431,1139
705,432,1141
706,433,1142
707,433,1143
708,434,1144
709,435,1145
710,435,1146
711,436,1148
712,436,1149
713,436,1150
714,437,1154
715,438,1156
716,438,1157
717,439,1158
718,440,1159
719,441,1163
720,441,1164
721,441,1165
722,441,1166
723,442,1167
724,443,1170
725,443,1171
726,443,1172
727,444,1173
728,445,1174
729,445,1175
730,445,1176
731,445,1177
732,446,1181
733,447,1182
734,448,1183
735,449,1184
736,449,1185
737,449,1186
738,450,1187
739,451,1188
740,451,1189
741,452,1201
742,452,1202
743,453,1203
744,454,1204
745,454,1205
746,455,1211
747,455,1212
748,456,1213
749,457,1219
750,458,1223
751,459,1224
752,460,1227
753,461,1230
754,461,1231
755,461,1232
756,461,1233
757,462,1234
758,463,1236
759,463,1237
760,463,1238
761,464,1239
762,464,1240
763,465,1242
764,466,1243
765,467,1257
766,468,1258
767,469,1264
768,470,1265
769,471,1266
770,472,1268
771,473,1269
772,473,1270
773,474,1273
774,475,1274
775,475,1275
776,475,1276
777,476,1277
778,477,1278
779,478,1279
780,479,1280
781,480,1281
782,481,1282
783,482,1283
784,483,1284
785,484,1285
786,485,1286
787,486,1287
788,486,1288
789,487,1289
790,488,1291
791,489,1292
792,490,1294
793,491,1300
794,491,1301
795,491,1302
796,492,1303
797,493,1304
798,493,1305
799,493,1306
800,494,1307
801,495,1309
802,495,1310
803,495,1311
804,496,1312
805,497,1313
806,497,1314
807,497,1315
808,497,1316
809,498,1317
810,498,1318
811,498,1319
812,499,1320
813,499,1321
814,499,1322
815,500,1326
816,500,1327
817,501,1328
818,501,1329
819,502,1330
820,502,1331
821,502,1332
822,503,1333
823,504,1337
824,504,1338
825,504,1339
826,505,1340
827,505,1341
828,505,1342
829,506,1343
830,506,1344
831,507,1346
832,507,1347
833,507,1348
834,508,1350
835,509,1351
836,510,1352
837,511,1353
838,511,1354
839,512,1356
840,512,1357
841,513,1366
842,514,1369
843,515,1372
844,516,1373
845,517,1375
846,518,1376
847,519,1379
848,520,1380
849,521,1381
850,521,1382
851,522,1383
852,523,1384
853,524,1386
854,524,1387
855,525,1388
856,526,1391
857,527,1392
858,528,1393
859,529,1396
860,530,1397
861,530,1398
862,531,1400
863,532,1401
864,533,1406
865,533,1407
866,534,1412
867,535,1417
868,536,1418
869,537,1419
870,538,1421
871,539,1423
872,540,1427
873,541,1428
874,541,1429
875,541,1430
876,542,1431
877,542,1432
878,542,1433
879,543,1434
880,544,1435
881,545,1436
882,546,1437
883,547,1438
884,547,1439
885,548,1440
886,548,1441
887,549,1442
888,549,1443
889,550,1446
890,550,1447
891,550,1448
892,551,1449
893,552,1450
894,552,1451
895,553,1452
896,553,1453
897,554,1454
898,554,1455
899,555,1456
900,556,1458
901,557,1459
902,557,1460
903,558,1462
904,558,1463
