AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
224,134,ACC-HP,50,1,A1
225,134,ACC-HQ,75,1,A2
226,134,ACC-HR,40,3,A3
227,135,ACC-HS,15,2,A1
228,135,ACC-HT,39,1,A2
229,136,ACC-HU,36,2,A1
230,137,ACC-HV,66,2,A1
231,138,ACC-HW,50,1,A1
232,139,ACC-HX,48,3,A1
233,140,ACC-HY,52,3,A1
234,141,ACC-HZ,15,3,A1
235,142,ACC-IA,15,2,A1
236,143,ACC-IB,67,1,A1
237,143,ACC-IC,69,2,A2
238,144,ACC-ID,58,1,A1
239,144,ACC-IE,37,2,A2
240,145,ACC-IF,63,2,A1
241,146,ACC-IG,12,2,A1
242,147,ACC-IH,31,2,A1
243,147,ACC-II,16,2,A2
244,148,ACC-IJ,22,3,A1
245,148,ACC-IK,55,1,A2
246,148,ACC-IL,47,2,A3
247,149,ACC-IM,35,1,A1
248,149,ACC-IN,41,1,A2
249,150,ACC-IO,37,2,A1
250,150,ACC-IP,17,3,A2
251,150,ACC-IQ,40,1,A3
252,151,ACC-IR,24,2,A1
253,152,ACC-IS,45,1,A1
254,153,ACC-IT,16,2,A1
255,154,ACC-IU,32,2,A1
256,155,ACC-IV,20,1,A1
257,155,ACC-IW,61,3,A2
258,156,ACC-IX,56,1,A1
259,156,ACC-IY,25,2,A2
260,157,ACC-IZ,52,3,A1
261,157,ACC-JA,75,3,A2
262,158,ACC-JB,49,2,A1
263,158,ACC-JC,29,1,A2
264,158,ACC-JD,38,3,A3
265,159,ACC-JE,14,3,A1
266,159,ACC-JF,58,2,A2
267,160,ACC-JG,57,3,A1
268,161,ACC-JH,70,1,A1
269,161,ACC-JI,52,1,A2
270,162,ACC-JJ,29,2,A1
271,163,ACC-JK,57,3,A1
272,163,ACC-JL,31,2,A2
273,164,ACC-JM,68,1,A1
274,164,ACC-JN,44,3,A2
275,165,ACC-JO,70,3,A1
276,166,ACC-JP,59,2,A1
277,166,ACC-JQ,59,1,A2
278,167,ACC-JR,13,2,A1
279,167,ACC-JS,13,3,A2
280,167,ACC-JT,42,2,A3
281,167,ACC-JU,24,2,A4
282,168,ACC-JV,60,2,A1
283,168,ACC-JW,44,3,A2
284,169,ACC-JX,23,1,A1
285,170,ACC-JY,12,3,A1
286,170,ACC-JZ,26,2,A2
287,171,ACC-KA,23,3,A1
288,172,ACC-KB,41,2,A1
289,172,ACC-KC,37,2,A2
290,172,ACC-KD,75,3,A3
291,173,ACC-KE,44,2,A1
292,173,ACC-KF,18,3,A2
293,174,ACC-KG,55,1,A1
294,174,ACC-KH,65,1,A2
295,175,ACC-KI,71,1,A1
296,176,ACC-KJ,31,2,A1
297,176,ACC-KK,51,2,A2
298,176,ACC-KL,47,1,A3
299,177,ACC-KM,38,3,A1
300,177,ACC-KN,41,2,A2
301,177,ACC-KO,58,3,A3
302,177,ACC-KP,21,1,A4
303,178,ACC-KQ,29,1,A1
304,179,ACC-KR,56,1,A1
305,180,ACC-KS,47,3,A1
306,181,ACC-KT,15,2,A1
307,182,ACC-KU,50,1,A1
308,182,ACC-KV,66,2,A2
309,182,ACC-KW,45,3,A3
310,183,ACC-KX,45,1,A1
311,183,ACC-KY,46,1,A2
312,184,ACC-KZ,23,1,A1
313,185,ACC-LA,34,2,A1
314,186,ACC-LB,34,1,A1
315,187,ACC-LC,13,3,A1
316,187,ACC-LD,43,1,A2
317,188,ACC-LE,21,2,A1
318,188,ACC-LF,72,3,A2
319,188,ACC-LG,24,2,A3
320,189,ACC-LH,55,1,A1
321,190,ACC-LI,52,2,A1
322,191,ACC-LJ,20,1,A1
323,192,ACC-LK,54,1,A1
324,193,ACC-LL,56,1,A1
325,194,ACC-LM,41,2,A1
326,195,ACC-LN,16,2,A1
327,195,ACC-LO,31,2,A2
328,196,ACC-LP,30,1,A1
329,196,ACC-LQ,60,1,A2
330,197,ACC-LR,61,2,A1
331,197,ACC-LS,57,3,A2
332,197,ACC-LT,67,1,A3
333,198,ACC-LU,44,2,A1
334,198,ACC-LV,29,3,A2
335,198,ACC-LW,49,3,A3
336,199,ACC-LX,12,3,A1
337,200,ACC-LY,47,2,A1
338,201,ACC-LZ,13,3,A1
339,202,ACC-MA,33,1,A1
340,203,ACC-MB,75,2,A1
341,204,ACC-MC,58,2,A1
342,204,ACC-MD,65,2,A2
343,205,ACC-ME,21,2,A1
344,206,ACC-MF,37,2,A1
345,206,ACC-MG,67,3,A2
346,207,ACC-MH,64,1,A1
347,207,ACC-MI,56,2,A2
348,208,ACC-MJ,33,1,A1
349,209,ACC-MK,66,1,A1
350,209,ACC-ML,48,3,A2
351,209,ACC-MM,27,3,A3
352,210,ACC-MN,13,3,A1
353,210,ACC-MO,59,1,A2
354,211,ACC-MP,42,3,A1
355,212,ACC-MQ,21,3,A1
356,212,ACC-MR,42,2,A2
357,212,ACC-MS,16,2,A3
358,213,ACC-MT,14,3,A1
359,214,ACC-MU,12,3,A1
360,214,ACC-MV,70,1,A2
361,215,ACC-MW,24,2,A1
362,215,ACC-MX,33,3,A2
363,216,ACC-MY,15,3,A1
364,217,ACC-MZ,73,1,A1
365,218,ACC-NA,47,3,A1
366,219,ACC-NB,70,2,A1
367,220,ACC-NC,19,2,A1
368,221,ACC-ND,31,2,A1
369,222,ACC-NE,14,1,A1
370,223,ACC-NF,61,1,A1
371,224,ACC-NG,69,1,A1
372,225,ACC-NH,60,3,A1
373,225,ACC-NI,53,2,A2
374,226,ACC-NJ,64,1,A1
375,227,ACC-NK,50,2,A1
376,227,ACC-NL,74,2,A2
377,228,ACC-NM,44,2,A1
378,229,ACC-NN,49,1,A1
379,230,ACC-NO,35,2,A1
380,231,ACC-NP,67,1,A1
381,231,ACC-NQ,32,1,A2
382,232,ACC-NR,60,1,A1
383,233,ACC-NS,30,1,A1
384,233,ACC-NT,54,2,A2
385,234,ACC-NU,40,2,A1
386,235,ACC-NV,16,1,A1
387,236,ACC-NW,16,3,A1
388,237,ACC-NX,61,3,A1
389,238,ACC-NY,69,1,A1
390,239,ACC-NZ,45,3,A1
391,240,ACC-OA,40,1,A1
392,240,ACC-OB,59,1,A2
393,240,ACC-OC,58,3,A3
394,241,ACC-OD,22,3,A1
395,241,ACC-OE,21,2,A2
396,242,ACC-OF,66,1,A1
397,242,ACC-OG,57,2,A2
398,242,ACC-OH,48,2,A3
399,243,ACC-OI,41,2,A1
400,244,ACC-OJ,42,1,A1
401,244,ACC-OK,38,2,A2
402,244,ACC-OL,25,3,A3
403,245,ACC-OM,39,2,A1
404,246,ACC-ON,24,2,A1
405,247,ACC-OO,29,3,A1
406,247,ACC-OP,74,3,A2
407,248,ACC-OQ,17,1,A1
408,248,ACC-OR,12,1,A2
409,249,ACC-OS,44,2,A1
410,249,ACC-OT,40,3,A2
411,249,ACC-OU,49,3,A3
412,250,ACC-OV,42,3,A1
413,250,ACC-OW,48,2,A2
414,251,ACC-OX,69,2,A1
415,252,ACC-OY,13,3,A1
416,252,ACC-OZ,17,2,A2
417,253,ACC-PA,49,2,A1
418,253,ACC-PB,59,3,A2
419,254,ACC-PC,48,3,A1
420,255,ACC-PD,15,3,A1
421,255,ACC-PE,48,1,A2
422,256,ACC-PF,66,2,A1
423,257,ACC-PG,24,3,A1
424,258,ACC-PH,57,3,A1
425,258,ACC-PI,63,2,A2
426,258,ACC-PJ,24,3,A3
427,259,ACC-PK,14,1,A1
428,259,ACC-PL,40,1,A2
429,259,ACC-PM,41,1,A3
430,260,ACC-PN,13,2,A1
431,261,ACC-PO,57,3,A1
432,262,ACC-PP,28,2,A1
433,263,ACC-PQ,37,2,A1
434,263,ACC-PR,55,1,A2
435,264,ACC-PS,52,3,A1
436,265,ACC-PT,32,3,A1
437,266,ACC-PU,23,1,A1
438,267,ACC-PV,56,1,A1
439,268,ACC-PW,20,1,A1
440,269,ACC-PX,45,2,A1
441,270,ACC-PY,47,2,A1
442,271,ACC-PZ,43,1,A1
443,271,ACC-QA,38,1,A2
444,271,ACC-QB,38,3,A3
445,272,ACC-QC,28,1,A1
446,272,ACC-QD,39,3,A2
447,273,ACC-QE,41,3,A1
448,274,ACC-QF,25,2,A1
449,275,ACC-QG,63,1,A1
450,275,ACC-QH,21,1,A2
451,276,ACC-QI,41,2,A1
452,277,ACC-QJ,33,1,A1
453,277,ACC-QK,27,3,A2
454,277,ACC-QL,43,3,A3
455,278,ACC-QM,34,1,A1
456,278,ACC-QN,23,1,A2
457,278,ACC-QO,15,3,A3
458,279,ACC-QP,72,3,A1
459,279,ACC-QQ,26,2,A2
460,279,ACC-QR,45,1,A3
461,279,ACC-QS,16,3,A4
462,280,ACC-QT,34,1,A1
463,280,ACC-QU,23,3,A2
464,281,ACC-QV,61,3,A1
465,281,ACC-QW,36,2,A2
466,281,ACC-QX,20,3,A3
467,281,ACC-QY,54,1,A4
468,282,ACC-QZ,35,1,A1
469,283,ACC-RA,56,3,A1
470,284,ACC-RB,22,1,A1
471,284,ACC-RC,25,3,A2
472,284,ACC-RD,49,3,A3
473,284,ACC-RE,60,2,A4
474,285,ACC-RF,73,1,A1
475,286,ACC-RG,33,1,A1
476,286,ACC-RH,42,1,A2
477,287,ACC-RI,66,2,A1
478,287,ACC-RJ,62,1,A2
479,287,ACC-RK,44,3,A3
480,288,ACC-RL,75,1,A1
481,289,ACC-RM,31,3,A1
482,290,ACC-RN,21,3,A1
483,291,ACC-RO,70,1,A1
484,291,ACC-RP,37,3,A2
485,291,ACC-RQ,27,2,A3
486,292,ACC-RR,19,2,A1
487,293,ACC-RS,49,3,A1
488,294,ACC-RT,63,3,A1
489,295,ACC-RU,59,3,A1
490,296,ACC-RV,27,3,A1
491,296,ACC-RW,56,1,A2
492,297,ACC-RX,50,1,A1
493,298,ACC-RY,63,1,A1
494,298,ACC-RZ,71,1,A2
495,299,ACC-SA,34,3,A1
496,300,ACC-SB,68,2,A1
497,300,ACC-SC,17,1,A2
498,300,ACC-SD,38,1,A3
499,300,ACC-SE,42,1,A4
500,301,ACC-SF,45,2,A1
501,302,ACC-SG,47,2,A1
502,302,ACC-SH,47,1,A2
503,303,ACC-SI,40,2,A1
504,304,ACC-SJ,60,1,A1
505,304,ACC-SK,38,3,A2
506,305,ACC-SL,72,1,A1
507,306,ACC-SM,47,3,A1
508,306,ACC-SN,40,3,A2
509,306,ACC-SO,25,2,A3
510,306,ACC-SP,31,3,A4
511,307,ACC-SQ,68,2,A1
512,307,ACC-SR,59,3,A2
513,308,ACC-SS,62,2,A1
514,309,ACC-ST,45,1,A1
515,310,ACC-SU,35,1,A1
516,310,ACC-SV,27,1,A2
517,310,ACC-SW,69,3,A3
518,311,ACC-SX,50,3,A1
519,311,ACC-SY,23,1,A2
520,312,ACC-SZ,36,2,A1
521,312,ACC-TA,57,3,A2
522,312,ACC-TB,14,3,A3
523,313,ACC-TC,25,1,A1
524,314,ACC-TD,68,2,A1
525,314,ACC-TE,74,2,A2
526,314,ACC-TF,21,3,A3
527,314,ACC-TG,70,1,A4
528,315,ACC-TH,28,3,A1
529,316,ACC-TI,12,2,A1
530,317,ACC-TJ,67,1,A1
531,318,ACC-TK,52,1,A1
532,319,ACC-TL,41,1,A1
533,320,ACC-TM,64,2,A1
534,320,ACC-TN,62,1,A2
535,320,ACC-TO,41,2,A3
536,320,ACC-TP,68,2,A4
537,321,ACC-TQ,28,1,A1
538,322,ACC-TR,56,3,A1
539,323,ACC-TS,46,1,A1
540,324,ACC-TT,19,1,A1
541,325,ACC-TU,68,1,A1
542,325,ACC-TV,34,1,A2
543,325,ACC-TW,34,2,A3
544,326,ACC-TX,55,2,A1
545,327,ACC-TY,60,3,A1
546,327,ACC-TZ,28,1,A2
547,327,ACC-UA,42,1,A3
548,328,ACC-UB,69,2,A1
549,328,ACC-UC,74,1,A2
550,329,ACC-UD,61,2,A1
551,330,ACC-UE,44,2,A1
552,330,ACC-UF,22,1,A2
553,331,ACC-UG,56,2,A1
554,331,ACC-UH,43,1,A2
555,331,ACC-UI,37,1,A3
556,331,ACC-UJ,19,1,A4
557,332,ACC-UK,66,1,A1
558,333,ACC-UL,33,3,A1
559,333,ACC-UM,30,3,A2
560,333,ACC-UN,31,3,A3
561,333,ACC-UO,22,2,A4
562,334,ACC-UP,51,1,A1
563,335,ACC-UQ,57,1,A1
564,335,ACC-UR,49,2,A2
565,336,ACC-US,29,2,A1
566,337,ACC-UT,52,3,A1
567,337,ACC-UU,56,2,A2
568,338,ACC-UV,72,3,A1
569,338,ACC-UW,71,2,A2
570,339,ACC-UX,66,2,A1
571,339,ACC-UY,39,3,A2
572,339,ACC-UZ,28,2,A3
573,339,ACC-VA,17,1,A4
574,340,ACC-VB,21,2,A1
575,341,ACC-VC,57,3,A1
576,342,ACC-VD,65,1,A1
577,343,ACC-VE,57,1,A1
578,343,ACC-VF,75,2,A2
579,343,ACC-VG,61,1,A3
580,344,ACC-VH,30,1,A1
581,344,ACC-VI,28,3,A2
582,345,ACC-VJ,64,2,A1
583,345,ACC-VK,66,2,A2
584,346,ACC-VL,58,2,A1
585,347,ACC-VM,40,2,A1
586,348,ACC-VN,48,2,A1
587,348,ACC-VO,44,3,A2
588,349,ACC-VP,28,2,A1
589,350,ACC-VQ,42,2,A1
590,351,ACC-VR,68,3,A1
591,351,ACC-VS,49,1,A2
592,352,ACC-VT,60,1,A1
593,353,ACC-VU,51,3,A1
594,354,ACC-VV,24,3,A1
595,355,ACC-VW,13,1,A1
596,356,ACC-VX,31,3,A1
597,356,ACC-VY,44,1,A2
598,356,ACC-VZ,54,1,A3
599,357,ACC-WA,33,1,A1
600,357,ACC-WB,37,3,A2
601,358,ACC-WC,66,1,A1
602,359,ACC-WD,44,3,A1
603,359,ACC-WE,69,3,A2
604,360,ACC-WF,41,1,A1
605,361,ACC-WG,29,3,A1
606,362,ACC-WH,70,2,A1
607,363,ACC-WI,28,3,A1
608,363,ACC-WJ,68,3,A2
609,364,ACC-WK,60,2,A1
610,365,ACC-WL,38,1,A1
611,366,ACC-WM,56,1,A1
612,367,ACC-WN,57,1,A1
613,367,ACC-WO,61,1,A2
614,368,ACC-WP,74,1,A1
615,369,ACC-WQ,46,2,A1
616,370,ACC-WR,32,3,A1
617,371,ACC-WS,68,1,A1
618,372,ACC-WT,61,2,A1
619,373,ACC-WU,48,1,A1
620,374,ACC-WV,51,2,A1
621,374,ACC-WW,20,1,A2
622,374,ACC-WX,23,1,A3
623,375,ACC-WY,70,1,A1
624,376,ACC-WZ,31,1,A1
625,377,ACC-XA,46,3,A1
626,378,ACC-XB,48,2,A1
627,378,ACC-XC,45,1,A2
628,378,ACC-XD,58,1,A3
629,379,ACC-XE,19,2,A1
630,379,ACC-XF,34,1,A2
631,379,ACC-XG,18,2,A3
632,380,ACC-XH,22,1,A1
633,381,ACC-XI,58,3,A1
634,382,ACC-XJ,63,3,A1
635,383,ACC-XK,31,1,A1
636,383,ACC-XL,26,3,A2
637,383,ACC-XM,50,3,A3
638,383,ACC-XN,28,3,A4
639,384,ACC-XO,45,1,A1
640,385,ACC-XP,42,2,A1
641,386,ACC-XQ,65,1,A1
642,387,ACC-XR,62,1,A1
643,388,ACC-XS,75,3,A1
644,389,ACC-XT,14,1,A1
645,389,ACC-XU,67,2,A2
646,390,ACC-XV,33,1,A1
647,391,ACC-XW,45,3,A1
648,391,ACC-XX,65,1,A2
649,391,ACC-XY,24,2,A3
650,392,ACC-XZ,47,1,A1
651,392,ACC-YA,34,2,A2
652,393,ACC-YB,37,1,A1
653,393,ACC-YC,64,3,A2
654,394,ACC-YD,62,2,A1
655,395,ACC-YE,36,3,A1
656,395,ACC-YF,43,3,A2
657,396,ACC-YG,21,3,A1
658,397,ACC-YH,27,1,A1
659,397,ACC-YI,39,2,A2
660,397,ACC-YJ,51,3,A3
661,398,ACC-YK,70,3,A1
662,398,ACC-YL,46,1,A2
663,399,ACC-YM,15,2,A1
664,400,ACC-YN,71,2,A1
665,401,ACC-YO,39,3,A1
666,401,ACC-YP,54,1,A2
667,401,ACC-YQ,75,1,A3
668,401,ACC-YR,70,1,A4
669,402,ACC-YS,43,3,A1
670,403,ACC-YT,14,3,A1
671,403,ACC-YU,57,3,A2
672,404,ACC-YV,44,3,A1
673,405,ACC-YW,20,3,A1
674,406,ACC-YX,66,1,A1
675,406,ACC-YY,36,1,A2
676,407,ACC-YZ,33,3,A1
677,408,ACC-ZA,32,2,A1
678,408,ACC-ZB,55,2,A2
679,409,ACC-ZC,49,1,A1
680,410,ACC-ZD,49,1,A1
681,411,ACC-ZE,55,3,A1
682,412,ACC-ZF,14,1,A1
683,412,ACC-ZG,24,3,A2
684,413,ACC-ZH,54,3,A1
685,414,ACC-ZI,13,2,A1
686,415,ACC-ZJ,52,1,A1
687,415,ACC-ZK,63,1,A2
688,416,ACC-ZL,54,2,A1
689,417,ACC-ZM,68,2,A1
690,418,ACC-ZN,18,2,A1
691,419,ACC-ZO,13,2,A1
692,420,ACC-ZP,37,2,A1
693,421,ACC-ZQ,44,1,A1
694,421,ACC-ZR,58,2,A2
695,422,ACC-ZS,30,2,A1
696,422,ACC-ZT,35,1,A2
697,422,ACC-ZU,21,3,A3
698,422,ACC-ZV,63,2,A4
699,423,ACC-ZW,67,1,A1
700,423,ACC-ZX,58,2,A2
701,423,ACC-ZY,43,3,A3
702,423,ACC-ZZ,36,1,A4
703,424,ACC-AAA,26,2,A1
704,424,ACC-AAB,53,1,A2
705,425,ACC-AAC,21,2,A1
706,425,ACC-AAD,55,2,A2
707,426,ACC-AAE,52,1,A1
708,427,ACC-AAF,35,3,A1
709,428,ACC-AAG,37,3,A1
710,428,ACC-AAH,20,2,A2
711,429,ACC-AAI,57,2,A1
712,430,ACC-AAJ,15,3,A1
713,431,ACC-AAK,58,2,A1
714,431,ACC-AAL,51,3,A2
715,431,ACC-AAM,16,3,A3
716,432,ACC-AAN,61,3,A1
717,433,ACC-AAO,38,2,A1
718,434,ACC-AAP,42,3,A1
719,434,ACC-AAQ,64,1,A2
720,435,ACC-AAR,71,3,A1
721,436,ACC-AAS,72,2,A1
722,436,ACC-AAT,45,2,A2
723,437,ACC-AAU,51,2,A1
724,438,ACC-AAV,36,1,A1
725,439,ACC-AAW,13,1,A1
726,439,ACC-AAX,54,3,A2
727,440,ACC-AAY,29,2,A1
728,441,ACC-AAZ,38,2,A1
729,441,ACC-ABA,18,3,A2
730,441,ACC-ABB,21,3,A3
731,442,ACC-ABC,17,1,A1
732,443,ACC-ABD,18,3,A1
733,444,ACC-ABE,58,1,A1
734,445,ACC-ABF,30,1,A1
735,446,ACC-ABG,15,2,A1
736,446,ACC-ABH,59,1,A2
737,447,ACC-ABI,32,1,A1
738,447,ACC-ABJ,29,3,A2
739,447,ACC-ABK,33,3,A3
740,448,ACC-ABL,54,2,A1
741,449,ACC-ABM,49,1,A1
742,449,ACC-ABN,58,3,A2
743,450,ACC-ABO,19,3,A1
744,451,ACC-ABP,62,1,A1
745,451,ACC-ABQ,75,1,A2
746,452,ACC-ABR,37,2,A1
747,452,ACC-ABS,70,1,A2
748,453,ACC-ABT,45,3,A1
749,454,ACC-ABU,30,1,A1
750,455,ACC-ABV,69,1,A1
751,455,ACC-ABW,54,2,A2
752,456,ACC-ABX,65,3,A1
753,456,ACC-ABY,43,3,A2
754,457,ACC-ABZ,34,3,A1
755,458,ACC-ACA,29,3,A1
756,459,ACC-ACB,19,2,A1
757,459,ACC-ACC,22,2,A2
758,459,ACC-ACD,28,1,A3
759,460,ACC-ACE,41,1,A1
760,461,ACC-ACF,26,3,A1
761,462,ACC-ACG,57,3,A1
762,463,ACC-ACH,54,2,A1
763,463,ACC-ACI,32,1,A2
764,464,ACC-ACJ,39,1,A1
765,465,ACC-ACK,19,3,A1
