CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
27,100080038202400003,202400003,2024-06-14,85,38,1,2,1,4,5,8,2024-06-10 10:42:00,2024-06-10 11:02:00,2024-06-10 11:41:00,15.412918,74.987745,Masked FIR summary for sexual assault case 0027.
28,100080036202000001,202000001,2020-08-01,81,36,1,1,2,5,2,8,2020-08-01 07:17:00,2020-08-01 09:36:00,2020-08-01 11:09:00,15.524727,75.078586,Masked FIR summary for theft case 0028.
29,100100044202400001,202400001,2024-09-17,97,44,1,1,3,9,2,10,2024-09-16 13:36:00,2024-09-16 14:11:00,2024-09-16 16:52:00,12.980272,76.019869,Masked FIR summary for fraud case 0029.
30,800050023202400001,202400001,2024-10-16,51,23,8,2,1,3,3,5,2024-10-13 01:29:00,2024-10-13 02:31:00,2024-10-13 05:05:00,12.77753,74.938726,Masked FIR summary for kidnapping case 0030.
31,100090042202500001,202500001,2025-08-29,95,42,1,1,5,14,2,9,2025-08-24 12:33:00,2025-08-24 15:25:00,2025-08-24 17:58:00,15.102587,76.856964,Masked FIR summary for unlawful assembly case 0031.
32,100120052202400001,202400001,2024-02-02,115,52,1,2,1,1,3,12,2024-01-31 00:53:00,2024-01-31 03:50:00,2024-01-31 05:43:00,13.369907,74.725768,Masked FIR summary for murder case 0032.
33,400030015202200001,202200001,2022-10-29,31,15,4,2,1,4,2,3,2022-10-27 01:46:00,2022-10-27 04:29:00,2022-10-27 06:59:00,12.33658,76.605485,Masked FIR summary for sexual assault case 0033.
34,100040021202000001,202000001,2020-08-18,46,21,1,2,1,1,3,4,2020-08-14 20:03:00,2020-08-14 21:08:00,2020-08-14 23:52:00,13.381722,77.102269,Masked FIR summary for murder case 0034.
35,400100044202000001,202000001,2020-04-17,99,44,4,1,5,14,3,10,2020-04-14 12:14:00,2020-04-14 15:26:00,2020-04-14 18:18:00,13.010926,76.075022,Masked FIR summary for unlawful assembly case 0035.
36,100070032202500001,202500001,2025-11-02,72,32,1,1,5,14,2,7,2025-10-28 14:24:00,2025-10-28 17:29:00,2025-10-28 18:50:00,17.409259,76.803876,Masked FIR summary for unlawful assembly case 0036.
37,100010005202400001,202400001,2024-09-08,9,5,1,1,3,9,2,1,2024-09-07 04:10:00,2024-09-07 06:07:00,2024-09-07 09:01:00,12.884349,77.538189,Masked FIR summary for fraud case 0037.
38,100070032202400001,202400001,2024-06-19,72,32,1,1,3,10,3,7,2024-06-14 03:40:00,2024-06-14 07:22:00,2024-06-14 08:20:00,17.364376,76.797773,Masked FIR summary for cyber fraud case 0038.
39,300020011202400001,202400001,2024-09-26,24,11,3,1,1,2,2,2,2024-09-23 19:27:00,2024-09-23 22:44:00,2024-09-24 01:13:00,13.190707,77.458624,Masked FIR summary for assault case 0039.
40,100020011202000001,202000001,2020-05-05,24,11,1,1,2,7,2,2,2020-04-30 04:22:00,2020-04-30 04:40:00,2020-04-30 05:29:00,13.227565,77.45846,Masked FIR summary for burglary case 0040.
41,100060030202200001,202200001,2022-02-22,69,30,1,2,1,4,1,6,2022-02-22 07:39:00,2022-02-22 11:11:00,2022-02-22 12:56:00,15.768353,74.490072,Masked FIR summary for sexual assault case 0041.
42,100050023202300001,202300001,2023-08-25,51,23,1,1,4,12,5,5,2023-08-22 22:31:00,2023-08-22 23:56:00,2023-08-23 00:16:00,12.783774,74.962486,Masked FIR summary for drug possession case 0042.
43,100090040202400001,202400001,2024-12-18,88,40,1,1,4,12,3,9,2024-12-15 13:47:00,2024-12-15 16:20:00,2024-12-15 18:25:00,15.192121,76.994093,Masked FIR summary for drug possession case 0043.
44,100030016202300001,202300001,2023-03-26,34,16,1,1,5,14,2,3,2023-03-22 05:53:00,2023-03-22 07:36:00,2023-03-22 08:58:00,12.306728,76.727216,Masked FIR summary for unlawful assembly case 0044.
45,100040020202000002,202000002,2020-06-01,43,20,1,2,4,13,4,4,2020-05-28 16:27:00,2020-05-28 19:25:00,2020-05-28 22:00:00,13.39113,77.049737,Masked FIR summary for drug trafficking case 0045.
46,800050024202200001,202200001,2022-12-05,54,24,8,1,3,11,3,5,2022-11-30 18:48:00,2022-11-30 19:38:00,2022-11-30 21:04:00,12.8523,75.015144,Masked FIR summary for cheque fraud case 0046.
47,100120052202300002,202300002,2023-02-05,116,52,1,2,1,1,2,12,2023-01-31 15:54:00,2023-01-31 17:06:00,2023-01-31 18:12:00,13.385976,74.708398,Masked FIR summary for murder case 0047.
48,100120052202100001,202100001,2021-01-29,115,52,1,1,4,12,3,12,2021-01-24 19:40:00,2021-01-24 23:07:00,2021-01-25 01:57:00,13.367518,74.707593,Masked FIR summary for drug possession case 0048.
49,400050023202400001,202400001,2024-07-05,51,23,4,1,2,5,4,5,2024-07-02 15:56:00,2024-07-02 18:16:00,2024-07-02 19:36:00,12.776265,74.970147,Masked FIR summary for theft case 0049.
50,100010006202100001,202100001,2021-02-28,11,6,1,1,5,15,2,1,2021-02-23 06:23:00,2021-02-23 08:45:00,2021-02-23 09:39:00,12.979534,77.563403,Masked FIR summary for rioting case 0050.
51,300120052202100001,202100001,2021-11-11,116,52,3,1,1,2,2,12,2021-11-08 03:09:00,2021-11-08 04:29:00,2021-11-08 06:06:00,13.332144,74.673967,Masked FIR summary for assault case 0051.
52,100060030202000001,202000001,2020-08-07,69,30,1,1,2,8,4,6,2020-08-03 23:04:00,2020-08-04 02:33:00,2020-08-04 04:42:00,15.797109,74.457952,Masked FIR summary for vandalism case 0052.
53,100120052202300003,202300003,2023-02-26,116,52,1,1,2,5,3,12,2023-02-23 01:33:00,2023-02-23 01:49:00,2023-02-23 03:31:00,13.296753,74.716636,Masked FIR summary for theft case 0053.
54,100030017202200001,202200001,2022-03-06,38,17,1,1,3,10,3,3,2022-03-05 21:04:00,2022-03-06 00:42:00,2022-03-06 03:07:00,12.260524,76.625404,Masked FIR summary for cyber fraud case 0054.
55,100060030202300001,202300001,2023-08-07,69,30,1,2,1,3,1,6,2023-08-03 22:55:00,2023-08-04 00:43:00,2023-08-04 01:41:00,15.814274,74.488011,Masked FIR summary for kidnapping case 0055.
56,100010003202100001,202100001,2021-04-01,3,3,1,1,2,7,4,1,2021-03-31 11:36:00,2021-03-31 13:26:00,2021-03-31 15:28:00,12.902329,77.535567,Masked FIR summary for burglary case 0056.
57,100010005202100001,202100001,2021-03-20,9,5,1,1,1,2,2,1,2021-03-17 16:27:00,2021-03-17 17:25:00,2021-03-17 19:16:00,12.969578,77.527053,Masked FIR summary for assault case 0057.
58,100120053202400001,202400001,2024-07-25,119,53,1,2,2,6,3,12,2024-07-21 12:53:00,2024-07-21 16:03:00,2024-07-21 17:59:00,13.347142,74.793229,Masked FIR summary for robbery case 0058.
59,100030017202300001,202300001,2023-03-12,39,17,1,1,2,5,2,3,2023-03-07 14:49:00,2023-03-07 17:27:00,2023-03-07 18:06:00,12.292771,76.617544,Masked FIR summary for theft case 0059.
60,300040020202300001,202300001,2023-07-11,43,20,3,1,5,14,3,4,2023-07-06 20:54:00,2023-07-06 21:57:00,2023-07-07 00:40:00,13.375308,77.064395,Masked FIR summary for unlawful assembly case 0060.
61,100010008202100001,202100001,2021-07-23,18,8,1,1,5,14,1,1,2021-07-22 14:46:00,2021-07-22 18:41:00,2021-07-22 20:46:00,12.946322,77.612987,Masked FIR summary for unlawful assembly case 0061.
62,800010007202500001,202500001,2025-09-11,15,7,8,1,4,12,1,1,2025-09-06 18:12:00,2025-09-06 18:54:00,2025-09-06 19:47:00,13.02736,77.520141,Masked FIR summary for drug possession case 0062.
63,100010005202200001,202200001,2022-08-07,9,5,1,1,2,5,3,1,2022-08-03 16:20:00,2022-08-03 18:29:00,2022-08-03 20:27:00,12.87736,77.510263,Masked FIR summary for theft case 0063.
64,100010003202500001,202500001,2025-10-12,1,3,1,2,1,3,2,1,2025-10-11 16:59:00,2025-10-11 17:32:00,2025-10-11 18:46:00,12.909847,77.568901,Masked FIR summary for kidnapping case 0064.
65,100060027202400001,202400001,2024-08-15,59,27,1,1,3,11,3,6,2024-08-12 20:23:00,2024-08-12 21:27:00,2024-08-12 21:45:00,15.833325,74.437166,Masked FIR summary for cheque fraud case 0065.
66,100080036202000002,202000002,2020-04-07,80,36,1,1,2,7,4,8,2020-04-06 18:49:00,2020-04-06 21:26:00,2020-04-06 23:43:00,15.537428,75.000419,Masked FIR summary for burglary case 0066.
67,100070034202000001,202000001,2020-08-31,78,34,1,2,1,4,2,7,2020-08-27 23:06:00,2020-08-27 23:40:00,2020-08-27 23:51:00,17.31298,76.816823,Masked FIR summary for sexual assault case 0067.
68,100080038202200001,202200001,2022-07-18,87,38,1,1,3,10,3,8,2022-07-13 16:22:00,2022-07-13 19:37:00,2022-07-13 21:12:00,15.398077,75.030412,Masked FIR summary for cyber fraud case 0068.
69,100030016202000002,202000002,2020-04-21,35,16,1,1,4,12,5,3,2020-04-21 15:17:00,2020-04-21 15:44:00,2020-04-21 15:55:00,12.264765,76.687365,Masked FIR summary for drug possession case 0069.
70,400010008202200001,202200001,2022-08-06,16,8,4,2,1,1,3,1,2022-08-01 03:32:00,2022-08-01 07:24:00,2022-08-01 07:42:00,12.91977,77.599705,Masked FIR summary for murder case 0070.
71,100080038202000001,202000001,2020-11-09,85,38,1,2,2,6,2,8,2020-11-08 01:18:00,2020-11-08 03:41:00,2020-11-08 05:50:00,15.395271,75.029241,Masked FIR summary for robbery case 0071.
72,100050023202400001,202400001,2024-09-21,50,23,1,1,2,7,2,5,2024-09-19 13:29:00,2024-09-19 14:58:00,2024-09-19 17:42:00,12.860533,74.976358,Masked FIR summary for burglary case 0072.
73,100090042202200001,202200001,2022-10-21,94,42,1,1,1,2,3,9,2022-10-21 00:25:00,2022-10-21 02:02:00,2022-10-21 03:36:00,15.028504,76.890451,Masked FIR summary for assault case 0073.
74,400050025202200001,202200001,2022-06-08,55,25,4,1,2,7,3,5,2022-06-04 12:15:00,2022-06-04 13:24:00,2022-06-04 15:19:00,12.734224,74.954625,Masked FIR summary for burglary case 0074.
75,100110049202200001,202200001,2022-02-16,111,49,1,1,2,5,3,11,2022-02-16 12:12:00,2022-02-16 13:17:00,2022-02-16 14:50:00,13.902124,75.589974,Masked FIR summary for theft case 0075.
76,100020012202000001,202000001,2020-01-21,26,12,1,1,3,10,1,2,2020-01-18 20:54:00,2020-01-18 23:29:00,2020-01-19 00:22:00,13.110366,77.563775,Masked FIR summary for cyber fraud case 0076.
77,100080037202200001,202200001,2022-08-12,83,37,1,1,4,12,4,8,2022-08-11 18:51:00,2022-08-11 20:10:00,2022-08-11 20:26:00,15.379118,75.018187,Masked FIR summary for drug possession case 0077.
78,100110049202400001,202400001,2024-04-08,111,49,1,2,1,3,3,11,2024-04-06 22:39:00,2024-04-06 23:23:00,2024-04-07 01:00:00,13.938679,75.556148,Masked FIR summary for kidnapping case 0078.
79,100030017202400001,202400001,2024-08-16,38,17,1,1,4,12,2,3,2024-08-13 11:38:00,2024-08-13 14:34:00,2024-08-13 17:26:00,12.322959,76.626917,Masked FIR summary for drug possession case 0079.
80,400080038202200001,202200001,2022-07-02,87,38,4,2,2,6,1,8,2022-06-30 18:59:00,2022-06-30 20:39:00,2022-06-30 22:51:00,15.337956,75.001102,Masked FIR summary for robbery case 0080.
81,100010003202100002,202100002,2021-08-22,2,3,1,1,3,9,3,1,2021-08-20 03:16:00,2021-08-20 06:05:00,2021-08-20 07:48:00,12.856071,77.552526,Masked FIR summary for fraud case 0081.
82,100020010202400001,202400001,2024-09-01,19,10,1,1,3,10,2,2,2024-08-28 07:54:00,2024-08-28 09:47:00,2024-08-28 11:18:00,13.241539,77.465059,Masked FIR summary for cyber fraud case 0082.
83,300120054202400001,202400001,2024-08-25,122,54,3,1,2,7,3,12,2024-08-22 16:48:00,2024-08-22 20:35:00,2024-08-22 22:00:00,13.225818,74.791979,Masked FIR summary for burglary case 0083.
84,100080037202500001,202500001,2025-07-04,83,37,1,1,3,11,4,8,2025-07-02 01:59:00,2025-07-02 03:45:00,2025-07-02 03:55:00,15.408411,74.987542,Masked FIR summary for cheque fraud case 0084.
85,100120053202500001,202500001,2025-08-19,119,53,1,1,2,5,5,12,2025-08-15 08:43:00,2025-08-15 09:50:00,2025-08-15 12:42:00,13.335785,74.804029,Masked FIR summary for theft case 0085.
86,800110050202100001,202100001,2021-09-16,113,50,8,1,2,8,3,11,2021-09-14 00:00:00,2021-09-14 01:00:00,2021-09-14 02:43:00,13.91321,75.554573,Masked FIR summary for vandalism case 0086.
87,100050025202000001,202000001,2020-01-25,56,25,1,1,5,14,5,5,2020-01-25 19:52:00,2020-01-25 20:47:00,2020-01-25 21:13:00,12.787165,74.974814,Masked FIR summary for unlawful assembly case 0087.
88,300100046202200001,202200001,2022-05-13,104,46,3,1,4,12,4,10,2022-05-11 02:51:00,2022-05-11 05:09:00,2022-05-11 07:48:00,12.974954,76.185477,Masked FIR summary for drug possession case 0088.
89,100100044202300001,202300001,2023-08-17,99,44,1,2,1,3,4,10,2023-08-12 14:33:00,2023-08-12 17:41:00,2023-08-12 19:16:00,12.961245,76.024935,Masked FIR summary for kidnapping case 0089.
90,100100044202500001,202500001,2025-12-12,98,44,1,2,2,6,5,10,2025-12-09 13:46:00,2025-12-09 15:39:00,2025-12-09 15:59:00,12.934738,76.067253,Masked FIR summary for robbery case 0090.
91,100050024202200001,202200001,2022-12-13,54,24,1,1,3,11,1,5,2022-12-09 11:34:00,2022-12-09 15:25:00,2022-12-09 18:08:00,12.904058,74.997021,Masked FIR summary for cheque fraud case 0091.
92,400080038202400001,202400001,2024-10-22,85,38,4,1,3,9,2,8,2024-10-21 00:30:00,2024-10-21 04:25:00,2024-10-21 06:24:00,15.389397,75.021393,Masked FIR summary for fraud case 0092.
93,100120054202100001,202100001,2021-02-19,123,54,1,1,3,9,5,12,2021-02-17 00:49:00,2021-02-17 03:33:00,2021-02-17 04:01:00,13.257827,74.746857,Masked FIR summary for fraud case 0093.
94,400010008202300001,202300001,2023-10-31,18,8,4,2,1,3,6,1,2023-10-27 19:33:00,2023-10-27 21:05:00,2023-10-27 22:30:00,12.913682,77.623808,Masked FIR summary for kidnapping case 0094.
95,100020012202300001,202300001,2023-08-16,27,12,1,1,1,2,2,2,2023-08-12 09:58:00,2023-08-12 13:41:00,2023-08-12 16:09:00,13.171481,77.486447,Masked FIR summary for assault case 0095.
96,800060030202200001,202200001,2022-10-09,69,30,8,2,1,3,2,6,2022-10-07 16:01:00,2022-10-07 18:37:00,2022-10-07 19:13:00,15.784689,74.48145,Masked FIR summary for kidnapping case 0096.
97,100100045202200001,202200001,2022-02-25,100,45,1,2,4,13,4,10,2022-02-24 14:19:00,2022-02-24 17:34:00,2022-02-24 19:46:00,12.985668,76.129695,Masked FIR summary for drug trafficking case 0097.
98,100040019202300001,202300001,2023-07-07,41,19,1,1,4,12,2,4,2023-07-05 07:04:00,2023-07-05 07:28:00,2023-07-05 10:10:00,13.294255,77.123821,Masked FIR summary for drug possession case 0098.
99,100030014202400001,202400001,2024-03-07,29,14,1,1,2,5,1,3,2024-03-03 04:33:00,2024-03-03 06:03:00,2024-03-03 06:29:00,12.377411,76.704503,Masked FIR summary for theft case 0099.
100,100010005202100002,202100002,2021-04-22,7,5,1,1,3,10,5,1,2021-04-20 00:31:00,2021-04-20 02:46:00,2021-04-20 05:12:00,12.893929,77.523744,Masked FIR summary for cyber fraud case 0100.
101,100060029202100001,202100001,2021-05-31,64,29,1,2,1,1,3,6,2021-05-27 12:13:00,2021-05-27 15:14:00,2021-05-27 17:15:00,15.861297,74.565055,Masked FIR summary for murder case 0101.
102,100060027202200002,202200002,2022-07-02,58,27,1,2,4,13,1,6,2022-06-29 04:10:00,2022-06-29 06:29:00,2022-06-29 07:29:00,15.756401,74.433599,Masked FIR summary for drug trafficking case 0102.
103,100090040202500001,202500001,2025-11-10,90,40,1,1,5,14,3,9,2025-11-06 17:35:00,2025-11-06 20:50:00,2025-11-06 23:24:00,15.233941,76.981827,Masked FIR summary for unlawful assembly case 0103.
104,100050024202400001,202400001,2024-06-07,53,24,1,2,2,6,4,5,2024-06-06 04:59:00,2024-06-06 05:38:00,2024-06-06 07:03:00,12.856623,75.017338,Masked FIR summary for robbery case 0104.
105,100110050202500001,202500001,2025-05-14,112,50,1,1,2,5,1,11,2025-05-11 02:47:00,2025-05-11 06:34:00,2025-05-11 07:01:00,13.995219,75.610395,Masked FIR summary for theft case 0105.
106,100100046202000001,202000001,2020-10-28,105,46,1,2,1,1,2,10,2020-10-27 08:35:00,2020-10-27 11:25:00,2020-10-27 13:17:00,12.962443,76.198399,Masked FIR summary for murder case 0106.
107,100060028202300001,202300001,2023-07-30,63,28,1,1,5,15,4,6,2023-07-29 12:47:00,2023-07-29 16:11:00,2023-07-29 18:55:00,15.946228,74.412217,Masked FIR summary for rioting case 0107.
108,100110049202100001,202100001,2021-11-02,111,49,1,1,3,10,5,11,2021-10-31 09:39:00,2021-10-31 10:00:00,2021-10-31 10:47:00,13.930472,75.519386,Masked FIR summary for cyber fraud case 0108.
109,400030017202400001,202400001,2024-11-14,37,17,4,1,2,5,6,3,2024-11-13 06:40:00,2024-11-13 08:05:00,2024-11-13 09:05:00,12.264638,76.659364,Masked FIR summary for theft case 0109.
110,100110049202200002,202200002,2022-07-12,110,49,1,1,5,14,3,11,2022-07-11 19:31:00,2022-07-11 20:19:00,2022-07-11 21:49:00,13.906378,75.549268,Masked FIR summary for unlawful assembly case 0110.
111,100010003202000001,202000001,2020-09-30,2,3,1,1,5,14,3,1,2020-09-26 18:33:00,2020-09-26 20:31:00,2020-09-26 22:50:00,12.912395,77.515543,Masked FIR summary for unlawful assembly case 0111.
112,300050025202100001,202100001,2021-06-02,56,25,3,1,1,2,2,5,2021-05-31 07:41:00,2021-05-31 10:04:00,2021-05-31 11:30:00,12.733056,74.894112,Masked FIR summary for assault case 0112.
113,100090040202000001,202000001,2020-09-28,90,40,1,1,5,15,1,9,2020-09-25 05:17:00,2020-09-25 06:32:00,2020-09-25 06:40:00,15.247689,76.934563,Masked FIR summary for rioting case 0113.
114,100110048202000001,202000001,2020-09-03,106,48,1,2,1,4,5,11,2020-09-02 17:24:00,2020-09-02 19:27:00,2020-09-02 20:47:00,14.011824,75.572081,Masked FIR summary for sexual assault case 0114.
115,100030015202000001,202000001,2020-02-05,33,15,1,2,2,6,2,3,2020-02-05 08:24:00,2020-02-05 11:00:00,2020-02-05 13:33:00,12.348838,76.557626,Masked FIR summary for robbery case 0115.
116,400120053202500001,202500001,2025-06-20,120,53,4,2,1,1,2,12,2025-06-18 09:04:00,2025-06-18 10:34:00,2025-06-18 11:57:00,13.322993,74.821097,Masked FIR summary for murder case 0116.
117,100080038202000002,202000002,2020-07-07,87,38,1,1,3,10,4,8,2020-07-04 00:07:00,2020-07-04 02:50:00,2020-07-04 05:24:00,15.33122,75.009032,Masked FIR summary for cyber fraud case 0117.
118,100060030202200002,202200002,2022-03-22,67,30,1,1,2,8,2,6,2022-03-18 06:12:00,2022-03-18 06:59:00,2022-03-18 09:02:00,15.799209,74.500856,Masked FIR summary for vandalism case 0118.
119,100040019202200002,202200002,2022-02-08,40,19,1,1,5,15,2,4,2022-02-07 14:21:00,2022-02-07 15:46:00,2022-02-07 16:37:00,13.34423,77.117453,Masked FIR summary for rioting case 0119.
120,100010007202300002,202300002,2023-10-17,14,7,1,1,4,12,5,1,2023-10-14 21:24:00,2023-10-15 00:17:00,2023-10-15 02:09:00,12.986484,77.513842,Masked FIR summary for drug possession case 0120.
121,100110050202300001,202300001,2023-05-31,114,50,1,1,1,2,5,11,2023-05-27 20:09:00,2023-05-27 21:34:00,2023-05-27 22:02:00,13.991559,75.63683,Masked FIR summary for assault case 0121.
122,100030014202100001,202100001,2021-11-24,30,14,1,2,1,3,3,3,2021-11-21 17:58:00,2021-11-21 18:17:00,2021-11-21 21:02:00,12.338311,76.73114,Masked FIR summary for kidnapping case 0122.
123,100020012202200001,202200001,2022-11-05,25,12,1,2,4,13,3,2,2022-10-31 21:36:00,2022-10-31 23:08:00,2022-11-01 01:56:00,13.154085,77.495484,Masked FIR summary for drug trafficking case 0123.
124,100020010202100001,202100001,2021-09-07,21,10,1,2,4,13,2,2,2021-09-04 04:45:00,2021-09-04 05:12:00,2021-09-04 07:34:00,13.235449,77.457514,Masked FIR summary for drug trafficking case 0124.
125,800030015202100001,202100001,2021-09-26,32,15,8,1,4,12,6,3,2021-09-22 16:05:00,2021-09-22 17:53:00,2021-09-22 20:14:00,12.406831,76.618101,Masked FIR summary for drug possession case 0125.
126,100080037202500002,202500002,2025-07-08,82,37,1,1,4,12,2,8,2025-07-05 10:07:00,2025-07-05 12:53:00,2025-07-05 14:47:00,15.379098,75.004989,Masked FIR summary for drug possession case 0126.
127,300020010202100001,202100001,2021-07-01,21,10,3,1,2,7,2,2,2021-06-29 19:32:00,2021-06-29 20:02:00,2021-06-29 22:22:00,13.256097,77.502761,Masked FIR summary for burglary case 0127.
128,100100044202000001,202000001,2020-11-24,98,44,1,2,4,13,2,10,2020-11-21 07:30:00,2020-11-21 09:34:00,2020-11-21 12:31:00,13.015284,76.041277,Masked FIR summary for drug trafficking case 0128.
129,100060027202200003,202200003,2022-07-10,60,27,1,1,1,2,3,6,2022-07-09 08:23:00,2022-07-09 09:57:00,2022-07-09 10:07:00,15.794346,74.471171,Masked FIR summary for assault case 0129.
130,100100046202200001,202200001,2022-02-03,103,46,1,2,1,3,3,10,2022-01-29 21:21:00,2022-01-29 22:28:00,2022-01-30 00:26:00,12.935312,76.146692,Masked FIR summary for kidnapping case 0130.
131,300060029202100001,202100001,2021-12-26,65,29,3,1,2,8,4,6,2021-12-25 16:56:00,2021-12-25 20:05:00,2021-12-25 20:46:00,15.887728,74.605605,Masked FIR summary for vandalism case 0131.
